Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-05-06,21.4900,21.7500,21.1600,21.5100,25632600,AAL,,21.4900,,21.4900,,21.4900,,21.4900
2021-05-07,22.0000,22.1900,21.2700,21.4000,32022900,AAL,,21.5386,,21.5100,,21.5001,,21.4951
2021-05-10,22.0000,22.5400,21.9600,22.2300,32570000,AAL,,21.5825,,21.5292,,21.5100,,21.5001
2021-05-11,21.5700,21.7000,20.9100,21.0700,37417800,AAL,,21.5813,,21.5308,,21.5112,,21.5008
2021-05-12,20.7600,21.6900,20.6900,21.3600,34605300,AAL,,21.5031,,21.5006,,21.4963,,21.4934
2021-05-13,21.2100,21.4200,20.6200,20.8800,35238700,AAL,,21.4752,,21.4892,,21.4906,,21.4906
2021-05-14,22.4000,22.4800,21.4300,21.4300,39182500,AAL,,21.5633,,21.5249,,21.5086,,21.4997
2021-05-17,23.3500,23.4000,22.1000,22.3200,40716100,AAL,,21.7334,,21.5965,,21.5451,,21.5181
2021-05-18,23.5600,23.9400,23.0800,23.5400,38662400,AAL,,21.9074,,21.6735,,21.5850,,21.5384
2021-05-19,22.9700,23.2700,22.6200,22.9700,34558200,AAL,,22.0086,,21.7243,,21.6124,,21.5526
2021-05-20,22.6000,23.1800,22.2900,23.1800,33606500,AAL,,22.0649,,21.7587,,21.6320,,21.5630
2021-05-21,22.5700,23.0400,22.5100,22.7100,26246500,AAL,,22.1130,,21.7905,,21.6506,,21.5731
2021-05-24,22.9900,23.0500,22.3500,22.8500,26159300,AAL,,22.1965,,21.8375,,21.6771,,21.5872
2021-05-25,23.2100,24.1700,23.1100,23.4500,50630500,AAL,,22.2931,,21.8913,,21.7074,,21.6033
2021-05-26,23.9000,23.9500,23.2000,23.5300,29812700,AAL,,22.4461,,21.9701,,21.7509,,21.6262
2021-05-27,24.4300,24.4900,23.6800,24.0300,36389500,AAL,,22.6350,,22.0666,,21.8039,,21.6541
2021-05-28,24.2400,24.8200,24.1300,24.3900,30594400,AAL,,22.7879,,22.1518,,21.8522,,21.6798
2021-06-01,24.6700,25.0900,24.5100,24.6800,36502400,AAL,,22.9671,,22.2506,,21.9080,,21.7095
2021-06-02,25.8200,26.0400,24.6500,24.7600,57686200,AAL,,23.2388,,22.3905,,21.9854,,21.7504
2021-06-03,24.9300,25.5800,24.9000,25.4200,38254900,AAL,23.0335,23.3999,,22.4901,,22.0437,,21.7821
2021-06-04,24.3000,25.1800,24.2600,25.1300,28977300,AAL,23.1740,23.4856,,22.5611,,22.0884,,21.8071
2021-06-07,24.2500,24.7700,24.1800,24.4900,21173200,AAL,23.2865,23.5584,,22.6273,,22.1312,,21.8314
2021-06-08,24.2200,24.4900,23.8600,24.4200,26105600,AAL,23.3975,23.6214,,22.6898,,22.1726,,21.8552
2021-06-09,23.8500,24.4100,23.8400,24.3700,20289000,AAL,23.5115,23.6432,,22.7353,,22.2058,,21.8751
2021-06-10,23.4600,24.2400,23.2600,24.1400,28988300,AAL,23.6465,23.6258,,22.7637,,22.2306,,21.8908
2021-06-11,23.5300,23.7400,23.4000,23.4300,24368000,AAL,23.7625,23.6166,,22.7938,,22.2564,,21.9071
2021-06-14,22.9900,23.7400,22.9300,23.4900,22613100,AAL,23.7920,23.5570,,22.8015,,22.2709,,21.9179
2021-06-15,22.7900,23.1300,22.5500,22.9700,19062200,AAL,23.7640,23.4839,,22.8010,,22.2812,,21.9266
2021-06-16,22.8300,23.0000,22.5200,22.7400,20296900,AAL,23.7275,23.4216,,22.8021,,22.2920,,21.9356
2021-06-17,22.2300,23.1300,21.8300,22.8300,32879100,AAL,23.6905,23.3081,,22.7797,,22.2908,,21.9385
2021-06-18,22.2900,22.5300,21.9100,22.0700,28009900,AAL,23.6750,23.2112,,22.7605,,22.2908,,21.9420
2021-06-21,22.4500,22.5500,21.9100,22.3200,26666200,AAL,23.6690,23.1387,,22.7483,,22.2939,,21.9471
2021-06-22,22.1100,22.3800,21.8500,22.3500,22745000,AAL,23.6250,23.0407,,22.7233,,22.2903,,21.9487
2021-06-23,22.2000,22.3400,22.0800,22.1700,17394700,AAL,23.5745,22.9606,,22.7028,,22.2885,,21.9512
2021-06-24,22.3500,22.5000,21.9500,22.2100,22667500,AAL,23.4970,22.9025,,22.6889,,22.2897,,21.9552
2021-06-25,22.2200,22.4800,22.0700,22.3300,18738600,AAL,23.3865,22.8375,,22.6706,,22.2883,,21.9578
2021-06-28,21.3900,22.0900,21.1400,22.0900,48437800,AAL,23.2440,22.6996,,22.6203,,22.2706,,21.9521
2021-06-29,21.0800,21.4000,21.0200,21.3200,29157400,AAL,23.0645,22.5454,,22.5599,,22.2470,,21.9435
2021-06-30,21.2100,21.4800,20.9400,21.0900,26231800,AAL,22.8340,22.4182,,22.5070,,22.2264,,21.9362
2021-07-01,21.5100,21.7900,21.3300,21.4700,22082700,AAL,22.6630,22.3317,,22.4679,,22.2123,,21.9319
2021-07-02,21.4800,21.6500,21.1100,21.6200,20814100,AAL,22.5220,22.2506,,22.4292,,22.1978,,21.9274
2021-07-06,21.0100,21.7900,20.8600,21.5000,24176500,AAL,22.3600,22.1324,,22.3735,,22.1742,,21.9183
2021-07-07,20.3100,21.0500,20.1700,20.7900,30857000,AAL,22.1645,21.9589,,22.2926,,22.1373,,21.9023
2021-07-08,20.3500,20.6400,19.6600,19.8800,28539300,AAL,21.9895,21.8057,,22.2164,,22.1019,,21.8869
2021-07-09,20.8900,21.0000,20.5000,20.7900,21730900,AAL,21.8610,21.7184,,22.1644,,22.0779,,21.8769
2021-07-12,20.8400,20.9800,20.3500,20.7200,20782200,AAL,21.7265,21.6348,,22.1124,,22.0534,,21.8666
2021-07-13,20.0200,20.7000,19.9900,20.6900,30951500,AAL,21.5780,21.4810,,22.0304,,22.0132,,21.8482
2021-07-14,20.6200,21.5700,20.4300,20.8700,55139500,AAL,21.4695,21.3990,,21.9751,,21.9856,,21.8360
2021-07-15,20.4600,21.0600,20.1500,20.5600,34187500,AAL,21.3510,21.3096,,21.9157,,21.9554,,21.8223
2021-07-16,19.7900,20.7300,19.7200,20.6800,34523500,AAL,21.2290,21.1648,22.3940,21.8323,,21.9125,,21.8021
