Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-04,143.2398,144.0586,142.5867,143.5517,56368300,AAPL,,143.2398,,143.2398,,143.2398,,143.2398
2021-08-05,143.3470,144.1073,142.4795,143.2690,46397700,AAPL,,143.2500,,143.2440,,143.2419,,143.2408
2021-08-06,142.6637,143.6106,142.1658,142.8687,54126800,AAPL,,143.1942,,143.2212,,143.2305,,143.2351
2021-08-09,142.6149,143.2103,142.0584,142.7222,48908700,AAPL,,143.1390,,143.1974,,143.2183,,143.2289
2021-08-10,142.1365,144.1963,141.8437,142.9566,69023100,AAPL,,143.0435,,143.1558,,143.1968,,143.2181
2021-08-11,142.3903,143.2298,142.0682,142.5758,48493500,AAPL,,142.9813,,143.1258,,143.1809,,143.2098
2021-08-12,145.3483,145.5045,142.3708,142.7125,72282600,AAPL,,143.2067,,143.2130,,143.2238,,143.2311
2021-08-13,145.5533,145.8852,144.7430,145.4264,59375000,AAPL,,143.4302,,143.3048,,143.2699,,143.2542
2021-08-16,147.5252,147.5935,142.9858,145.0066,103296000,AAPL,,143.8202,,143.4703,,143.3542,,143.2967
2021-08-17,146.6173,148.0719,145.5435,146.6564,92229700,AAPL,,144.0866,,143.5937,,143.4188,,143.3297
2021-08-18,142.8784,147.1347,142.6734,146.2366,86326000,AAPL,,143.9715,,143.5656,,143.4081,,143.3253
2021-08-19,143.2103,144.4794,141.0626,141.5800,86960300,AAPL,,143.8990,,143.5517,,143.4042,,143.3241
2021-08-20,144.6649,144.9675,143.2884,143.9327,60549600,AAPL,,143.9720,,143.5953,,143.4291,,143.3375
2021-08-23,146.1487,146.6173,144.3720,144.7820,60131800,AAPL,,144.1793,,143.6955,,143.4830,,143.3654
2021-08-24,146.0609,147.2714,145.6020,145.8949,48606400,AAPL,,144.3585,,143.7882,,143.5340,,143.3922
2021-08-25,144.8309,146.7443,144.2842,146.2464,58991300,AAPL,,144.4035,,143.8291,,143.5597,,143.4066
2021-08-26,144.0303,145.5728,144.0010,144.8211,48597200,AAPL,,144.3679,,143.8370,,143.5690,,143.4128
2021-08-27,145.0651,145.2116,143.3372,143.9718,55802400,AAPL,,144.4343,,143.8852,,143.5987,,143.4292
2021-08-30,149.4776,149.8388,145.0749,145.4556,90956700,AAPL,,144.9147,,144.1045,,143.7151,,143.4894
2021-08-31,148.2183,149.1652,147.6911,149.0286,86453100,AAPL,144.8011,145.2293,,144.2658,,143.8043,,143.5364
2021-09-01,148.8821,151.2934,148.7162,149.1945,80313700,AAPL,145.0832,145.5772,,144.4469,,143.9048,,143.5896
2021-09-02,149.9950,151.0396,148.7748,150.2098,71115500,AAPL,145.4156,145.9979,,144.6644,,144.0254,,143.6534
2021-09-03,150.6296,150.9517,149.4484,150.1024,57808700,AAPL,145.8139,146.4390,,144.8984,,144.1562,,143.7228
2021-09-07,152.9628,153.5192,150.7175,151.2837,82278300,AAPL,146.3313,147.0603,,145.2146,,144.3306,,143.8147
2021-09-08,151.4203,153.3044,150.3172,153.2458,74420200,AAPL,146.7955,147.4756,,145.4580,,144.4710,,143.8904
2021-09-09,150.4050,152.3965,150.2879,151.7912,57305700,AAPL,147.1962,147.7546,,145.6520,,144.5885,,143.9552
2021-09-10,145.4264,151.7815,145.1628,151.3129,140893200,AAPL,147.2001,147.5328,,145.6431,,144.6051,,143.9699
2021-09-13,145.9926,147.8181,145.2116,147.0469,102404300,AAPL,147.2221,147.3861,,145.6568,,144.6325,,143.9900
2021-09-14,144.5965,147.4764,143.4153,146.7735,109296300,AAPL,147.0757,147.1205,,145.6152,,144.6318,,143.9960
2021-09-15,145.4849,145.8852,142.8882,145.0261,83281300,AAPL,147.0190,146.9647,,145.6101,,144.6487,,144.0108
2021-09-16,145.2506,145.4264,143.7180,144.9090,68034100,AAPL,147.1376,146.8015,,145.5960,,144.6606,,144.0232
2021-09-17,142.5856,145.2800,142.2927,145.2800,129868800,AAPL,147.1064,146.3999,,145.4780,,144.6195,,144.0089
2021-09-20,139.5398,141.3946,137.9095,140.3793,123478900,AAPL,146.8502,145.7466,,145.2451,,144.5190,,143.9644
2021-09-21,140.0181,141.1603,139.3836,140.5062,75834000,AAPL,146.5436,145.2010,,145.0401,,144.4298,,143.9251
2021-09-22,142.3806,142.9467,140.2817,141.0138,76404300,AAPL,146.3596,144.9324,,144.9358,,144.3893,,143.9098
2021-09-23,143.3372,143.5813,142.1755,143.1615,64838200,AAPL,146.2849,144.7805,,144.8731,,144.3684,,143.9041
2021-09-24,143.4251,143.9620,142.0974,142.1951,53477900,AAPL,146.2547,144.6514,,144.8164,,144.3497,,143.8993
2021-09-27,141.9120,142.4880,140.3989,142.0096,74150700,AAPL,146.0970,144.3905,,144.7025,,144.3015,,143.8795
2021-09-28,138.5343,141.3067,138.3195,139.8424,108972300,AAPL,145.5498,143.8328,,144.4606,,144.1873,,143.8263
2021-09-29,139.4324,141.0138,138.6514,139.0809,74602000,AAPL,145.1105,143.4137,,144.2634,,144.0931,,143.7826
2021-09-30,138.1341,140.9456,137.9193,140.2427,89056700,AAPL,144.5731,142.9109,,144.0230,,143.9751,,143.7264
2021-10-01,139.2567,139.5202,135.8009,138.5245,94639600,AAPL,144.0362,142.5628,,143.8361,,143.8817,,143.6819
2021-10-04,135.8302,138.8272,134.9809,138.3879,98322000,AAPL,143.2963,141.9216,,143.5221,,143.7222,,143.6038
2021-10-05,137.7533,138.8564,136.0449,136.1718,80861100,AAPL,142.5358,141.5247,,143.2959,,143.6040,,143.5456
2021-10-06,138.6221,138.7685,135.0785,136.1523,83221100,AAPL,141.8959,141.2482,,143.1126,,143.5054,,143.4966
2021-10-07,139.8815,140.7894,139.3251,139.6570,61732700,AAPL,141.3697,141.1181,,142.9859,,143.4336,,143.4606
2021-10-08,139.5007,140.7503,139.1688,140.6038,58773200,AAPL,141.0734,140.9640,,142.8492,,143.3557,,143.4212
2021-10-11,139.4129,141.3653,138.4367,138.8858,64452200,AAPL,140.7444,140.8163,,142.7145,,143.2777,,143.3814
2021-10-12,138.1438,139.8424,137.6850,139.8229,73035900,AAPL,140.4218,140.5618,,142.5352,,143.1760,,143.3292
2021-10-13,137.5581,138.0364,135.8888,137.8802,78762700,AAPL,140.0255,140.2757,143.6465,142.3401,,143.0648,,143.2718
2021-10-14,140.3403,140.4574,138.1438,138.7295,69907100,AAPL,139.7799,140.2819,143.5885,142.2616,,143.0108,,143.2426
2021-10-15,141.3946,141.4532,140.0962,140.3501,67940300,AAPL,139.7204,140.3878,143.5495,142.2276,,142.9788,,143.2243
2021-10-18,143.0639,143.3470,139.7545,140.0376,85589200,AAPL,139.8966,140.6427,143.5575,142.2604,,142.9805,,143.2227
2021-10-19,145.2213,145.6216,143.0639,143.5130,76378900,AAPL,140.1568,141.0788,143.6096,142.3765,,143.0249,,143.2426
2021-10-20,145.7095,146.1878,144.5966,145.1628,58418800,AAPL,140.3232,141.5198,143.6811,142.5073,,143.0780,,143.2671
2021-10-21,145.9242,146.0804,144.3525,145.2702,61421000,AAPL,140.4525,141.9393,143.7518,142.6413,,143.1344,,143.2935
2021-10-22,145.1530,146.6075,145.1042,146.1292,58883400,AAPL,140.5389,142.2453,143.7478,142.7398,,143.1744,,143.3120
2021-10-25,145.1042,145.8168,144.1085,145.1432,50720600,AAPL,140.6986,142.5176,143.7389,142.8325,,143.2126,,143.3299
2021-10-26,145.7680,147.2518,145.4654,145.7778,60893400,AAPL,141.0602,142.8272,143.7037,142.9476,,143.2632,,143.3541
2021-10-27,145.3092,146.1683,144.9578,145.8071,56094900,AAPL,141.3541,143.0635,143.6776,143.0402,,143.3037,,143.3736
2021-10-28,148.9407,149.5265,146.1585,146.2562,100077900,AAPL,141.8944,143.6233,143.7988,143.2716,,143.4153,,143.4290
2021-10-29,146.2366,146.3733,142.9272,143.7180,124953200,AAPL,142.2434,143.8722,143.8593,143.3879,,143.4712,,143.4569
2021-11-01,145.4166,146.1390,144.2842,145.4459,74588300,AAPL,142.7227,144.0193,143.8744,143.4674,,143.5097,,143.4764
2021-11-02,146.4514,147.9645,145.1140,145.1237,69122000,AAPL,143.1576,144.2509,143.8804,143.5844,,143.5680,,143.5060
2021-11-03,147.8864,148.3550,146.2561,146.8126,54511500,AAPL,143.6209,144.5971,143.9169,143.7532,,143.6535,,143.5496
2021-11-04,147.3690,148.8041,147.0567,147.9743,60394600,AAPL,143.9952,144.8611,143.9677,143.8950,,143.7271,,143.5876
2021-11-05,147.8969,148.7964,146.7042,148.4933,65463900,AAPL,144.4150,145.1502,144.0450,144.0519,,143.8096,,143.6305
2021-11-08,147.0757,148.1804,146.8020,148.0240,55020900,AAPL,144.7982,145.3336,144.0852,144.1705,,143.8743,,143.6648
2021-11-09,147.4375,148.0436,146.7042,146.8411,56787900,AAPL,145.2629,145.5340,144.0444,144.2986,,143.9449,,143.7023
2021-11-10,144.6121,146.7726,144.5436,146.6651,65187100,AAPL,145.6156,145.4462,143.9723,144.3109,,143.9581,,143.7114
2021-11-11,144.5632,146.0883,144.3774,145.6288,41000000,AAPL,145.8267,145.3621,143.8859,144.3208,,143.9701,,143.7198
2021-11-12,146.6358,147.0366,144.1819,145.1106,63804000,AAPL,146.0888,145.4834,143.8187,144.4116,,144.0228,,143.7488
2021-11-15,146.6456,148.4835,146.0883,147.0073,59222800,AAPL,146.2678,145.5941,143.7391,144.4992,,144.0748,,143.7777
2021-11-16,147.6232,148.1023,146.0003,146.5869,59256200,AAPL,146.3879,145.7873,143.6323,144.6217,,144.1450,,143.8159
2021-11-17,150.0575,151.5337,147.6134,147.6232,88807000,AAPL,146.6053,146.1940,143.6050,144.8349,,144.2621,,143.8780
2021-11-18,154.3396,155.1217,149.6274,150.2726,137827700,AAPL,147.0261,146.9698,143.6837,145.2076,,144.4617,,143.9821
2021-11-19,156.9596,157.4191,153.0295,154.1245,117305600,AAPL,147.6164,147.9212,143.9144,145.6684,,144.7092,,144.1113
2021-11-22,157.4191,161.9945,157.3996,158.0644,117467900,AAPL,148.2322,148.8258,144.1429,146.1293,,144.9608,,144.2437
2021-11-23,157.8004,158.1817,155.5030,157.5169,96041900,AAPL,148.8338,149.6805,144.4070,146.5870,,145.2151,,144.3786
2021-11-24,158.3185,158.5141,156.0700,157.1552,69463600,AAPL,149.4843,150.5032,144.6637,147.0470,,145.4746,,144.5173
2021-11-26,153.3033,156.8619,152.8633,156.0016,76959800,AAPL,149.7024,150.7698,144.8247,147.2924,,145.6296,,144.6047
2021-11-29,156.6566,157.5853,155.2390,155.8060,88748200,AAPL,150.2234,151.3305,145.1061,147.6596,,145.8479,,144.7246
2021-11-30,161.6034,161.8185,156.3437,156.4121,174048100,AAPL,151.0327,152.3089,145.5474,148.2064,,146.1599,,144.8926
2021-12-01,161.0853,166.4916,160.8506,163.7347,152052500,AAPL,151.7644,153.1447,145.9687,148.7115,,146.4555,,145.0537
2021-12-02,160.0978,160.5280,154.2711,155.1901,136739200,AAPL,152.3750,153.8069,146.3231,149.1580,,146.7256,,145.2034
2021-12-03,158.2208,161.2710,156.1482,160.3521,118023100,AAPL,152.9176,154.2273,146.6208,149.5134,,146.9533,,145.3329
2021-12-06,161.6230,164.1257,160.6062,160.6160,107497000,AAPL,153.6039,154.9316,146.9847,149.9883,,147.2437,,145.4950
2021-12-07,167.3519,167.7430,164.5755,165.2989,120405400,AAPL,154.6177,156.1145,147.4935,150.6692,,147.6419,,145.7125
2021-12-08,171.1647,172.0250,166.8826,168.2807,116998900,AAPL,155.8041,157.5479,148.1461,151.4729,,148.1077,,145.9657
2021-12-09,170.6563,172.7974,170.0307,170.9985,108923700,AAPL,157.1063,158.7963,148.7706,152.2252,,148.5542,,146.2114
2021-12-10,175.4370,175.6130,170.7834,171.2918,115402700,AAPL,158.6500,160.3811,149.5167,153.1355,,149.0866,,146.5022
2021-12-13,171.8100,178.0571,171.6047,177.0696,153237000,AAPL,159.9087,161.4696,150.1677,153.8678,,149.5365,,146.7540
2021-12-14,170.4314,173.7652,168.3589,171.3309,139380400,AAPL,161.0980,162.3231,150.8598,154.5174,,149.9503,,146.9896
2021-12-15,175.2903,175.4859,168.4567,171.1940,131063300,AAPL,162.4813,163.5581,151.6105,155.3320,,150.4521,,147.2712
2021-12-16,168.4077,177.0892,166.9315,175.2707,150185800,AAPL,163.3988,164.0199,152.2062,155.8448,,150.8076,,147.4815
2021-12-17,167.3128,169.5907,165.8952,166.1298,195432700,AAPL,164.0475,164.3335,152.7548,156.2945,,151.1345,,147.6789
2021-12-20,165.9539,166.7653,163.7151,164.5168,107499100,AAPL,164.4972,164.4879,153.2839,156.6733,,151.4279,,147.8607
2021-12-21,169.1215,169.3268,165.3380,167.7234,91185900,AAPL,165.0823,164.9292,153.8781,157.1615,,151.7783,,148.0723
2021-12-22,171.7122,171.9273,168.3002,169.1703,92135300,AAPL,165.7779,165.5752,154.5494,157.7321,,152.1730,,148.3075
2021-12-23,172.3378,172.8951,171.3504,171.9175,68356600,AAPL,166.4789,166.2192,155.2450,158.3049,149.4458,152.5723,,148.5466
2021-12-27,176.2973,176.3853,173.1102,173.1297,74919600,AAPL,167.6286,167.1790,155.9642,159.0104,149.7764,153.0421,,148.8227
2021-12-28,175.2805,177.2749,174.5375,176.1311,79144300,AAPL,168.5598,167.9506,156.6419,159.6485,150.0957,153.4825,,149.0860
2021-12-29,175.3685,176.5906,174.1563,175.3197,62348900,AAPL,169.2480,168.6571,157.2880,160.2650,150.4227,153.9159,,149.3475
2021-12-30,174.2149,176.5319,174.1074,175.4565,59773000,AAPL,169.9045,169.1864,157.8679,160.8120,150.7387,154.3178,,149.5949
2021-12-31,173.5990,175.2219,173.2959,174.1074,64062300,AAPL,170.5796,169.6066,158.4256,161.3135,151.0534,154.6996,,149.8338
2022-01-03,177.9397,178.7903,173.7359,173.8532,104487900,AAPL,171.5655,170.4003,159.0660,161.9655,151.4089,155.1598,,150.1134
2022-01-04,175.6814,178.8489,175.1143,178.5459,99310400,AAPL,172.2685,170.9032,159.6765,162.5034,151.7122,155.5662,,150.3679
2022-01-05,171.0083,176.1409,170.7345,175.5934,94537600,AAPL,172.4513,170.9132,160.1946,162.8369,151.9667,155.8720,,150.5732
2022-01-06,168.1536,171.3798,167.8016,168.8379,96904000,AAPL,172.3007,170.6504,160.6423,163.0454,152.1730,156.1152,,150.7482
2022-01-07,168.3198,170.2457,167.2053,169.0237,86709100,AAPL,172.1839,170.4285,161.1025,163.2522,152.3900,156.3569,,150.9230
2022-01-10,168.3393,168.6424,164.4092,165.2989,106765600,AAPL,171.8290,170.2295,161.4905,163.4517,152.6447,156.5941,,151.0963
2022-01-11,171.1647,171.2624,167.0000,168.4664,76138300,AAPL,171.7967,170.3186,161.9891,163.7542,152.9242,156.8827,,151.2960
2022-01-12,171.6046,173.2177,170.9105,172.1814,74805200,AAPL,171.8554,170.4410,162.5128,164.0620,153.1936,157.1742,,151.4981
2022-01-13,168.3393,172.6702,167.9483,171.8490,84505800,AAPL,171.5078,170.2409,162.9506,164.2298,153.4155,157.3953,,151.6656
2022-01-14,169.1997,169.8938,167.2639,167.5084,80440800,AAPL,171.5474,170.1417,163.3768,164.4247,153.6469,157.6290,,151.8401
2022-01-18,166.0028,168.6815,165.6215,167.6745,90956700,AAPL,171.4819,169.7475,163.7495,164.4866,153.8586,157.7949,,151.9810
2022-01-19,162.5126,167.2541,162.2291,166.1983,94815000,AAPL,171.3099,169.0585,164.0418,164.4092,154.0434,157.8883,,152.0858
2022-01-20,160.8311,165.8855,160.5084,163.2458,91420500,AAPL,170.8954,168.2749,164.3169,164.2688,154.2011,157.9465,,152.1728
2022-01-21,158.7780,162.6104,158.6705,160.7431,122848900,AAPL,170.2487,167.3705,164.5437,164.0535,154.2941,157.9630,,152.2386
2022-01-24,158.0057,158.6705,151.2405,156.4415,162294600,AAPL,169.5320,166.4786,164.8116,163.8163,154.3920,157.9639,,152.2959
2022-01-25,156.2069,159.1202,153.5086,155.4248,115798400,AAPL,168.5275,165.5003,165.0445,163.5179,154.4652,157.9291,,152.3349
