Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-04,147.4000,147.4600,145.0100,145.1000,4631400,ABNB,,147.4000,,147.4000,,147.4000,,147.4000
2021-08-05,150.3200,150.4100,146.3990,146.6700,4737500,ABNB,,147.6781,,147.5145,,147.4578,,147.4290
2021-08-06,149.9900,150.1900,147.5500,148.9900,4043500,ABNB,,147.8983,,147.6116,,147.5080,,147.4545
2021-08-09,149.4400,151.0000,148.7000,148.7400,5541900,ABNB,,148.0451,,147.6833,,147.5462,,147.4743
2021-08-10,147.9500,150.7600,147.8500,149.3650,5149800,ABNB,,148.0360,,147.6937,,147.5542,,147.4790
2021-08-11,148.1600,149.2800,145.1580,147.5400,6717700,ABNB,,148.0479,,147.7120,,147.5662,,147.4858
2021-08-12,151.1500,151.6800,146.5500,148.8600,8794100,ABNB,,148.3433,,147.8469,,147.6372,,147.5223
2021-08-13,152.7600,152.7600,144.5100,146.6600,16789100,ABNB,,148.7639,,148.0395,,147.7386,,147.5744
2021-08-16,148.5700,152.0300,144.9000,151.9900,7715200,ABNB,,148.7455,,148.0603,,147.7551,,147.5843
2021-08-17,143.9000,148.2000,143.5800,145.0000,7855100,ABNB,,148.2840,,147.8972,,147.6787,,147.5476
2021-08-18,146.7400,148.6800,141.7000,144.0200,5190100,ABNB,,148.1369,,147.8518,,147.6602,,147.5396
2021-08-19,142.6500,145.2800,141.9200,143.7910,4732400,ABNB,,147.6144,,147.6478,,147.5609,,147.4909
2021-08-20,143.7000,143.9490,141.5000,142.0000,2996200,ABNB,,147.2416,,147.4930,,147.4845,,147.4532
2021-08-23,146.7900,147.6300,144.1500,144.9000,4727400,ABNB,,147.1986,,147.4654,,147.4707,,147.4466
2021-08-24,161.4200,161.9800,146.5000,147.0000,22096800,ABNB,,148.5530,,148.0127,,147.7470,,147.5857
2021-08-25,160.3500,163.0590,158.0000,158.7640,7267700,ABNB,,149.6765,,148.4965,,147.9965,,147.7127
2021-08-26,152.7300,159.5000,151.4500,159.3400,7243000,ABNB,,149.9673,,148.6625,,148.0903,,147.7626
2021-08-27,154.1800,156.4400,151.4500,152.2510,4818800,ABNB,,150.3685,,148.8789,,148.2108,,147.8264
2021-08-30,156.0200,157.4900,151.9200,154.4100,3968700,ABNB,,150.9068,,149.1589,,148.3655,,147.9080
2021-08-31,154.9900,158.1500,153.5800,155.9400,7404000,ABNB,150.4605,151.2956,,149.3876,,148.4967,,147.9784
2021-09-01,156.5900,158.6400,154.2900,154.8400,4324700,ABNB,150.9200,151.7999,,149.6700,,148.6569,,148.0641
2021-09-02,157.2000,159.4600,156.5000,156.5000,3301000,ABNB,151.2640,152.3142,,149.9653,,148.8261,,148.1550
2021-09-03,158.0000,160.6400,157.2000,158.0500,4456400,ABNB,151.6645,152.8557,,150.2804,,149.0078,,148.2530
2021-09-07,165.0000,165.7350,159.5500,159.7200,11008800,ABNB,152.4425,154.0123,,150.8576,,149.3244,,148.4196
2021-09-08,163.9300,166.5500,161.6000,163.2300,5866500,ABNB,153.2415,154.9568,,151.3703,,149.6137,,148.5740
2021-09-09,166.0000,166.9700,160.8300,163.0000,5935800,ABNB,154.1335,156.0086,,151.9440,,149.9381,,148.7473
2021-09-10,165.2000,168.2360,165.0100,166.9500,3985300,ABNB,154.8360,156.8839,,152.4638,,150.2403,,148.9111
2021-09-13,160.3200,162.9900,154.7900,160.2500,7520900,ABNB,155.2140,157.2112,,152.7719,,150.4399,,149.0246
2021-09-14,163.3000,164.7000,159.4100,160.6600,4655500,ABNB,155.9505,157.7911,,153.1848,,150.6946,,149.1666
2021-09-15,166.3700,166.6300,160.4900,162.3200,5656000,ABNB,157.0740,158.6081,,153.7019,,151.0050,,149.3378
2021-09-16,168.1500,169.4500,165.0400,165.2600,6094800,ABNB,158.1445,159.5169,,154.2685,,151.3445,,149.5250
2021-09-17,166.5900,170.0000,163.6100,169.3000,20024700,ABNB,159.3415,160.1905,,154.7517,,151.6464,,149.6948
2021-09-20,161.6400,166.5400,159.4450,162.2400,6846800,ABNB,160.2385,160.3285,,155.0218,,151.8443,,149.8136
2021-09-21,169.2900,170.0100,162.9600,164.0000,8592500,ABNB,161.3635,161.1820,,155.5813,,152.1898,,150.0074
2021-09-22,169.9600,171.8100,167.3710,170.0290,4353600,ABNB,161.7905,162.0180,,156.1452,,152.5416,,150.2060
2021-09-23,175.1300,176.0000,170.5000,171.5500,5370800,ABNB,162.5295,163.2668,,156.8897,,152.9889,,150.4540
2021-09-24,175.8800,176.9600,173.6100,174.5300,4084900,ABNB,163.6870,164.4680,,157.6344,,153.4422,,150.7070
2021-09-27,174.2600,176.3190,172.0200,175.0000,3551400,ABNB,164.6910,165.4006,,158.2864,,153.8545,,150.9413
2021-09-28,168.5800,173.5600,166.9000,172.5160,4362800,ABNB,165.3190,165.7034,,158.6901,,154.1461,,151.1168
2021-09-29,168.0700,171.2210,166.5500,170.1000,2788700,ABNB,165.9730,165.9288,,159.0579,,154.4218,,151.2855
2021-09-30,167.7500,169.5000,165.7100,168.1000,2662500,ABNB,166.5310,166.1022,,159.3988,,154.6857,,151.4493
2021-10-01,173.0100,173.2000,168.5500,170.3100,4963000,ABNB,167.3215,166.7601,,159.9325,,155.0486,,151.6639
2021-10-04,164.5000,172.2600,164.0300,171.9900,4459400,ABNB,167.6465,166.5449,,160.1117,,155.2357,,151.7916
2021-10-05,164.7400,166.5900,162.4300,165.6700,4340100,ABNB,167.6335,166.3730,,160.2932,,155.4239,,151.9204
2021-10-06,167.2500,167.3200,160.6300,161.3900,2461500,ABNB,167.7995,166.4565,,160.5660,,155.6581,,152.0730
2021-10-07,169.6000,171.2700,168.6000,170.0000,2119600,ABNB,167.9795,166.7559,,160.9203,,155.9342,,152.2474
2021-10-08,169.9700,174.1000,169.4800,170.1000,2265100,ABNB,168.2180,167.0620,,161.2752,,156.2121,,152.4237
2021-10-11,166.6700,171.5400,166.6300,170.0000,2046300,ABNB,168.5355,167.0247,,161.4867,,156.4192,,152.5655
2021-10-12,172.7500,175.9000,171.2300,172.6940,6028100,ABNB,169.0080,167.5699,,161.9284,,156.7426,,152.7663
2021-10-13,173.5800,175.1900,171.8000,173.0000,3521900,ABNB,169.3685,168.1423,160.3698,162.3853,,157.0760,,152.9734
2021-10-14,170.5000,176.7500,170.0400,175.2400,4139400,ABNB,169.4860,168.3669,160.8318,162.7036,,157.3418,,153.1478
2021-10-15,169.1800,172.9500,168.5800,171.9000,3592700,ABNB,169.6155,168.4443,161.2090,162.9575,,157.5762,,153.3073
2021-10-18,172.3200,172.7000,167.1100,167.5000,2793700,ABNB,170.1495,168.8134,161.6556,163.3247,,157.8682,,153.4965
2021-10-19,170.7400,172.8100,170.0600,172.5700,2776600,ABNB,170.2220,168.9969,162.0816,163.6155,,158.1231,,153.6681
2021-10-20,169.7600,171.9400,168.2000,170.0600,2687000,ABNB,170.2120,169.0696,162.5178,163.8565,,158.3535,,153.8282
2021-10-21,170.5000,171.5300,167.7000,169.0740,2889400,ABNB,169.9805,169.2058,162.9646,164.1170,,158.5940,,153.9941
2021-10-22,166.6400,169.4400,165.1600,169.3000,2986000,ABNB,169.5185,168.9614,163.2744,164.2159,,158.7534,,154.1199
2021-10-25,169.2400,170.3290,166.6500,166.6900,2620800,ABNB,169.2675,168.9880,163.6040,164.4129,,158.9610,,154.2704
2021-10-26,171.1400,172.0000,167.9000,170.4000,2937900,ABNB,169.3955,169.1929,164.0554,164.6768,,159.2022,,154.4382
2021-10-27,169.1000,172.6500,168.8800,170.7400,3009800,ABNB,169.4470,169.1841,164.5594,164.8502,,159.3982,,154.5841
2021-10-28,171.7000,171.8500,168.7100,170.2000,2143700,ABNB,169.6445,169.4237,165.0586,165.1188,,159.6418,,154.7544
2021-10-29,170.6600,171.3900,168.8490,171.3900,2294400,ABNB,169.5270,169.5414,165.6188,165.3361,,159.8600,,154.9127
2021-11-01,174.6000,175.4400,170.5000,170.5000,4401100,ABNB,170.0320,170.0232,166.2368,165.6994,,160.1518,,155.1086
2021-11-02,172.8700,175.3000,170.5800,174.9500,3292100,ABNB,170.4385,170.2943,166.7584,165.9806,,160.4037,,155.2853
2021-11-03,172.8700,173.7500,170.9300,171.8900,2827100,ABNB,170.7195,170.5396,166.9874,166.2508,,160.6506,,155.4603
2021-11-04,178.4500,179.4350,173.9600,175.9500,9664600,ABNB,171.1620,171.2930,167.3494,166.7292,,161.0030,,155.6890
2021-11-05,201.6200,203.2950,185.9440,186.1500,27330500,ABNB,172.7445,174.1813,168.3272,168.0975,,161.8073,,156.1461
2021-11-08,200.3200,211.3360,199.7500,203.3500,12855300,ABNB,174.4270,176.6707,169.2500,169.3611,,162.5699,,156.5856
2021-11-09,194.6800,201.5000,187.5000,201.4400,9056100,ABNB,175.5235,178.3859,170.0232,170.3540,,163.2058,,156.9647
2021-11-10,192.2200,195.0000,189.2800,190.2300,6704100,ABNB,176.4555,179.7034,170.7678,171.2115,,163.7803,,157.3155
2021-11-11,191.6100,197.9300,190.7700,195.2000,5899000,ABNB,177.5110,180.8374,171.4682,172.0114,,164.3314,,157.6567
2021-11-12,206.5400,208.1600,192.0600,192.4650,12057800,ABNB,179.3790,183.2852,172.4550,173.3655,,165.1672,,158.1431
2021-11-15,207.2100,209.2400,204.1600,206.2000,7479300,ABNB,181.1235,185.5638,173.4392,174.6927,,165.9997,,158.6313
2021-11-16,207.0400,209.9300,203.4700,205.5900,4431300,ABNB,182.9385,187.6091,174.2800,175.9612,,166.8124,,159.1130
2021-11-17,199.1100,212.5840,198.4000,207.0000,6383400,ABNB,184.4060,188.7045,174.9836,176.8690,,167.4520,,159.5110
2021-11-18,204.3300,205.0000,196.0000,199.3400,4597700,ABNB,186.0975,190.1926,175.7502,177.9459,,168.1822,,159.9569
2021-11-19,196.4200,199.3600,190.5000,196.6000,8181900,ABNB,187.5865,190.7857,176.3746,178.6704,,168.7414,,160.3198
2021-11-22,181.7300,190.7600,176.7200,190.4400,12619800,ABNB,188.2110,189.9232,176.8028,178.7904,,168.9986,,160.5328
2021-11-23,178.2700,183.7300,175.2500,181.1430,6451900,ABNB,188.5675,188.8134,177.1022,178.7700,,169.1822,,160.7093
2021-11-24,179.8900,182.7800,175.0000,175.6300,4763300,ABNB,189.1070,187.9636,177.3726,178.8139,,169.3942,,160.9001
2021-11-26,173.8600,174.6400,167.0400,167.7600,6044100,ABNB,189.2150,186.6204,177.4868,178.6196,,169.4827,,161.0291
2021-11-29,180.0800,180.7000,175.9000,176.8800,5317400,ABNB,189.6860,185.9975,177.7566,178.6769,,169.6925,,161.2187
2021-11-30,172.5400,180.6400,170.9210,176.4050,10682700,ABNB,189.5830,184.7158,177.9746,178.4362,,169.7489,,161.3313
2021-12-01,163.0800,180.1300,162.0300,174.0100,7645700,ABNB,189.0935,182.6553,177.8504,177.8340,,169.6168,,161.3487
2021-12-02,169.6000,170.2950,160.4900,161.3600,5687600,ABNB,188.9300,181.4119,177.8432,177.5111,,169.6165,,161.4308
2021-12-03,166.7500,170.7300,162.1400,168.9800,6460900,ABNB,188.3450,180.0155,177.6756,177.0891,,169.5597,,161.4837
2021-12-06,180.8500,181.9300,162.8500,167.2750,9813800,ABNB,187.3065,180.0950,177.7750,177.2366,,169.7833,,161.6764
2021-12-07,183.1400,187.5000,182.0200,185.6100,6264600,ABNB,186.4475,180.3850,177.9526,177.4681,,170.0478,,161.8900
2021-12-08,186.4900,187.5000,182.1400,186.0000,4218700,ABNB,186.0380,180.9664,178.3108,177.8219,,170.3734,,162.1348
2021-12-09,181.4600,185.3020,179.2800,182.0900,3518000,ABNB,185.5000,181.0134,178.5786,177.9646,,170.5929,,162.3271
2021-12-10,180.4200,181.1000,175.8540,178.1500,3980400,ABNB,184.9405,180.9569,178.8320,178.0609,,170.7875,,162.5071
2021-12-13,171.0400,180.0000,168.8900,178.2500,7263700,ABNB,183.1655,180.0124,178.7926,177.7855,,170.7925,,162.5920
2021-12-14,167.9600,169.9100,164.5000,168.2980,5660400,ABNB,181.2030,178.8646,178.8618,177.4002,,170.7364,,162.6454
2021-12-15,168.1400,168.9600,160.1800,167.6400,6678500,ABNB,179.2580,177.8432,178.9298,177.0371,,170.6850,,162.7001
2021-12-16,156.3800,167.7300,153.6000,166.2500,9415100,ABNB,177.1215,175.7991,178.7124,176.2270,,170.4017,,162.6372
2021-12-17,157.9100,158.3100,149.4400,154.6200,24062400,ABNB,174.8005,174.0954,178.4786,175.5087,,170.1544,,162.5902
2021-12-20,157.2300,158.4800,151.0000,151.1600,4639300,ABNB,172.8410,172.4891,178.2238,174.7919,,169.8985,,162.5368
2021-12-21,165.6600,167.2750,158.3700,159.5000,6293500,ABNB,172.0375,171.8387,178.2036,174.4338,,169.8145,,162.5679
