Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-16,107.4800,111.5800,105.8700,110.2000,73325400,AMD,,107.4800,,107.4800,,107.4800,,107.4800
2021-08-17,107.5600,108.7000,105.3500,106.6400,74053900,AMD,,107.4876,,107.4831,,107.4816,,107.4808
2021-08-18,103.4400,108.0700,103.2700,107.3500,79387900,AMD,,107.1021,,107.3246,,107.4016,,107.4406
2021-08-19,103.7000,106.1800,101.9800,103.3200,71117500,AMD,,106.7781,,107.1824,,107.3283,,107.4034
2021-08-20,104.6500,105.9800,103.9900,104.3200,55227600,AMD,,106.5754,,107.0831,,107.2752,,107.3760
2021-08-23,108.7700,109.0200,104.8600,105.3000,68835300,AMD,,106.7844,,107.1493,,107.3048,,107.3898
2021-08-24,107.6500,109.6100,107.2800,109.4500,51239300,AMD,,106.8669,,107.1689,,107.3117,,107.3924
2021-08-25,108.3000,109.9100,107.4500,108.1300,45485500,AMD,,107.0034,,107.2133,,107.3312,,107.4015
2021-08-26,107.2700,109.2300,106.8400,108.5700,51442500,AMD,,107.0288,,107.2155,,107.3300,,107.4002
2021-08-27,111.4000,111.7800,107.8000,108.0100,61030000,AMD,,107.4451,,107.3796,,107.4106,,107.4400
2021-08-30,111.3200,114.4900,111.2600,112.6100,56130500,AMD,,107.8141,,107.5341,,107.4880,,107.4786
2021-08-31,110.7200,111.2600,109.0300,111.2600,49339000,AMD,,108.0909,,107.6591,,107.5520,,107.5108
2021-09-01,109.9900,111.8500,109.8500,111.3000,38579600,AMD,,108.2717,,107.7505,,107.6003,,107.5355
2021-09-02,109.2000,110.8800,108.7700,110.3200,40090500,AMD,,108.3601,,107.8073,,107.6320,,107.5520
2021-09-03,109.9200,111.1700,108.5000,108.8500,42605800,AMD,,108.5087,,107.8902,,107.6773,,107.5756
2021-09-07,109.1500,110.5800,108.6600,109.9600,28815200,AMD,,108.5698,,107.9396,,107.7064,,107.5913
2021-09-08,106.1700,109.3000,105.5200,108.8800,43067900,AMD,,108.3412,,107.8702,,107.6760,,107.5771
2021-09-09,106.1500,107.3000,105.8400,106.5600,31857900,AMD,,108.1325,,107.8027,,107.6458,,107.5629
2021-09-10,105.2000,106.9900,104.9800,106.9900,32602300,AMD,,107.8532,,107.7007,,107.5974,,107.5394
2021-09-13,104.8000,105.2800,102.6300,105.2600,37767800,AMD,107.6420,107.5625,,107.5869,,107.5420,,107.5122
2021-09-14,105.7300,106.8200,104.4200,105.5200,40629500,AMD,107.5545,107.3879,,107.5141,,107.5061,,107.4944
2021-09-15,105.6000,106.3200,104.0300,106.0000,37998900,AMD,107.4565,107.2177,,107.4390,,107.4684,,107.4756
2021-09-16,106.2200,106.7500,103.7600,104.9200,38150300,AMD,107.5955,107.1226,,107.3912,,107.4436,,107.4631
2021-09-17,103.8800,105.9800,103.7100,105.5600,44528300,AMD,107.6045,106.8138,,107.2535,,107.3731,,107.4274
2021-09-20,101.5500,102.5100,99.5100,101.5800,45228400,AMD,107.4495,106.3125,,107.0299,,107.2578,,107.3690
2021-09-21,102.8200,103.4300,101.1800,102.1500,35481500,AMD,107.1520,105.9799,,106.8648,,107.1699,,107.3237
2021-09-22,104.3800,104.5600,102.2100,102.8200,34126300,AMD,106.9885,105.8275,,106.7673,,107.1146,,107.2944
2021-09-23,106.1500,106.8600,103.8900,104.8900,32816700,AMD,106.8810,105.8582,,106.7431,,107.0955,,107.2830
2021-09-24,105.8000,106.0500,104.6800,105.1900,26482600,AMD,106.8075,105.8527,,106.7061,,107.0699,,107.2683
2021-09-27,108.1600,108.4400,103.4400,105.0700,51944300,AMD,106.6455,106.0724,,106.7631,,107.0915,,107.2771
2021-09-28,101.5200,107.6500,101.4200,106.8400,74469000,AMD,106.1555,105.6389,,106.5575,,106.9811,,107.2198
2021-09-29,100.3500,102.6600,99.8100,102.3000,52224700,AMD,105.6370,105.1352,,106.3141,,106.8498,,107.1515
2021-09-30,102.9000,104.4400,101.9900,102.0800,57636700,AMD,105.2825,104.9223,,106.1802,,106.7716,,107.1092
2021-10-01,102.4500,103.0000,100.6400,102.6000,41491600,AMD,104.9450,104.6868,,106.0339,,106.6860,,107.0628
2021-10-04,100.3400,101.8500,99.8200,101.7400,41967100,AMD,104.4660,104.2728,,105.8106,,106.5604,,106.9959
2021-10-05,101.8100,102.8700,100.6100,100.9200,31455200,AMD,104.0990,104.0383,,105.6537,,106.4663,,106.9443
2021-10-06,103.6400,103.7200,100.3500,100.4500,39071700,AMD,103.9725,104.0004,,105.5748,,106.4103,,106.9114
2021-10-07,106.4500,107.9500,104.4600,104.6000,41543100,AMD,103.9875,104.2337,,105.6091,,106.4111,,106.9069
2021-10-08,105.0600,107.2800,104.8900,106.5500,30623000,AMD,103.9805,104.3124,,105.5876,,106.3844,,106.8885
2021-10-11,104.6800,107.2000,104.0200,104.6200,31284400,AMD,103.9745,104.3474,,105.5520,,106.3506,,106.8665
2021-10-12,105.0400,106.0400,104.3400,105.1700,34039900,AMD,103.9400,104.4133,,105.5319,,106.3247,,106.8483
2021-10-13,109.1600,109.8800,106.2500,106.2800,55631900,AMD,104.1180,104.8654,,105.6742,,106.3808,,106.8713
2021-10-14,111.9900,112.2200,109.6300,110.5000,46900200,AMD,104.4065,105.5439,,105.9219,,106.4919,,106.9223
2021-10-15,112.1200,112.8400,111.1100,112.5100,34203000,AMD,104.8185,106.1702,,106.1649,,106.6033,,106.9740
2021-10-18,116.4300,116.8800,111.3700,111.9000,47537800,AMD,105.5625,107.1473,,106.5675,,106.7979,,107.0681
2021-10-19,116.3300,117.1700,114.4700,116.1600,39593900,AMD,106.2380,108.0219,,106.9503,,106.9867,,107.1602
2021-10-20,116.3900,118.3000,115.4200,116.2900,34244800,AMD,106.8385,108.8188,,107.3205,,107.1729,,107.2521
2021-10-21,119.3300,119.6800,116.2600,116.5000,34794900,AMD,107.4975,109.8199,,107.7915,,107.4136,,107.3722
2021-10-22,119.8200,121.5600,118.3700,120.8300,38992700,AMD,108.1985,110.7723,,108.2632,,107.6593,,107.4961
2021-10-25,122.3600,123.4600,118.6000,120.5200,47834100,AMD,108.9085,111.8759,107.6260,108.8160,,107.9504,,107.6440
2021-10-26,122.9300,127.2000,122.5800,122.9900,59458900,AMD,109.9790,112.9287,107.9350,109.3695,,108.2470,,107.7961
2021-10-27,122.2800,128.0800,121.0500,121.6300,98245300,AMD,111.0755,113.8193,108.2294,109.8758,,108.5249,,107.9402
2021-10-28,121.1600,123.5000,120.2600,122.8600,58002500,AMD,111.9885,114.5184,108.5838,110.3183,,108.7751,,108.0718
2021-10-29,120.2300,122.5700,119.8800,120.9500,43320100,AMD,112.8775,115.0623,108.9144,110.7070,,109.0019,,108.1927
2021-11-01,125.2300,125.6700,118.1300,119.4500,54559800,AMD,114.1220,116.0307,109.3260,111.2765,,109.3233,,108.3623
2021-11-02,127.6300,128.4600,124.2000,124.9800,53491900,AMD,115.4130,117.1354,109.7032,111.9178,,109.6858,,108.5540
2021-11-03,130.5300,130.6000,126.7900,127.7500,59537800,AMD,116.7575,118.4111,110.1608,112.6477,,110.0985,,108.7727
2021-11-04,137.5000,139.0000,130.7700,132.0100,84825200,AMD,118.3100,120.2291,110.7448,113.6223,,110.6411,,109.0585
2021-11-05,136.3400,141.2200,134.4200,139.1900,64920600,AMD,119.8740,121.7634,111.3262,114.5132,,111.1500,,109.3300
2021-11-08,150.1600,153.6000,137.7000,137.7000,141493800,AMD,122.1480,124.4679,112.1014,115.9111,,111.9225,,109.7362
2021-11-09,148.9200,155.6500,143.8900,154.0100,98442600,AMD,124.3420,126.7966,112.8534,117.2056,,112.6551,,110.1261
2021-11-10,139.8700,146.3000,138.5200,143.9300,82989200,AMD,125.8775,128.0417,113.4364,118.0944,,113.1940,,110.4221
2021-11-11,146.0100,146.4700,140.8400,142.9600,67934800,AMD,127.5785,129.7530,114.1568,119.1891,,113.8439,,110.7762
2021-11-12,147.8900,148.5900,144.2500,146.0300,52162100,AMD,129.3670,131.4803,114.9306,120.3146,,114.5180,,111.1455
2021-11-15,146.4900,148.9800,142.8600,148.0000,52271300,AMD,130.8700,132.9098,115.6620,121.3411,,115.1511,,111.4972
2021-11-16,152.4500,153.0800,145.3400,145.9300,53100800,AMD,132.6760,134.7708,116.5280,122.5611,,115.8897,,111.9046
2021-11-17,151.3400,154.6600,149.6900,151.9800,54527500,AMD,134.4235,136.3488,117.4314,123.6897,,116.5917,,112.2970
2021-11-18,155.0200,158.8900,152.5600,157.0700,60612700,AMD,136.2080,138.1270,118.4088,124.9183,,117.3527,,112.7221
