Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-30,171.0785,172.2500,167.7610,167.8715,63844000,AMZN,,171.0785,,171.0785,,171.0785,,171.0785
2021-08-31,173.5395,173.6290,169.7795,171.2400,87128000,AMZN,,171.3129,,171.1750,,171.1272,,171.1030
2021-09-01,173.9500,176.3500,173.7620,174.8200,72598000,AMZN,,171.5640,,171.2838,,171.1831,,171.1313
2021-09-02,173.1560,175.5980,172.7500,174.7380,58474000,AMZN,,171.7157,,171.3573,,171.2222,,171.1515
2021-09-03,173.9025,174.1335,171.8220,172.6000,51514000,AMZN,,171.9239,,171.4571,,171.2753,,171.1788
2021-09-07,175.4645,176.4045,173.8470,173.9000,54758000,AMZN,,172.2611,,171.6142,,171.3582,,171.2215
2021-09-08,176.2750,177.2815,174.7835,175.5825,61068000,AMZN,,172.6434,,171.7970,,171.4556,,171.2718
2021-09-09,174.2080,177.4995,174.0185,176.3010,54384000,AMZN,,172.7924,,171.8915,,171.5101,,171.3010
2021-09-10,173.4575,175.4225,173.1455,175.0915,47946000,AMZN,,172.8557,,171.9530,,171.5487,,171.3224
2021-09-13,172.8585,174.8980,171.9000,174.1400,51380000,AMZN,,172.8560,,171.9885,,171.5746,,171.3377
2021-09-14,172.5000,174.3405,171.8855,173.7775,38738000,AMZN,,172.8221,,172.0085,,171.5929,,171.3493
2021-09-15,173.7895,174.2710,170.1005,172.1260,59150000,AMZN,,172.9142,,172.0784,,171.6364,,171.3736
2021-09-16,174.4120,174.6275,172.3070,172.9980,51672000,AMZN,,173.0569,,172.1699,,171.6914,,171.4038
2021-09-17,173.1260,174.8705,172.6065,174.4205,92332000,AMZN,,173.0635,,172.2074,,171.7198,,171.4209
2021-09-20,167.7865,170.9500,165.2505,169.8000,93382000,AMZN,,172.5609,,172.0340,,171.6419,,171.3848
2021-09-21,167.1815,168.9850,166.6195,168.7500,55618000,AMZN,,172.0486,,171.8437,,171.5536,,171.3430
2021-09-22,169.0025,169.4500,167.0525,167.5500,48228000,AMZN,,171.7585,,171.7323,,171.5031,,171.3197
2021-09-23,170.8000,171.4480,169.0025,169.0025,47588000,AMZN,,171.6672,,171.6957,,171.4891,,171.3145
2021-09-24,171.2760,171.4630,169.6700,170.1005,42324000,AMZN,,171.6299,,171.6793,,171.4849,,171.3141
2021-09-27,170.2900,170.7785,166.9805,168.5750,72690000,AMZN,172.4027,171.5023,,171.6248,,171.4613,,171.3039
2021-09-28,165.7980,168.4595,164.5050,167.8855,88616000,AMZN,172.1387,170.9591,,171.3963,,171.3491,,171.2491
2021-09-29,165.0560,167.5650,164.8935,166.1055,51246000,AMZN,171.7145,170.3969,,171.1477,,171.2245,,171.1875
2021-09-30,164.2520,166.3925,163.6995,165.8000,56848000,AMZN,171.2296,169.8116,,170.8772,,171.0864,,171.1185
2021-10-01,164.1630,165.4585,162.7970,164.4505,56712000,AMZN,170.7799,169.2737,,170.6139,,170.9493,,171.0493
2021-10-04,159.4890,163.9995,158.8125,163.9695,90462000,AMZN,170.0593,168.3418,,170.1777,,170.7224,,170.9343
2021-10-05,161.0500,163.0365,160.1230,160.2250,65384000,AMZN,169.3386,167.6473,,169.8197,,170.5309,,170.8359
2021-10-06,163.1005,163.2170,159.9310,160.6765,50660000,AMZN,168.6798,167.2143,,169.5562,,170.3837,,170.7589
2021-10-07,165.1215,166.2875,164.1530,164.5770,48182000,AMZN,168.2255,167.0150,,169.3823,,170.2795,,170.7029
2021-10-08,164.4310,166.0715,164.4100,165.8500,39964000,AMZN,167.7742,166.7689,,169.1881,,170.1637,,170.6404
2021-10-11,162.3150,164.6295,161.9050,163.7500,40684000,AMZN,167.2470,166.3447,,168.9186,,170.0083,,170.5576
2021-10-12,162.3665,163.3765,161.8140,162.8500,36392000,AMZN,166.7403,165.9658,,168.6617,,169.8570,,170.4761
2021-10-13,164.2140,164.4190,163.0545,163.4855,48402000,AMZN,166.2616,165.7990,,168.4872,,169.7452,,170.4138
2021-10-14,164.9930,165.6300,164.5390,165.1225,42190000,AMZN,165.7906,165.7222,,168.3502,,169.6511,,170.3599
2021-10-15,170.4510,170.5210,165.2000,165.5710,103598000,AMZN,165.6569,166.1726,,168.4326,,169.6670,,170.3608
2021-10-18,172.3370,172.4585,169.2550,169.4180,63482000,AMZN,165.8844,166.7597,,168.5857,,169.7198,,170.3804
