Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2023-09-14,63.5900,66.2800,55.5400,56.1000,130534500,ARM,,63.5900,,63.5900,,63.5900,,63.5900
2023-09-15,60.7500,69.0000,60.7500,68.6300,74753100,ARM,,63.3195,,63.4786,,63.5338,,63.5617
2023-09-18,58.0000,58.7410,55.0200,57.9500,34571900,ARM,,62.8129,,63.2638,,63.4242,,63.5064
2023-09-19,55.1700,56.7800,53.8800,56.2500,18308600,ARM,,62.0850,,62.9464,,63.2607,,63.4235
2023-09-20,52.9100,55.4000,51.5200,55.1700,16369500,ARM,,61.2112,,62.5528,,63.0558,,63.3188
2023-09-21,52.1600,52.8000,49.8500,51.7800,15010900,ARM,,60.3492,,62.1452,,62.8400,,63.2078
2023-09-22,51.3200,52.9000,50.3550,52.9000,8430200,ARM,,59.4893,,61.7207,,62.6119,,63.0895
2023-09-25,54.4400,54.5000,50.0200,51.1200,12896500,ARM,,59.0084,,61.4352,,62.4501,,63.0035
2023-09-26,53.5200,54.5300,52.7000,53.9300,6283500,ARM,,58.4857,,61.1248,,62.2732,,62.9091
2023-09-27,52.9900,54.4100,51.7890,54.4000,6866700,ARM,,57.9623,,60.8058,,62.0894,,62.8104
2023-09-28,55.4900,56.5000,52.8600,53.5000,8765800,ARM,,57.7268,,60.5973,,61.9587,,62.7376
2023-09-29,53.5200,56.7900,53.0800,56.2100,7810000,ARM,,57.3262,,60.3198,,61.7916,,62.6458
2023-10-02,52.2600,54.1900,51.9100,53.4750,8857100,ARM,,56.8437,,60.0037,,61.6029,,62.5425
2023-10-03,51.5700,52.2350,50.8000,51.9600,4687700,ARM,,56.3414,,59.6730,,61.4042,,62.4333
2023-10-04,53.4600,53.8100,51.3100,51.9700,6206500,ARM,,56.0670,,59.4293,,61.2469,,62.3440
2023-10-05,52.5100,53.9000,52.0900,53.9000,2984400,ARM,,55.7282,,59.1580,,61.0739,,62.2462
2023-10-06,54.0800,54.2100,51.5500,52.7200,4009200,ARM,,55.5713,,58.9588,,60.9354,,62.1649
2023-10-09,54.2500,55.8000,53.3700,54.3200,7197700,ARM,,55.4454,,58.7742,,60.8030,,62.0862
2023-10-10,55.7100,55.8600,54.2000,55.2400,5138100,ARM,,55.4706,,58.6540,,60.7022,,62.0227
2023-10-11,54.6800,56.3300,54.3800,56.1700,4454700,ARM,54.6190,55.3953,,58.4982,,60.5829,,61.9497
2023-10-12,51.8500,54.7500,51.4100,54.7500,7323100,ARM,54.0320,55.0577,,58.2375,,60.4100,,61.8492
2023-10-13,50.7800,52.5600,50.0000,52.5000,6454600,ARM,53.5335,54.6503,,57.9450,,60.2193,,61.7390
2023-10-16,52.0900,52.3500,51.0400,51.0400,3316800,ARM,53.2380,54.4064,,57.7154,,60.0583,,61.6430
2023-10-17,52.2900,52.7600,50.6500,51.0000,2549700,ARM,53.0940,54.2049,,57.5026,,59.9045,,61.5500
2023-10-18,51.9000,52.7000,51.2750,52.2800,2268900,ARM,53.0435,53.9854,,57.2829,,59.7460,,61.4539
2023-10-19,49.7400,52.7000,49.5300,52.0000,4553400,ARM,52.9225,53.5810,,56.9871,,59.5478,,61.3374
2023-10-20,47.8700,49.7400,46.5000,49.7400,8089100,ARM,52.7500,53.0371,,56.6296,,59.3166,,61.2034
