Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-30,239.5600,241.1700,236.0000,236.2400,12089100,BA,,239.5600,,239.5600,,239.5600,,239.5600
2021-07-01,239.7300,241.8000,238.6100,240.3600,9516200,BA,,239.5762,,239.5667,,239.5634,,239.5617
2021-07-02,236.6800,240.1100,233.4700,239.5500,15706600,BA,,239.3004,,239.4535,,239.5063,,239.5330
2021-07-06,236.1400,237.1700,233.4700,236.8500,11045800,BA,,238.9994,,239.3235,,239.4396,,239.4993
2021-07-07,231.7800,238.0100,230.5200,235.1700,11497000,BA,,238.3118,,239.0277,,239.2879,,239.4224
2021-07-08,236.7700,237.4700,226.1600,227.4800,17964300,BA,,238.1650,,238.9392,,239.2381,,239.3961
2021-07-09,239.5900,240.3800,236.2200,237.7700,12385400,BA,,238.3007,,238.9647,,239.2450,,239.3980
2021-07-12,238.2900,240.7700,236.4600,237.9900,9071500,BA,,238.2997,,238.9382,,239.2261,,239.3870
2021-07-13,228.2000,234.4900,228.1600,232.2700,21029500,BA,,237.3378,,238.5171,,239.0078,,239.2756
2021-07-14,224.4500,230.5200,224.3000,229.0200,12137000,BA,,236.1104,,237.9655,,238.7195,,239.1281
2021-07-15,222.7600,226.6700,220.8000,222.8800,12228600,BA,,234.8389,,237.3692,,238.4035,,238.9653
2021-07-16,217.7400,224.0000,217.0300,223.1100,12413400,BA,,233.2105,,236.5994,,237.9943,,238.7541
2021-07-19,206.9900,211.5500,204.8000,211.1800,24123600,BA,,230.7133,,235.4382,,237.3804,,238.4380
2021-07-20,217.1500,217.3700,206.6200,208.1000,17027300,BA,,229.4215,,234.7211,,236.9798,,238.2262
2021-07-21,222.5400,224.0900,218.9000,219.5000,11437600,BA,,228.7661,,234.2434,,236.6938,,238.0701
2021-07-22,220.8700,222.2500,218.3100,221.5200,9768900,BA,,228.0141,,233.7189,,236.3805,,237.8990
2021-07-23,221.5200,224.6300,220.9400,222.9700,9379500,BA,,227.3956,,233.2405,,236.0862,,237.7360
2021-07-26,225.8500,226.1200,219.8900,220.0000,8933200,BA,,227.2484,,232.9507,,235.8835,,237.6177
2021-07-27,222.2700,225.7000,220.4200,223.1700,8784200,BA,,226.7743,,232.5319,,235.6139,,237.4650
2021-07-28,231.5700,237.4900,231.3300,234.0500,19330500,BA,228.0225,227.2310,,232.4941,,235.5339,,237.4063
2021-07-29,231.6300,234.8200,231.1200,233.6900,8667900,BA,227.6260,227.6500,,232.4603,,235.4566,,237.3489
2021-07-30,226.4800,231.1800,225.4000,229.3900,9940100,BA,226.9635,227.5386,,232.2257,,235.2788,,237.2407
2021-08-02,225.3400,230.4700,224.8700,227.1900,8889100,BA,226.3965,227.3292,,231.9557,,235.0820,,237.1223
2021-08-03,229.0900,229.1000,221.3000,225.9000,7326400,BA,226.0440,227.4969,,231.8433,,234.9633,,237.0424
2021-08-04,226.6300,232.3500,225.3300,226.4200,9756300,BA,225.7865,227.4143,,231.6389,,234.7983,,236.9388
2021-08-05,229.9400,231.5400,226.4900,226.6800,8362600,BA,225.4450,227.6549,,231.5723,,234.7021,,236.8691
2021-08-06,231.3300,233.5700,230.4200,231.5500,6061900,BA,225.0320,228.0049,,231.5628,,234.6354,,236.8140
2021-08-09,232.2700,233.5700,226.8900,229.0000,8358600,BA,224.7310,228.4111,,231.5905,,234.5885,,236.7688
2021-08-10,235.7800,236.8500,231.6200,231.9700,9603500,BA,225.1100,229.1129,,231.7548,,234.6121,,236.7590
2021-08-11,239.4900,239.5900,234.5800,236.6100,9664000,BA,225.8620,230.1012,,232.0581,,234.7087,,236.7861
2021-08-12,238.1800,241.1500,236.5100,240.0000,6810000,BA,226.6330,230.8706,,232.2982,,234.7774,,236.8000
2021-08-13,234.4600,239.6900,234.2800,238.0100,6390300,BA,227.4690,231.2124,,232.3830,,234.7712,,236.7767
2021-08-16,229.0600,232.0300,227.1400,231.9000,7622000,BA,228.5725,231.0074,,232.2527,,234.6581,,236.6999
2021-08-17,222.2200,226.2400,219.8000,226.2000,13124000,BA,228.8260,230.1705,,231.8592,,234.4118,,236.5559
2021-08-18,219.0000,223.6500,218.9000,221.7300,9000900,BA,228.6490,229.1067,,231.3549,,234.1066,,236.3812
2021-08-19,212.1600,218.3000,211.7300,216.3000,11404400,BA,228.2135,227.4927,,230.6022,,233.6720,,236.1402
2021-08-20,212.6700,214.7400,210.9400,212.3100,9335700,BA,227.7710,226.0810,,229.8990,,233.2561,,235.9066
2021-08-23,219.4000,220.1800,215.3800,215.8300,10392100,BA,227.4485,225.4447,,229.4873,,232.9817,,235.7424
2021-08-24,221.4300,223.1000,219.8000,220.1100,8942600,BA,227.4065,225.0624,,229.1713,,232.7530,,235.6000
2021-08-25,221.0300,222.3000,219.1000,221.5000,6528900,BA,226.8795,224.6783,,228.8520,,232.5208,,235.4550
2021-08-26,216.5000,222.9000,215.9100,221.4100,8341400,BA,226.1230,223.8995,,228.3676,,232.2036,,235.2664
2021-08-27,221.7500,222.4300,216.8600,217.4700,7684900,BA,225.8865,223.6947,,228.1081,,231.9966,,235.1319
2021-08-30,217.6600,222.3700,217.5300,222.3500,7587800,BA,225.5025,223.1200,,227.6984,,231.7127,,234.9581
2021-08-31,219.5000,221.3300,217.0900,217.3300,6764500,BA,225.0230,222.7752,,227.3769,,231.4709,,234.8042
2021-09-01,218.1200,221.7600,217.6200,220.0000,7157400,BA,224.5975,222.3319,,227.0139,,231.2065,,234.6382
2021-09-02,220.8300,223.8400,218.0800,218.9500,8899500,BA,224.1420,222.1888,,226.7714,,231.0010,,234.5008
2021-09-03,218.1700,221.1800,217.4600,219.4500,6393500,BA,223.4840,221.8061,,226.4340,,230.7469,,234.3383
2021-09-07,214.2400,216.7100,212.1700,215.9100,13196100,BA,222.5825,221.0855,,225.9558,,230.4201,,234.1384
2021-09-08,211.3800,216.0800,210.5100,213.6000,8877600,BA,221.3625,220.1612,,225.3842,,230.0430,,233.9119
2021-09-09,213.9400,216.6100,210.7200,211.1500,9242800,BA,220.0850,219.5687,225.4026,224.9355,,229.7242,,233.7132
2021-09-10,210.3000,215.8900,210.1200,215.1600,6959700,BA,218.6910,218.6860,224.8174,224.3615,,229.3395,,233.4802
2021-09-13,214.4800,215.6400,209.8800,211.3500,10175900,BA,217.6920,218.2854,224.3124,223.9740,,229.0453,,233.2912
2021-09-14,211.5700,216.1100,210.7100,215.8400,9947000,BA,216.8175,217.6458,223.8102,223.4876,,228.6992,,233.0750
2021-09-15,214.2200,214.3500,210.3200,211.7900,7916300,BA,216.4175,217.3196,223.3718,223.1241,,228.4125,,232.8874
2021-09-16,213.3600,216.3100,213.3100,213.9600,6370900,BA,216.1355,216.9425,223.0034,222.7412,,228.1145,,232.6931
2021-09-17,213.3600,215.3700,211.9100,213.1200,7932700,BA,216.1955,216.6013,222.5352,222.3733,,227.8223,,232.5007
2021-09-20,209.5000,212.4300,206.5300,210.8100,10567400,BA,216.0370,215.9250,221.9334,221.8685,,227.4595,,232.2719
2021-09-21,208.5100,211.7600,207.7200,210.2500,7139000,BA,215.4925,215.2188,221.3378,221.3446,,227.0842,,232.0354
2021-09-22,216.9800,217.9900,209.6500,210.0000,10953000,BA,215.2700,215.3865,221.1134,221.1735,,226.8841,,231.8856
2021-09-23,221.1000,222.6200,217.1500,217.8100,9344600,BA,215.2735,215.9307,221.0464,221.1706,,226.7696,,231.7783
2021-09-24,221.3900,222.4100,218.6600,219.1300,6498200,BA,215.5180,216.4506,221.0190,221.1792,,226.6631,,231.6750
2021-09-27,224.1600,228.6000,223.8800,224.0000,9749200,BA,215.6385,217.1848,221.1474,221.2961,,226.6135,,231.6002
2021-09-28,218.4100,224.5800,216.4200,222.9000,9639800,BA,215.6760,217.3015,221.3758,221.1829,,226.4511,,231.4689
2021-09-29,225.3600,229.9400,224.8600,227.8000,16808000,BA,215.9690,218.0690,221.5400,221.3467,,226.4295,,231.4081
2021-09-30,219.9400,226.1500,219.4600,226.0800,10366900,BA,216.0600,218.2472,221.4880,221.2916,,226.3010,,231.2940
2021-10-01,226.0000,226.7200,220.6000,222.8500,9113600,BA,216.3185,218.9855,221.5906,221.4762,,226.2950,,231.2414
2021-10-04,223.7900,227.9700,222.0000,225.6800,6946100,BA,216.5995,219.4431,221.6360,221.5669,,226.2454,,231.1672
2021-10-05,224.4200,226.4500,222.4200,224.2700,5687300,BA,217.1085,219.9171,221.6074,221.6788,,226.2092,,231.1001
2021-10-06,224.9900,225.0700,219.2000,221.0800,7157600,BA,217.7890,220.4002,221.6618,221.8087,,226.1851,,231.0393
2021-10-07,226.4800,229.0000,225.9000,227.3400,7748500,BA,218.4160,220.9793,221.5600,221.9919,,226.1909,,230.9939
2021-10-08,226.3900,228.7100,225.4000,226.7500,4515000,BA,219.2205,221.4946,221.4552,222.1643,,226.1949,,230.9481
2021-10-11,226.4500,232.1000,225.3200,226.5000,7287000,BA,219.8190,221.9665,221.4546,222.3324,,226.1999,,230.9033
