Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2023-06-15,43.7800,47.8900,40.0000,42.0000,16751800,CAVA,,43.7800,,43.7800,,43.7800,,43.7800
2023-06-16,38.1500,46.6800,36.4500,44.8700,8417500,CAVA,,43.2438,,43.5592,,43.6685,,43.7240
2023-06-20,38.4300,39.4800,37.5650,38.0000,1607200,CAVA,,42.7854,,43.3581,,43.5648,,43.6713
2023-06-21,38.3400,39.2000,37.9000,38.4300,738600,CAVA,,42.3620,,43.1613,,43.4613,,43.6183
2023-06-22,39.1600,40.1400,37.5900,38.0000,2365600,CAVA,,42.0570,,43.0044,,43.3761,,43.5739
2023-06-23,40.1500,40.8100,38.7000,39.0000,1118800,CAVA,,41.8754,,42.8924,,43.3123,,43.5398
2023-06-26,42.5900,43.2300,40.2500,40.6500,1645000,CAVA,,41.9435,,42.8806,,43.2980,,43.5304
2023-06-27,45.5500,46.1400,42.6120,42.8700,1801000,CAVA,,42.2869,,42.9853,,43.3426,,43.5505
2023-06-28,42.2100,45.5500,41.2300,45.5500,1984600,CAVA,,42.2796,,42.9549,,43.3201,,43.5371
2023-06-29,43.5300,44.2000,42.6290,42.6900,947500,CAVA,,42.3987,,42.9774,,43.3243,,43.5371
2023-06-30,40.9500,44.5000,40.2900,43.7000,1947400,CAVA,,42.2607,,42.8979,,43.2773,,43.5113
2023-07-03,39.4800,41.0650,38.4500,41.0000,1574700,CAVA,,41.9959,,42.7639,,43.2021,,43.4712
2023-07-05,38.0400,39.4300,37.0700,38.9700,1650300,CAVA,,41.6191,,42.5786,,43.0999,,43.4172
2023-07-06,39.2000,40.4000,37.2600,37.4300,1304700,CAVA,,41.3888,,42.4461,,43.0226,,43.3752
2023-07-07,39.6200,41.6000,38.7500,39.5200,916900,CAVA,,41.2203,,42.3353,,42.9553,,43.3378
2023-07-10,44.0000,44.1000,40.5100,40.5100,2520200,CAVA,,41.4850,,42.4006,,42.9759,,43.3444
2023-07-11,45.4500,47.0000,43.3700,45.8000,3043900,CAVA,,41.8626,,42.5202,,43.0249,,43.3654
2023-07-12,52.0100,52.2500,46.2150,47.4400,4386000,CAVA,,42.8291,,42.8923,,43.2029,,43.4514
2023-07-13,47.6800,54.8600,46.8200,54.2200,5134300,CAVA,,43.2911,,43.0801,,43.2915,,43.4935
2023-07-14,47.6700,49.2400,45.8550,47.2000,2043100,CAVA,42.2995,43.7081,,43.2601,,43.3782,,43.5350
2023-07-17,47.6200,49.7100,46.5400,47.6700,1262000,CAVA,42.4915,44.0807,,43.4310,,43.4622,,43.5757
2023-07-18,51.0200,51.4900,47.2500,47.6200,1905800,CAVA,43.1350,44.7416,,43.7286,,43.6119,,43.6497
2023-07-19,48.5200,51.9400,47.8900,51.8400,1813900,CAVA,43.6395,45.1014,,43.9165,,43.7091,,43.6982
2023-07-20,49.5600,50.4300,48.2200,48.2200,1191300,CAVA,44.2005,45.5260,,44.1379,,43.8249,,43.7565
2023-07-21,48.7800,49.7500,47.6500,49.7500,865300,CAVA,44.6815,45.8359,,44.3199,,43.9230,,43.8065
2023-07-24,53.2800,53.3260,49.1000,49.3300,2097100,CAVA,45.3380,46.5449,,44.6713,,44.1083,,43.9008
2023-07-25,51.8500,53.4500,51.0600,53.2300,1687200,CAVA,45.8010,47.0501,,44.9528,,44.2616,,43.9799
2023-07-26,51.6300,52.5000,50.2500,51.8000,898300,CAVA,46.1050,47.4863,,45.2146,,44.4075,,44.0560
2023-07-27,49.8800,53.2490,49.6000,51.6900,1323700,CAVA,46.4885,47.7143,,45.3976,,44.5159,,44.1139
2023-07-28,52.9100,53.1000,50.2500,50.5250,843600,CAVA,46.9575,48.2091,,45.6922,,44.6821,,44.2015
2023-07-31,57.1100,57.2900,53.1100,53.6700,2364200,CAVA,47.7655,49.0568,,46.1400,,44.9282,,44.3299
2023-08-01,56.9900,57.7400,54.5000,56.3900,952800,CAVA,48.6410,49.8124,,46.5655,,45.1671,,44.4559
2023-08-02,55.3200,58.1000,54.1500,56.0000,1471900,CAVA,49.5050,50.3369,,46.9088,,45.3681,,44.5640
2023-08-03,55.6800,57.1600,54.7700,55.3800,712200,CAVA,50.3290,50.8458,,47.2527,,45.5723,,44.6746
2023-08-04,53.4400,56.8100,52.8200,56.5500,925600,CAVA,51.0200,51.0928,,47.4954,,45.7281,,44.7618
2023-08-07,52.9600,54.2200,52.0600,53.6800,621100,CAVA,51.4680,51.2707,,47.7097,,45.8713,,44.8434
2023-08-08,50.5100,52.2000,49.7150,52.2000,1081800,CAVA,51.7210,51.1982,,47.8195,,45.9632,,44.8998
2023-08-09,48.0600,50.8400,47.5100,50.5100,964300,CAVA,51.5235,50.8993,,47.8289,,46.0047,,44.9312
2023-08-10,48.0900,50.7200,47.8700,48.2000,872200,CAVA,51.5440,50.6318,,47.8392,,46.0460,,44.9626
2023-08-11,48.4800,49.2000,47.7100,47.7500,621700,CAVA,51.5845,50.4269,,47.8643,,46.0942,,44.9976
2023-08-14,47.8500,48.8770,46.6200,48.5800,966800,CAVA,51.5960,50.1814,,47.8637,,46.1289,,45.0260
2023-08-15,46.3900,48.4670,45.8500,47.0800,2356600,CAVA,51.3645,49.8203,,47.8059,,46.1341,,45.0396
