Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-30,21.4192,22.4382,21.2609,21.9831,36760800,CCL,,21.4192,,21.4192,,21.4192,,21.4192
2021-08-02,21.2312,22.3195,21.1323,21.5973,34093900,CCL,,21.4013,,21.4118,,21.4155,,21.4173
2021-08-03,21.2015,21.3697,20.3012,21.3400,33254000,CCL,,21.3823,,21.4036,,21.4112,,21.4152
2021-08-04,20.8157,21.4588,20.5980,20.8454,33239400,CCL,,21.3283,,21.3805,,21.3994,,21.4092
2021-08-05,22.3096,22.4085,20.9146,20.9344,32938000,CCL,,21.4218,,21.4170,,21.4175,,21.4182
2021-08-06,22.8339,22.8537,22.1711,22.6064,30680700,CCL,,21.5563,,21.4725,,21.4455,,21.4323
2021-08-09,22.4679,22.6262,21.7556,22.6262,29949200,CCL,,21.6431,,21.5116,,21.4658,,21.4426
2021-08-10,23.3979,23.5957,22.4778,22.5767,34886200,CCL,,21.8102,,21.5855,,21.5040,,21.4620
2021-08-11,23.7342,23.7540,22.8241,23.3385,29487300,CCL,,21.9934,,21.6698,,21.5482,,21.4846
2021-08-12,23.1110,23.6254,22.7152,23.5265,29141100,CCL,,22.0999,,21.7263,,21.5791,,21.5008
2021-08-13,22.6163,23.1307,22.4976,23.0516,21235800,CCL,,22.1491,,21.7612,,21.5997,,21.5119
2021-08-16,22.5470,22.6855,21.7061,22.1909,25770200,CCL,,22.1870,,21.7920,,21.6184,,21.5222
2021-08-17,21.8050,22.2601,21.4291,22.0029,26331800,CCL,,22.1506,,21.7925,,21.6221,,21.5250
2021-08-18,22.2403,22.7350,21.4489,21.7852,31060700,CCL,,22.1591,,21.8101,,21.6344,,21.5321
2021-08-19,21.4291,22.0326,21.1125,21.7655,27943900,CCL,,22.0896,,21.7952,,21.6303,,21.5311
2021-08-20,21.7259,21.7852,21.1026,21.2807,22632800,CCL,,22.0550,,21.7924,,21.6322,,21.5331
2021-08-23,22.5866,22.7449,22.0029,22.0227,23992000,CCL,,22.1056,,21.8236,,21.6511,,21.5435
2021-08-24,23.5858,23.8134,22.9527,22.9922,32814300,CCL,,22.2466,,21.8927,,21.6894,,21.5639
2021-08-25,23.8530,24.0607,23.1604,23.7244,30576000,CCL,,22.3996,,21.9696,,21.7322,,21.5866
2021-08-26,23.2198,24.0607,22.9922,23.5760,28762800,CCL,22.4066,22.4777,,22.0186,,21.7617,,21.6029
2021-08-27,24.0904,24.3081,23.2890,23.3187,36693800,CCL,22.5401,22.6313,,22.0998,,21.8078,,21.6276
2021-08-30,23.3781,24.3773,23.3484,24.3674,27629300,CCL,22.6475,22.7024,,22.1500,,21.8389,,21.6451
2021-08-31,23.8826,23.9321,23.2495,23.2791,28512600,CCL,22.7815,22.8148,,22.2179,,21.8794,,21.6673
2021-09-01,23.2594,24.1597,23.0615,23.9618,31875000,CCL,22.9037,22.8571,,22.2588,,21.9067,,21.6832
2021-09-02,23.7639,24.2091,22.8735,23.3286,36546600,CCL,22.9764,22.9435,,22.3178,,21.9435,,21.7039
2021-09-03,22.7152,23.8925,22.3986,23.6650,44194500,CCL,22.9705,22.9218,,22.3334,,21.9588,,21.7139
