Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-16,37.5474,37.6800,37.2400,37.5602,7215000,CMG,,37.5474,,37.5474,,37.5474,,37.5474
2021-08-17,37.3922,37.5316,37.1000,37.4270,7545000,CMG,,37.5326,,37.5413,,37.5443,,37.5459
2021-08-18,37.0296,37.5400,37.0036,37.4166,5330000,CMG,,37.4847,,37.5212,,37.5341,,37.5407
2021-08-19,37.4148,37.4890,36.8000,36.8000,6475000,CMG,,37.4781,,37.5171,,37.5318,,37.5395
2021-08-20,37.8308,37.9500,37.4290,37.5560,6235000,CMG,,37.5116,,37.5294,,37.5377,,37.5424
2021-08-23,38.2400,38.7352,37.8924,37.9408,9640000,CMG,,37.5810,,37.5572,,37.5516,,37.5493
2021-08-24,38.4104,38.5542,38.2182,38.3334,6515000,CMG,,37.6600,,37.5907,,37.5686,,37.5579
2021-08-25,38.4900,38.8198,38.4066,38.6434,8280000,CMG,,37.7391,,37.6260,,37.5869,,37.5672
2021-08-26,38.1306,38.4852,37.9806,38.4000,8455000,CMG,,37.7763,,37.6458,,37.5976,,37.5728
2021-08-27,38.3790,38.6048,38.2018,38.3540,8935000,CMG,,37.8337,,37.6745,,37.6131,,37.5808
2021-08-30,38.3214,38.6522,38.2170,38.3800,8235000,CMG,,37.8802,,37.6999,,37.6271,,37.5881
2021-08-31,38.0666,38.4960,37.9210,38.4960,15720000,CMG,,37.8979,,37.7143,,37.6358,,37.5929
2021-09-01,37.9668,38.2276,37.8480,38.1600,9500000,CMG,,37.9045,,37.7242,,37.6424,,37.5966
2021-09-02,38.0560,38.1560,37.8942,38.1560,7280000,CMG,,37.9189,,37.7372,,37.6506,,37.6012
2021-09-03,38.4002,38.4386,37.8000,37.9426,7830000,CMG,,37.9648,,37.7632,,37.6654,,37.6092
2021-09-07,37.8964,38.4792,37.8498,38.3288,15695000,CMG,,37.9582,,37.7684,,37.6700,,37.6120
2021-09-08,38.1140,38.4108,37.8110,38.2818,13065000,CMG,,37.9731,,37.7820,,37.6788,,37.6170
2021-09-09,38.1940,38.6170,38.1274,38.2044,10940000,CMG,,37.9941,,37.7981,,37.6890,,37.6227
2021-09-10,38.0206,38.5336,37.9938,38.5272,10335000,CMG,,37.9966,,37.8068,,37.6955,,37.6267
2021-09-13,37.3438,38.0580,37.0428,38.0170,14640000,CMG,37.9622,37.9345,,37.7887,,37.6886,,37.6239
2021-09-14,37.1958,37.5112,36.9864,37.5112,10445000,CMG,37.9447,37.8641,,37.7654,,37.6788,,37.6196
2021-09-15,37.6016,37.7116,36.8000,37.1624,15075000,CMG,37.9551,37.8391,,37.7590,,37.6773,,37.6195
2021-09-16,38.3576,38.4320,37.7836,38.0000,17890000,CMG,38.0215,37.8885,,37.7825,,37.6908,,37.6268
2021-09-17,38.1804,38.7546,37.9770,38.7546,23510000,CMG,38.0598,37.9163,,37.7981,,37.7005,,37.6323
