Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-16,147.9582,148.9708,145.7598,147.2650,3140800,COF,,147.9582,,147.9582,,147.9582,,147.9582
2021-06-17,140.0677,149.2262,138.1339,149.1167,4308500,COF,,147.2068,,147.6488,,147.8020,,147.8797
2021-06-18,136.8477,137.2308,134.5672,136.4646,8383600,COF,,146.2202,,147.2252,,147.5851,,147.7700
2021-06-21,141.2901,141.3813,137.9423,138.2434,2875000,COF,,145.7507,,146.9925,,147.4604,,147.7055
2021-06-22,141.2901,142.2205,139.4292,140.7519,2363900,COF,,145.3258,,146.7689,,147.3382,,147.6416
2021-06-23,142.6401,143.7712,141.4269,141.9469,2032200,COF,,145.0701,,146.6069,,147.2452,,147.5919
2021-06-24,143.7348,144.2821,141.7554,143.7531,2077500,COF,,144.9429,,146.4943,,147.1757,,147.5535
2021-06-25,145.9423,147.7758,145.7598,146.4440,4238200,COF,,145.0381,,146.4727,,147.1513,,147.5375
2021-06-28,142.3026,145.9605,141.6550,145.4132,2693100,COF,,144.7776,,146.3091,,147.0553,,147.4854
2021-06-29,140.6151,144.4189,140.3141,143.5523,2151000,COF,,144.3811,,146.0858,,146.9277,,147.4170
2021-06-30,141.1077,141.5911,140.1316,140.1955,2631800,COF,,144.0694,,145.8906,,146.8125,,147.3542
2021-07-01,143.3516,144.1817,141.5090,141.8739,3354200,COF,,144.0010,,145.7910,,146.7439,,147.3144
2021-07-02,143.5797,144.9936,143.3517,143.8534,2247700,COF,,143.9609,,145.7043,,146.6813,,147.2772
2021-07-06,141.8465,143.5615,140.6060,142.9959,3566700,COF,,143.7595,,145.5530,,146.5856,,147.2232
2021-07-07,141.4269,142.9503,139.6938,140.1225,3042300,COF,,143.5374,,145.3912,,146.4834,,147.1655
2021-07-08,139.0735,141.2810,136.3278,138.5626,3313700,COF,,143.1122,,145.1435,,146.3367,,147.0850
2021-07-09,146.4531,146.7906,141.7097,141.7371,3638900,COF,,143.4304,,145.1948,,146.3390,,147.0787
2021-07-12,150.3756,150.9138,144.2000,145.2034,3250200,COF,,144.0919,,145.3980,,146.4189,,147.1115
2021-07-13,148.5421,150.7861,148.3596,150.3756,2536700,COF,,144.5157,,145.5213,,146.4609,,147.1258
2021-07-14,144.8933,150.5124,143.7895,148.7519,4190900,COF,143.1669,144.5517,,145.4967,,146.4299,,147.1036
2021-07-15,146.2707,146.5352,142.5671,142.9047,3069700,COF,143.0826,144.7154,,145.5270,,146.4268,,147.0953
2021-07-16,143.6892,147.4565,143.2878,147.4565,1955100,COF,143.2636,144.6176,,145.4550,,146.3725,,147.0614
2021-07-19,140.1225,141.2172,137.6414,139.9766,3757400,COF,143.4274,144.1895,,145.2458,,146.2488,,146.9923
2021-07-20,144.1088,145.2582,139.0552,139.5296,3306200,COF,143.5683,144.1818,,145.2012,,146.2064,,146.9636
2021-07-21,148.8796,149.9651,145.4041,145.5957,2508500,COF,143.9478,144.6292,,145.3455,,146.2593,,146.9827
2021-07-22,147.2559,148.7610,144.7656,147.9583,2966600,COF,144.1786,144.8794,,145.4204,,146.2791,,146.9854
2021-07-23,146.0244,149.8283,142.8408,143.2148,3516300,COF,144.2931,144.9884,,145.4441,,146.2740,,146.9759
2021-07-26,148.0860,148.6880,145.9514,145.9970,2055900,COF,144.4002,145.2834,,145.5477,,146.3099,,146.9869
2021-07-27,148.2684,149.2901,145.1669,145.9058,2168000,COF,144.6985,145.5677,,145.6544,,146.3487,,146.9997
2021-07-28,147.2194,149.1806,145.8419,148.7245,2314800,COF,145.0287,145.7250,,145.7158,,146.3659,,147.0018
2021-07-29,149.5181,150.8317,148.6059,149.1441,2587900,COF,145.4493,146.0863,,145.8649,,146.4284,,147.0269
2021-07-30,147.5021,150.5945,146.5352,148.8339,2661400,COF,145.6568,146.2211,,145.9291,,146.4496,,147.0316
2021-08-02,146.0426,151.3425,144.9662,148.8157,3934600,COF,145.7799,146.2041,,145.9335,,146.4416,,147.0218
2021-08-03,147.2559,147.8305,141.8101,146.9092,2868200,COF,146.0504,146.3043,,145.9854,,146.4577,,147.0241
2021-08-04,147.0369,149.7553,145.1305,146.2068,2722800,COF,146.3309,146.3741,,146.0266,,146.4692,,147.0242
2021-08-05,148.8614,149.5546,147.9765,147.9765,2749500,COF,146.8203,146.6109,,146.1378,,146.5165,,147.0425
2021-08-06,152.5004,153.9339,150.9473,151.4895,3394500,COF,147.1227,147.1718,,146.3873,,146.6350,,147.0968
2021-08-09,152.7393,153.6031,149.9089,151.4803,2239500,COF,147.2408,147.7021,,146.6364,,146.7559,,147.1530
2021-08-10,156.8378,157.4076,152.6382,152.7393,3442500,COF,147.6556,148.5722,,147.0365,,146.9555,,147.2493
2021-08-11,160.4034,160.7618,156.0751,157.1411,3880500,COF,148.4311,149.6989,,147.5607,,147.2218,,147.3802
2021-08-12,162.5905,162.8111,159.3558,160.3575,3274300,COF,149.2471,150.9267,,148.1501,,147.5262,,147.5316
2021-08-13,163.3256,163.5278,161.5429,162.8202,2368300,COF,150.2290,152.1076,,148.7452,,147.8390,,147.6887
2021-08-16,162.9489,163.3164,160.9823,161.7358,2115000,COF,151.3703,153.1401,,149.3022,,148.1382,,147.8406
2021-08-17,159.2363,162.2229,157.5363,161.0651,2791000,COF,152.1266,153.7207,,149.6918,,148.3580,,147.9539
2021-08-18,158.0784,161.3867,157.3892,158.3633,1759900,COF,152.5866,154.1357,,150.0207,,148.5505,,148.0547
2021-08-19,154.4761,157.6833,153.4193,155.4135,2478500,COF,152.9476,154.1681,,150.1954,,148.6678,,148.1186
2021-08-20,154.5865,155.4135,152.0501,154.5497,2595700,COF,153.3757,154.2080,,150.3676,,148.7850,,148.1829
2021-08-23,155.6248,157.3249,155.2848,155.6891,2019400,COF,153.7526,154.3429,,150.5737,,148.9205,,148.2570
2021-08-24,156.2681,157.7935,155.7167,156.1210,1668400,COF,154.1526,154.5262,,150.7971,,149.0660,,148.3367
2021-08-25,159.8336,160.4125,156.4335,156.7643,2184300,COF,154.7833,155.0317,148.3786,151.1514,,149.2792,,148.4511
2021-08-26,157.7200,160.5412,157.4259,160.2655,1867100,COF,155.1934,155.2877,148.5738,151.4090,,149.4463,,148.5433
2021-08-27,161.5521,161.7175,157.7384,158.3449,1747700,COF,155.8959,155.8843,149.0035,151.8068,,149.6860,,148.6728
2021-08-30,151.8020,159.5028,151.7284,158.1887,4300600,COF,156.1839,155.4955,149.3026,151.8066,,149.7279,,148.7039
2021-08-31,152.5187,153.6215,150.0284,151.6549,3791800,COF,156.4470,155.2120,149.5272,151.8345,,149.7832,,148.7419
2021-09-01,148.5765,153.0794,148.1630,152.5096,3342900,COF,156.5240,154.5801,149.6729,151.7068,,149.7593,,148.7402
2021-09-02,147.0877,150.1387,146.5915,149.3300,3118100,COF,156.4353,153.8665,149.7619,151.5256,,149.7064,,148.7238
2021-09-03,144.5147,147.3726,143.7244,147.0234,3361200,COF,156.0361,152.9759,149.7775,151.2507,,149.6036,,148.6819
2021-09-07,144.2114,146.7386,143.7795,144.2298,3437100,COF,155.6097,152.1412,149.7428,150.9746,,149.4968,,148.6374
2021-09-08,142.0702,143.8071,139.8004,143.8071,3342600,COF,154.8713,151.1820,149.7382,150.6254,,149.3498,,148.5721
2021-09-09,143.1546,146.2790,141.9600,142.2908,2904600,COF,154.0088,150.4175,149.7890,150.3325,,149.2271,,148.5182
2021-09-10,142.9524,145.0293,142.8054,144.1930,2855400,COF,153.0269,149.7065,149.8259,150.0431,,149.1028,,148.4628
2021-09-13,146.0493,146.5088,144.1930,144.3401,3349600,COF,152.1631,149.3582,149.8798,149.8864,,149.0424,,148.4388
2021-09-14,141.8773,147.1888,141.4729,146.6558,4075000,COF,151.1095,148.6458,149.8458,149.5723,,148.9005,,148.3735
2021-09-15,146.0309,146.2055,142.2632,142.6400,3210800,COF,150.4493,148.3967,149.9295,149.4335,,148.8437,,148.3502
2021-09-16,147.1888,148.1721,146.2239,146.6650,2627300,COF,149.9048,148.2817,150.0447,149.3454,,148.8109,,148.3386
2021-09-17,146.6375,148.0894,145.6082,146.2055,4829600,COF,149.5129,148.1251,150.1960,149.2392,,148.7679,,148.3217
2021-09-20,143.6968,144.2849,140.9032,141.6016,3430000,COF,148.9684,147.7034,150.1409,149.0219,,148.6674,,148.2757
2021-09-21,143.8163,145.9850,143.6509,145.1947,2845900,COF,148.3779,147.3332,150.0097,148.8178,,148.5714,,148.2313
2021-09-22,146.6834,147.9700,145.5347,145.8196,3001400,COF,147.8987,147.2713,149.9725,148.7341,,148.5340,,148.2159
2021-09-23,152.5647,153.6031,147.9515,148.5488,2977000,COF,147.5353,147.7754,150.1259,148.8843,,148.6138,,148.2592
2021-09-24,152.7026,154.4302,151.5906,151.7469,2695100,COF,147.2844,148.2447,150.2546,149.0340,,148.6948,,148.3034
2021-09-27,156.0016,156.4702,153.7501,154.0993,2611000,COF,147.0069,148.9834,150.5008,149.3073,,148.8395,,148.3800
2021-09-28,153.8145,157.6006,153.5572,155.7076,2935900,COF,147.1075,149.4435,150.7747,149.4840,,148.9380,,148.4340
2021-09-29,153.0518,154.9540,152.4728,154.9540,2004500,COF,147.1341,149.7872,150.9535,149.6239,,149.0194,,148.4800
2021-09-30,148.8429,154.2740,148.7327,154.2740,2712000,COF,147.1475,149.6972,150.9528,149.5933,,149.0159,,148.4836
2021-10-01,153.0426,154.2372,148.7511,149.4311,2696400,COF,147.4452,150.0158,151.0685,149.7286,,149.0957,,148.5290
2021-10-04,152.6474,156.4794,152.2614,153.0425,2759000,COF,147.8519,150.2665,151.2010,149.8430,,149.1660,,148.5700
2021-10-05,155.0459,156.8562,152.9047,154.4578,2089100,COF,148.3936,150.7217,151.3402,150.0471,,149.2824,,148.6344
2021-10-06,154.2647,155.3307,151.1403,153.3917,2032000,COF,149.0033,151.0591,151.4601,150.2125,,149.3811,,148.6904
2021-10-07,154.2739,157.5362,154.1177,155.9740,2011100,COF,149.5593,151.3653,151.6012,150.3717,,149.4780,,148.7460
2021-10-08,155.1194,157.3984,153.8420,154.7886,1713200,COF,150.1676,151.7228,151.7132,150.5579,,149.5897,,148.8094
2021-10-11,152.7117,157.8579,152.5923,155.7626,1929400,COF,150.5007,151.8170,151.8174,150.6424,,149.6515,,148.8482
2021-10-12,154.0626,154.6875,151.7744,152.7577,1697500,COF,151.1100,152.0309,151.9778,150.7765,,149.7389,,148.9001
2021-10-13,148.9624,154.1453,146.6191,153.9891,3849900,COF,151.2566,151.7386,152.0119,150.7054,,149.7235,,148.9007
2021-10-14,152.5555,152.8128,149.5506,151.7652,2281500,COF,151.5249,151.8164,152.1223,150.7779,,149.7796,,148.9371
2021-10-15,154.7334,156.4519,153.7042,154.3842,2762800,COF,151.9297,152.0942,152.2398,150.9330,,149.8777,,148.9948
2021-10-18,155.4502,156.8286,153.4928,153.7410,1760600,COF,152.5174,152.4138,152.2988,151.1102,,149.9880,,149.0590
2021-10-19,156.0292,156.6265,154.1913,156.4059,1955000,COF,153.1280,152.7582,152.3646,151.3031,,150.1076,,149.1283
2021-10-20,159.2087,159.4109,154.6231,155.2297,2614000,COF,153.7543,153.3725,152.4120,151.6131,,150.2879,,149.2287
2021-10-21,152.2614,160.4953,151.6917,158.5011,3420600,COF,153.7391,153.2667,152.2491,151.6385,,150.3269,,149.2588
2021-10-22,154.2372,155.6983,152.2063,153.4653,2943300,COF,153.8159,153.3591,152.0821,151.7404,,150.4044,,149.3084
2021-10-25,155.0091,156.0751,152.7485,154.5772,2368800,COF,153.7662,153.5163,151.9157,151.8686,,150.4956,,149.3651
2021-10-26,151.4895,156.2221,151.2230,155.5789,3204000,COF,153.6500,153.3232,151.6866,151.8538,,150.5152,,149.3862
2021-10-27,140.1404,148.4018,139.4788,147.1612,7343000,COF,153.0044,152.0677,151.3046,151.3944,,150.3098,,149.2942
2021-10-28,140.1404,141.4545,138.2842,140.4253,4440300,COF,152.5693,150.9318,150.9459,150.9531,,150.1084,,149.2031
2021-10-29,138.7896,141.5832,138.0452,140.4529,3863700,COF,151.8566,149.7754,150.6321,150.4761,,149.8843,,149.0995
2021-11-01,140.6091,142.2816,139.8739,139.9291,3181700,COF,151.2547,148.9024,150.3526,150.0891,,149.7006,,149.0150
2021-11-02,139.5983,141.5281,138.6425,140.8021,3788000,COF,150.4823,148.0163,150.0321,149.6777,,149.5006,,148.9213
2021-11-03,141.4270,142.7595,138.4496,138.7620,3334100,COF,149.8405,147.3888,149.7352,149.3542,,149.3407,,148.8468
2021-11-04,141.0227,142.8881,139.9567,140.5999,2462500,COF,149.1779,146.7825,149.3590,149.0274,148.8688,149.1760,,148.7689
2021-11-05,142.3184,144.8179,141.7486,142.9800,2389600,COF,148.5378,146.3573,149.0510,148.7643,148.8124,149.0402,,148.7047
2021-11-08,142.9156,144.9741,142.2448,143.7978,2279200,COF,148.0480,146.0295,148.6783,148.5350,148.8409,148.9189,,148.6471
2021-11-09,142.8238,143.4579,140.7837,142.0335,2154400,COF,147.4861,145.7242,148.4987,148.3110,148.9007,148.7982,,148.5892
2021-11-10,143.6141,145.6266,142.8789,142.8789,2274600,COF,147.2187,145.5233,148.3206,148.1268,148.9239,148.6956,,148.5397
2021-11-11,144.4136,145.8012,143.2741,143.6141,1822700,COF,146.8116,145.4176,148.2373,147.9812,148.9551,148.6108,,148.4986
2021-11-12,144.6442,145.1331,143.0114,144.6719,2143700,COF,146.3071,145.3439,148.1885,147.8503,148.9752,148.5322,,148.4603
2021-11-15,144.2383,146.1479,143.7587,144.6442,1772000,COF,145.7465,145.2386,148.1830,147.7087,148.9802,148.4472,,148.4183
2021-11-16,141.8952,144.3675,140.9082,144.3675,2678300,COF,145.0398,144.9202,148.1366,147.4807,148.9397,148.3175,,148.3534
2021-11-17,140.1702,142.9838,140.0964,141.7845,3107900,COF,144.0879,144.4678,148.0986,147.1940,148.9184,148.1561,,148.2719
2021-11-18,141.1295,142.0059,138.8049,140.2809,2485400,COF,143.5313,144.1499,148.0581,146.9562,148.9236,148.0170,,148.2009
2021-11-19,139.5890,140.7237,137.0061,138.8326,2754900,COF,142.7989,143.7155,147.9909,146.6673,148.9084,147.8501,,148.1152
2021-11-22,141.3325,142.6609,139.2662,141.4801,2681000,COF,142.1151,143.4886,147.8965,146.4581,148.8882,147.7210,,148.0477
2021-11-23,144.1738,144.5889,141.3325,142.0613,2596000,COF,141.7493,143.5538,147.9425,146.3685,148.8941,147.6508,,148.0091
2021-11-24,143.7771,145.7143,143.0391,143.1037,2308700,COF,141.9311,143.5751,147.8974,146.2669,148.9134,147.5741,,147.9670
2021-11-26,137.5965,138.8695,133.1778,138.8695,3081400,COF,141.8039,143.0057,147.7055,145.9269,148.8751,147.3765,,147.8638
2021-11-29,135.6224,139.9672,134.4047,139.5152,4261600,COF,141.6456,142.3025,147.4852,145.5228,148.8406,147.1438,,147.7420
2021-11-30,129.6355,134.6815,129.3127,133.8974,6024200,COF,141.0969,141.0961,147.2040,144.8997,148.6724,146.7971,,147.5619
2021-12-01,127.6430,134.1926,127.6245,133.2978,3540600,COF,140.4991,139.8149,146.8805,144.2230,148.4451,146.4178,,147.3637
2021-12-02,132.2461,133.9158,128.2241,128.8791,3028400,COF,140.0401,139.0941,146.5918,143.7533,148.2821,146.1371,,147.2133
2021-12-03,130.8993,132.6059,129.7739,131.9325,2772900,COF,139.5339,138.3136,146.1585,143.2492,148.1422,145.8354,,147.0509
2021-12-06,134.6261,136.3880,132.7719,133.7405,2928700,COF,139.1493,137.9624,145.7970,142.9111,148.0258,145.6134,,146.9273
2021-12-07,137.0615,139.3953,135.8623,136.4988,2840800,COF,138.8566,137.8766,145.4182,142.6817,147.9595,145.4441,,146.8291
2021-12-08,137.2737,138.4175,136.5357,137.3475,2513300,COF,138.5791,137.8192,145.0873,142.4696,147.9310,145.2823,,146.7341
2021-12-09,137.6057,139.0263,135.6593,136.7478,2311500,COF,138.2787,137.7989,144.7784,142.2789,147.8660,145.1303,,146.6432
2021-12-10,138.7496,139.7090,136.9877,138.8511,2415300,COF,137.9955,137.8894,144.5765,142.1405,147.7647,145.0039,,146.5647
2021-12-13,134.7184,137.8825,134.2848,137.6887,2608000,COF,137.4992,137.5874,144.2101,141.8494,147.6393,144.8003,,146.4468
2021-12-14,136.4527,137.9379,134.2295,135.2534,2213900,COF,137.1099,137.4793,143.8862,141.6378,147.5436,144.6350,,146.3474
2021-12-15,135.9637,137.1353,132.8365,136.8493,2702700,COF,136.8133,137.3350,143.5045,141.4153,147.4224,144.4633,,146.2440
2021-12-16,136.5449,138.5928,135.9268,138.1223,3341700,COF,136.6320,137.2597,143.1501,141.2243,147.3051,144.3065,,146.1475
2021-12-17,132.9103,135.9268,131.5820,135.9268,9081100,COF,136.2211,136.8455,142.7229,140.8982,147.1620,144.0808,,146.0158
2021-12-20,127.6245,130.2536,125.9364,129.5064,3246500,COF,135.6229,135.9673,142.1730,140.3777,146.9431,143.7549,,145.8328
2021-12-21,132.3845,132.6059,129.2481,129.4879,2509900,COF,135.1755,135.6261,141.7664,140.0642,146.7919,143.5298,,145.6990
2021-12-22,132.5874,133.3254,131.1115,131.8864,1669400,COF,134.5961,135.3367,141.3369,139.7710,146.6574,143.3131,,145.5685
2021-12-23,133.8513,135.3457,133.7498,133.9988,1720300,COF,134.0999,135.1952,141.0347,139.5389,146.5233,143.1257,,145.4520
2021-12-27,134.5800,134.7645,132.4583,134.1833,1291800,COF,133.9490,135.1366,140.6752,139.3444,146.3987,142.9565,,145.3438
2021-12-28,134.8659,136.4157,133.3439,133.5560,1025700,COF,133.9112,135.1109,140.2778,139.1688,146.2588,142.7963,,145.2395
2021-12-29,134.3033,135.3549,133.9527,134.8660,1331900,COF,134.1446,135.0339,139.8549,138.9780,146.0768,142.6281,,145.1307
2021-12-30,134.2110,135.8807,134.0726,134.4509,1213400,COF,134.4730,134.9556,139.4185,138.7910,145.8915,142.4614,,145.0220
2021-12-31,133.8420,135.3549,133.7406,133.9435,1356300,COF,134.5528,134.8495,138.9112,138.5970,145.6616,142.2908,,144.9108
2022-01-03,136.8401,137.7718,134.6261,134.7553,2381600,COF,134.8498,135.0391,138.6028,138.5281,145.4259,142.1828,,144.8305
