Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-04-26,348.8963,353.9899,348.6028,353.9899,2059700,COST,,348.8963,,348.8963,,348.8963,,348.8963
2021-04-27,350.4963,351.2063,345.8383,348.5649,1875900,COST,,349.0487,,348.9591,,348.9280,,348.9123
2021-04-28,349.9094,350.7709,348.5744,349.8715,1305600,COST,,349.1307,,348.9963,,348.9474,,348.9222
2021-04-29,354.4066,355.5166,349.6532,349.6627,1848300,COST,,349.6331,,349.2085,,349.0555,,348.9767
2021-04-30,353.0308,354.9948,352.3097,353.8088,2118900,COST,,349.9567,,349.3584,,349.1343,,349.0171
2021-05-03,359.8905,360.1752,353.7899,354.6912,2685800,COST,,350.9028,,349.7714,,349.3473,,349.1253
2021-05-04,356.0669,359.8051,354.6058,359.6153,2133800,COST,,351.3946,,350.0183,,349.4803,,349.1943
2021-05-05,353.4199,358.1827,352.9929,357.0727,1905300,COST,,351.5875,,350.1517,,349.5583,,349.2364
2021-05-06,363.1544,363.3252,354.0746,354.0746,2641400,COST,,352.6891,,350.6616,,349.8276,,349.3749
2021-05-07,364.6344,366.6553,362.6230,363.2207,1817100,COST,,353.8268,,351.2096,,350.1208,,349.5267
2021-05-10,361.9398,368.0215,361.7501,365.7444,1998700,COST,,354.5994,,351.6304,,350.3548,,349.6502
2021-05-11,358.8089,361.4086,356.7406,359.8810,1859700,COST,,355.0003,,351.9119,,350.5222,,349.7414
2021-05-12,353.1352,357.6324,352.1010,356.7405,2344600,COST,,354.8227,,351.9598,,350.5740,,349.7751
2021-05-13,360.0897,361.9019,352.5374,353.9796,2023100,COST,,355.3243,,352.2787,,350.7624,,349.8778
2021-05-14,364.7292,366.0575,360.6305,362.5660,1876100,COST,,356.2200,,352.7669,,351.0390,,350.0255
2021-05-17,364.2928,367.2246,363.2871,365.3175,1830800,COST,,356.9889,,353.2189,,351.3014,,350.1675
2021-05-18,363.2017,369.5016,362.9171,366.6553,1698200,COST,,357.5806,,353.6104,,351.5371,,350.2972
2021-05-19,360.2130,362.1770,356.8639,357.8316,1725000,COST,,357.8313,,353.8693,,351.7089,,350.3959
2021-05-20,363.9323,364.8241,358.9037,359.7576,1427300,COST,,358.4123,,354.2639,,351.9509,,350.5306
2021-05-21,361.2188,365.6117,360.9437,365.3270,1706600,COST,358.2733,358.6796,,354.5367,,352.1344,,350.6369
2021-05-24,363.8090,366.0006,362.3289,364.6534,1657000,COST,359.0190,359.1681,,354.9003,,352.3656,,350.7680
2021-05-25,365.6401,365.9817,362.4617,363.9702,1379700,COST,359.7762,359.7845,,355.3215,,352.6285,,350.9159
2021-05-26,365.8678,367.8887,365.2985,366.0955,1648000,COST,360.5741,360.3639,,355.7351,,352.8906,,351.0647
2021-05-27,367.6515,367.9076,363.8564,365.4029,4452000,COST,361.2363,361.0579,,356.2024,,353.1829,,351.2298
2021-05-28,358.8943,365.5737,357.7178,364.4731,4681200,COST,361.5295,360.8519,,356.3079,,353.2960,,351.3060
2021-06-01,358.8564,360.7255,356.2662,360.4693,2117800,COST,361.4778,360.6618,,356.4079,,353.4061,,351.3812
2021-06-02,361.0955,362.3574,358.3630,358.9987,1881000,COST,361.7292,360.7031,,356.5917,,353.5584,,351.4778
2021-06-03,364.2074,364.5110,359.4540,360.1941,1780300,COST,362.2686,361.0369,,356.8904,,353.7693,,351.6045
2021-06-04,367.6705,367.8982,364.0556,364.5111,1765900,COST,362.4944,361.6686,,357.3131,,354.0445,,351.7643
2021-06-07,360.9152,366.6553,359.1789,365.7255,2515800,COST,362.3085,361.5969,,357.4544,,354.1806,,351.8554
2021-06-08,360.2511,361.6837,358.3440,360.9247,1553800,COST,362.2240,361.4687,,357.5640,,354.3008,,351.9389
2021-06-09,360.4977,362.2245,359.7103,360.7349,1398900,COST,362.3085,361.3762,,357.6791,,354.4235,,352.0241
2021-06-10,363.3915,363.7236,360.0518,360.7919,1404000,COST,362.8213,361.5682,,357.9031,,354.6011,,352.1372
2021-06-11,362.2719,364.1980,361.0385,364.1980,1404200,COST,362.9304,361.6352,,358.0744,,354.7530,,352.2380
2021-06-14,364.1031,364.3119,359.6628,361.2853,1652600,COST,362.8991,361.8702,,358.3109,,354.9381,,352.3561
2021-06-15,364.2454,364.8052,362.0158,364.1031,1252000,COST,362.8967,362.0964,,358.5436,,355.1225,,352.4744
2021-06-16,359.9759,366.6458,357.8032,364.7103,1801700,COST,362.7354,361.8945,,358.5997,,355.2186,,352.5491
2021-06-17,365.0424,366.6743,359.7862,360.8963,1686500,COST,362.9769,362.1943,,358.8524,,355.4131,,352.6734
2021-06-18,361.3706,365.1942,360.8203,365.0424,3415700,COST,362.8488,362.1158,,358.9512,,355.5311,,352.7599
2021-06-21,366.9873,367.7938,361.0669,362.6704,1631600,COST,363.1372,362.5798,,359.2663,,355.7579,,352.9015
2021-06-22,372.0918,372.3954,366.7597,367.1961,1934800,COST,363.5514,363.4857,,359.7693,,356.0814,,353.0924
2021-06-23,371.8925,373.2872,370.5832,372.8698,1538000,COST,363.8640,364.2863,,360.2447,,356.3945,,353.2795
2021-06-24,371.9874,375.2417,371.7312,373.2683,1487300,COST,364.1700,365.0198,,360.7052,,356.7032,,353.4656
2021-06-25,374.3024,374.3404,371.2094,372.8413,2056100,COST,364.5025,365.9038,,361.2384,,357.0517,,353.6730
2021-06-28,376.2285,377.0634,372.9931,374.7674,1645500,COST,365.3692,366.8871,,361.8263,,357.4315,,353.8974
2021-06-29,378.3632,378.9799,375.2133,376.0007,1523600,COST,366.3446,367.9801,,362.4748,,357.8460,,354.1408
2021-06-30,375.4030,379.9571,374.7673,377.5852,2031700,COST,367.0600,368.6870,,362.9818,,358.1936,,354.3524
2021-07-01,374.3214,377.3196,373.7047,376.0007,1523400,COST,367.5657,369.2237,,363.4264,,358.5130,,354.5511
2021-07-02,378.5055,380.2418,375.8205,375.9153,1676600,COST,368.1074,370.1076,,364.0178,,358.9089,,354.7895
2021-07-06,378.4296,380.8395,376.7692,379.3594,2113100,COST,368.9831,370.9002,363.5947,364.5829,,359.2954,,355.0247
2021-07-07,383.9515,385.3178,378.7523,378.7523,2308600,COST,370.1681,372.1432,364.2958,365.3425,,359.7837,,355.3125
2021-07-08,386.2950,387.7087,382.5094,382.8320,2235500,COST,371.4580,373.4910,365.0118,366.1642,,360.3086,,355.6208
2021-07-09,391.2476,392.7941,386.7124,387.6233,2304200,COST,372.8508,375.1821,365.8386,367.1478,,360.9213,,355.9753
2021-07-12,386.9877,393.1263,383.8093,392.8321,2491300,COST,374.0866,376.3064,366.4902,367.9259,,361.4375,,356.2839
2021-07-13,386.2096,388.3254,383.9705,383.9705,1540300,COST,375.1919,377.2496,367.1538,368.6429,,361.9280,,356.5816
2021-07-14,388.9515,389.4449,386.3993,387.6517,1265800,COST,376.4272,378.3641,367.7350,369.4393,,362.4631,,356.9037
2021-07-15,390.7257,391.0863,386.9876,389.4354,1894100,COST,377.9647,379.5414,368.4282,370.2741,,363.0228,,357.2403
2021-07-16,389.3501,392.2439,388.7808,391.0104,1413900,COST,379.1801,380.4755,369.1468,371.0221,,363.5441,,357.5598
2021-07-19,392.9364,394.0465,389.0464,389.0559,2293100,COST,380.7584,381.6623,369.7424,371.8815,,364.1261,,357.9118
2021-07-20,394.9195,396.6557,391.7031,392.7942,2045400,COST,382.1550,382.9249,370.3481,372.7850,,364.7359,,358.2800
2021-07-21,393.7524,395.7449,391.1053,395.7449,1480000,COST,383.2380,383.9561,370.9844,373.6072,,365.3105,,358.6330
2021-07-22,396.1528,397.1585,392.3671,394.6916,1339200,COST,384.4510,385.1177,371.7313,374.4914,,365.9212,,359.0063
2021-07-23,401.7411,402.2724,395.6879,396.8644,1344500,COST,385.9387,386.7008,372.7034,375.5600,,366.6305,,359.4315
2021-07-26,401.5513,402.7563,398.8188,401.7126,1220000,COST,387.3012,388.1152,373.5326,376.5792,,367.3220,,359.8506
2021-07-27,402.6045,402.8132,400.0048,402.2819,1666500,COST,388.6200,389.4951,374.2901,377.5998,,368.0207,,360.2760
2021-07-28,400.5931,403.0979,398.9992,401.5893,1362700,COST,389.7315,390.5521,375.0161,378.5015,,368.6657,,360.6772
2021-07-29,404.2527,404.7945,399.5760,400.8307,1434200,COST,391.1740,391.8569,375.8371,379.5114,,369.3704,,361.1108
