Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-20,45.3515,45.5541,44.6701,44.8312,3037828,DELL,,45.3515,,45.3515,,45.3515,,45.3515
2021-08-23,46.0974,46.2539,45.3147,45.5633,3252885,DELL,,45.4225,,45.3808,,45.3663,,45.3589
2021-08-24,46.3829,46.6361,45.9915,46.5026,4843912,DELL,,45.5140,,45.4201,,45.3864,,45.3691
2021-08-25,46.9906,47.1610,46.1112,46.2401,3476426,DELL,,45.6546,,45.4816,,45.4182,,45.3853
2021-08-26,46.7558,47.2761,46.5532,47.1932,4156322,DELL,,45.7595,,45.5316,,45.4447,,45.3989
2021-08-27,44.6379,46.7144,43.7446,45.4252,10634075,DELL,,45.6527,,45.4966,,45.4287,,45.3913
2021-08-30,45.1904,45.6093,44.3846,44.9187,5722687,DELL,,45.6087,,45.4846,,45.4240,,45.3893
2021-08-31,44.8727,45.3285,44.7530,45.1765,4847858,DELL,,45.5386,,45.4606,,45.4131,,45.3842
2021-09-01,44.5458,45.1075,44.5320,44.9049,3568170,DELL,,45.4440,,45.4247,,45.3959,,45.3758
2021-09-02,44.6931,45.0430,44.4307,44.6747,4295616,DELL,,45.3725,,45.3960,,45.3820,,45.3690
2021-09-03,44.7253,45.1167,44.6148,44.6931,5029966,DELL,,45.3109,,45.3697,,45.3690,,45.3626
2021-09-07,44.2051,44.7530,44.1314,44.5688,5111648,DELL,,45.2055,,45.3240,,45.3459,,45.3511
2021-09-08,43.6894,44.3064,43.3579,44.1314,3880891,DELL,,45.0611,,45.2599,,45.3131,,45.3346
2021-09-09,44.3754,44.5688,43.5236,43.5236,3654391,DELL,,44.9958,,45.2252,,45.2945,,45.3250
2021-09-10,43.8505,44.7438,43.7493,44.6287,4062407,DELL,,44.8868,,45.1713,,45.2659,,45.3104
2021-09-13,45.5311,45.7659,44.9187,45.3009,11731655,DELL,,44.9481,,45.1854,,45.2712,,45.3126
2021-09-14,44.8635,45.5357,44.7392,45.5035,5554982,DELL,,44.9401,,45.1728,,45.2631,,45.3081
2021-09-15,46.2447,46.3828,44.7806,44.9417,5807131,DELL,,45.0643,,45.2148,,45.2826,,45.3174
2021-09-16,46.6867,46.7742,45.9869,46.1388,5478035,DELL,,45.2188,,45.2726,,45.3104,,45.3310
2021-09-17,46.2862,47.0275,45.3791,46.6913,8707836,DELL,45.2988,45.3205,,45.3123,,45.3297,,45.3405
2021-09-20,46.4427,47.0044,45.4896,45.5127,8217150,DELL,45.3534,45.4274,,45.3566,,45.3517,,45.3515
