Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-02,171.7193,172.9313,169.3051,172.4465,11099300,DIS,,171.7193,,171.7193,,171.7193,,171.7193
2021-07-06,168.4034,171.6127,166.9782,171.3800,11557900,DIS,,171.4035,,171.5893,,171.6537,,171.6863
2021-07-07,167.5599,169.0143,166.7552,167.5987,6757300,DIS,,171.0375,,171.4313,,171.5726,,171.6453
2021-07-08,167.5405,168.4616,164.6415,165.0003,6960100,DIS,,170.7044,,171.2787,,171.4927,,171.6044
2021-07-09,171.6515,172.1169,168.6361,169.3827,7873300,DIS,,170.7946,,171.2933,,171.4959,,171.6049
2021-07-12,178.7681,179.3595,171.9714,172.3011,21835500,DIS,,171.5540,,171.5864,,171.6399,,171.6762
2021-07-13,178.0603,180.0188,176.3054,178.4869,12534600,DIS,,172.1736,,171.8403,,171.7670,,171.7397
2021-07-14,177.8373,180.6199,176.5381,179.5631,8787300,DIS,,172.7130,,172.0755,,171.8872,,171.8004
2021-07-15,178.5451,179.7764,177.4785,177.8664,7867000,DIS,,173.2685,,172.3292,,172.0191,,171.8675
2021-07-16,173.8524,179.6504,173.4742,179.3110,8348800,DIS,,173.3241,,172.3889,,172.0554,,171.8872
2021-07-19,167.6859,171.1085,166.9200,170.3619,14651800,DIS,,172.7871,,172.2045,,171.9688,,171.8454
2021-07-20,171.3703,172.1072,167.6084,168.4131,8372400,DIS,,172.6522,,172.1718,,171.9570,,171.8407
2021-07-21,171.5060,172.4853,169.9838,171.1279,6302200,DIS,,172.5430,,172.1457,,171.9481,,171.8374
2021-07-22,169.7996,171.3412,168.6070,171.3218,5713700,DIS,,172.2817,,172.0537,,171.9055,,171.8171
2021-07-23,170.7789,171.1279,168.7331,170.3135,5126300,DIS,,172.1386,,172.0037,,171.8832,,171.8068
2021-07-26,173.2997,173.3385,170.0032,170.2747,5641000,DIS,,172.2492,,172.0545,,171.9113,,171.8216
2021-07-27,174.0366,174.0948,171.1958,172.8246,6684100,DIS,,172.4194,,172.1322,,171.9533,,171.8436
2021-07-28,173.6488,174.8607,172.1459,174.2208,5926900,DIS,,172.5365,,172.1917,,171.9869,,171.8616
2021-07-29,172.9216,175.8981,172.8440,174.3371,6209100,DIS,,172.5732,,172.2203,,172.0054,,171.8722
2021-07-30,170.6625,173.7457,169.8093,172.1266,6813400,DIS,172.4824,172.3912,,172.1592,,171.9788,,171.8601
2021-08-02,170.2068,173.3773,169.9741,171.8260,5847200,DIS,172.4068,172.1832,,172.0827,,171.9437,,171.8437
2021-08-03,167.7247,170.7692,165.7177,170.6625,9931300,DIS,172.3728,171.7586,,171.9118,,171.8602,,171.8027
2021-08-04,167.3272,167.9768,166.1250,167.2497,5665800,DIS,172.3612,171.3365,,171.7320,,171.7704,,171.7582
2021-08-05,171.3315,171.7290,167.2400,167.2400,8864200,DIS,172.5507,171.3361,,171.7163,,171.7618,,171.7539
2021-08-06,171.7387,173.3676,171.2540,172.0296,5505200,DIS,172.5551,171.3744,,171.7172,,171.7613,,171.7538
2021-08-09,171.3412,171.9133,169.7317,171.6127,5339000,DIS,172.1838,171.3712,,171.7024,,171.7530,,171.7497
2021-08-10,171.6806,172.0005,170.2359,170.8855,5185000,DIS,171.8648,171.4007,,171.7016,,171.7515,,171.7490
