Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-04-30,139.2500,144.3400,139.1100,140.5100,3451800,ENPH,,139.2500,,139.2500,,139.2500,,139.2500
2021-05-03,136.4100,140.3900,134.7300,140.3900,3706200,ENPH,,138.9795,,139.1386,,139.1938,,139.2217
2021-05-04,127.8300,134.9300,124.1600,133.7000,6601200,ENPH,,137.9177,,138.6952,,138.9687,,139.1084
2021-05-05,126.8800,130.6900,124.9600,130.2400,3440500,ENPH,,136.8665,,138.2318,,138.7294,,138.9867
2021-05-06,121.9400,125.9400,117.6600,123.5200,5159300,ENPH,,135.4449,,137.5929,,138.3969,,138.8171
2021-05-07,122.9600,127.8100,121.3500,124.0700,3432700,ENPH,,134.2559,,137.0191,,138.0912,,138.6593
2021-05-10,118.1200,121.7100,116.9200,121.4500,3220700,ENPH,,132.7191,,136.2779,,137.6957,,138.4549
2021-05-11,121.4200,122.8500,108.8800,111.0800,3884900,ENPH,,131.6430,,135.6953,,137.3735,,138.2854
2021-05-12,117.1700,120.7000,115.9600,117.0600,3920300,ENPH,,130.2646,,134.9688,,136.9734,,138.0753
2021-05-13,114.6100,121.2500,112.3200,119.0300,4365800,ENPH,,128.7737,,134.1704,,136.5305,,137.8419
2021-05-14,119.7800,120.1400,114.6100,116.4300,2486400,ENPH,,127.9172,,133.6061,,136.1988,,137.6621
2021-05-17,118.4200,119.6800,114.2300,119.0100,2886100,ENPH,,127.0127,,133.0105,,135.8468,,137.4707
2021-05-18,122.5100,126.2100,117.5000,119.0800,3742200,ENPH,,126.5838,,132.5988,,135.5827,,137.3218
2021-05-19,130.6700,130.8000,119.2000,119.9100,4409700,ENPH,,126.9730,,132.5231,,135.4854,,137.2556
2021-05-20,141.8200,142.6200,131.8800,132.0400,5138000,ENPH,,128.3870,,132.8877,,135.6109,,137.3010
2021-05-21,142.2800,145.0000,139.5900,144.3800,3552900,ENPH,,129.7101,,133.2560,,135.7429,,137.3506
2021-05-24,140.8700,145.0800,138.9300,143.7000,2284700,ENPH,,130.7730,,133.5546,,135.8444,,137.3856
2021-05-25,138.5300,143.1100,136.1600,142.2900,2837900,ENPH,,131.5117,,133.7497,,135.8976,,137.3970
2021-05-26,143.0400,144.3600,139.0500,139.5000,2795900,ENPH,,132.6097,,134.1141,,136.0391,,137.4531
2021-05-27,142.3100,145.5000,141.6600,143.2400,2608100,ENPH,129.3410,133.5335,,134.4355,,136.1632,,137.5015
2021-05-28,143.0500,146.7600,142.2100,143.2500,2175400,ENPH,129.5310,134.4398,,134.7733,,136.2996,,137.5567
2021-06-01,139.4400,146.3800,137.2300,144.5000,2336200,ENPH,129.6825,134.9161,,134.9563,,136.3618,,137.5754
2021-06-02,139.1700,143.7500,137.2200,139.0300,2420000,ENPH,130.2495,135.3212,,135.1215,,136.4174,,137.5913
2021-06-03,134.1300,138.2400,132.4800,136.7500,2537300,ENPH,130.6120,135.2077,,135.0827,,136.3721,,137.5568
2021-06-04,134.7000,138.6900,133.5700,135.8700,2193600,ENPH,131.2500,135.1594,,135.0677,,136.3390,,137.5284
2021-06-07,137.4700,137.9100,130.6500,133.6200,2084300,ENPH,131.9755,135.3794,,135.1619,,136.3614,,137.5278
2021-06-08,139.1500,141.6100,135.1300,138.3600,1612300,ENPH,133.0270,135.7385,,135.3183,,136.4166,,137.5440
2021-06-09,136.9700,141.2300,136.7200,139.9500,1615500,ENPH,133.8045,135.8558,,135.3830,,136.4276,,137.5383
2021-06-10,143.5000,144.4600,136.1800,137.1500,3008400,ENPH,135.1210,136.5838,,135.7013,,136.5676,,137.5976
2021-06-11,147.1300,147.4600,140.6300,143.3100,2522100,ENPH,136.7470,137.5882,,136.1495,,136.7768,,137.6924
