Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-13,9.9660,10.2300,9.9294,10.1787,45118500,F,,9.9660,,9.9660,,9.9660,,9.9660
2021-08-16,9.8707,9.9440,9.7680,9.9000,38664300,F,,9.9570,,9.9623,,9.9641,,9.9651
2021-08-17,9.5260,9.7754,9.3940,9.7680,74625300,F,,9.9159,,9.9452,,9.9555,,9.9607
2021-08-18,9.5334,9.6874,9.4600,9.4967,50966700,F,,9.8795,,9.9290,,9.9471,,9.9565
2021-08-19,9.2914,9.4747,9.2180,9.3867,69038800,F,,9.8235,,9.9040,,9.9341,,9.9498
2021-08-20,9.2180,9.2914,9.0787,9.2474,53615600,F,,9.7658,,9.8771,,9.9199,,9.9426
2021-08-23,9.3354,9.4234,9.1447,9.3207,64573600,F,,9.7248,,9.8559,,9.9084,,9.9365
2021-08-24,9.5920,9.6360,9.3574,9.3940,53672500,F,,9.7122,,9.8455,,9.9021,,9.9331
2021-08-25,9.6580,9.7387,9.5480,9.6214,51195500,F,,9.7070,,9.8382,,9.8973,,9.9304
2021-08-26,9.4600,9.6287,9.3940,9.6140,57559800,F,,9.6835,,9.8234,,9.8886,,9.9257
2021-08-27,9.7607,9.8047,9.4380,9.4527,57587300,F,,9.6908,,9.8209,,9.8861,,9.9240
2021-08-30,9.5700,9.8047,9.5554,9.7900,42720100,F,,9.6793,,9.8111,,9.8798,,9.9205
2021-08-31,9.5554,9.6360,9.4820,9.5480,42212700,F,,9.6675,,9.8010,,9.8734,,9.9169
2021-09-01,9.6140,9.6947,9.4600,9.5554,58875700,F,,9.6624,,9.7937,,9.8683,,9.9139
2021-09-02,9.5407,9.6874,9.5114,9.5994,49053200,F,,9.6508,,9.7838,,9.8618,,9.9102
2021-09-03,9.4527,9.5700,9.4380,9.5260,41616700,F,,9.6320,,9.7708,,9.8537,,9.9056
2021-09-07,9.4967,9.5627,9.3940,9.4087,64008900,F,,9.6191,,9.7600,,9.8466,,9.9015
2021-09-08,9.5554,9.6947,9.4674,9.5114,57980900,F,,9.6130,,9.7520,,9.8408,,9.8981
2021-09-09,9.3574,9.4967,9.3280,9.4967,68806400,F,,9.5887,,9.7365,,9.8313,,9.8927
