Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-04-29,39.0940,39.8960,38.5560,39.8760,5871500,FTNT,,39.0940,,39.0940,,39.0940,,39.0940
2021-04-30,40.8460,41.0880,38.9020,39.6320,13721500,FTNT,,39.2609,,39.1627,,39.1287,,39.1114
2021-05-03,40.6360,41.1640,39.8560,41.0620,6163500,FTNT,,39.3918,,39.2205,,39.1585,,39.1266
2021-05-04,41.3560,41.5480,40.4740,40.6280,8022500,FTNT,,39.5789,,39.3042,,39.2021,,39.1488
2021-05-05,41.8760,42.3500,41.4540,41.5280,6135000,FTNT,,39.7977,,39.4051,,39.2550,,39.1759
2021-05-06,41.3020,41.8200,40.6460,41.7260,5826500,FTNT,,39.9409,,39.4795,,39.2955,,39.1971
2021-05-07,42.3540,42.5340,41.6580,41.8000,4040500,FTNT,,40.1707,,39.5922,,39.3561,,39.2285
2021-05-10,40.8580,42.2560,40.8480,42.2000,4217500,FTNT,,40.2362,,39.6418,,39.3858,,39.2447
2021-05-11,41.3020,41.4120,39.7820,39.9900,4089000,FTNT,,40.3377,,39.7069,,39.4238,,39.2652
2021-05-12,39.4060,40.8080,39.1920,40.6920,5706500,FTNT,,40.2490,,39.6951,,39.4234,,39.2666
2021-05-13,39.6780,40.2520,39.6340,40.0000,7267500,FTNT,,40.1946,,39.6945,,39.4285,,39.2707
2021-05-14,41.1720,41.2780,39.8020,39.9400,6061000,FTNT,,40.2877,,39.7524,,39.4630,,39.2896
2021-05-17,40.8680,41.3000,40.3020,40.7360,4222000,FTNT,,40.3429,,39.7962,,39.4908,,39.3053
2021-05-18,40.8500,41.5960,40.7840,40.8480,4658000,FTNT,,40.3912,,39.8375,,39.5177,,39.3207
2021-05-19,41.5200,41.5600,40.0540,40.2080,4393000,FTNT,,40.4987,,39.9035,,39.5574,,39.3425
2021-05-20,42.4640,42.6380,41.6580,41.6580,4341500,FTNT,,40.6859,,40.0039,,39.6149,,39.3736
2021-05-21,42.1660,43.0340,42.0240,42.6420,4089500,FTNT,,40.8269,,40.0887,,39.6655,,39.4014
2021-05-24,42.6140,42.9620,42.3060,42.3060,4247000,FTNT,,40.9971,,40.1877,,39.7238,,39.4334
2021-05-25,42.9140,43.2820,42.7400,42.8340,3583500,FTNT,,41.1796,,40.2946,,39.7870,,39.4680
2021-05-26,43.1420,43.7360,42.8260,43.1580,4490500,FTNT,41.3209,41.3665,,40.4063,,39.8535,,39.5045
2021-05-27,43.2680,43.6560,42.6220,43.1340,7908000,FTNT,41.5296,41.5476,,40.5185,,39.9211,,39.5420
2021-05-28,43.7080,44.2000,43.2320,43.3080,4149500,FTNT,41.6727,41.7534,,40.6436,,39.9961,,39.5835
2021-06-01,42.9980,44.0760,42.7260,44.0240,3630000,FTNT,41.7908,41.8719,,40.7359,,40.0555,,39.6174
2021-06-02,43.2740,43.3300,42.7760,42.9780,3329000,FTNT,41.8867,42.0054,,40.8354,,40.1192,,39.6538
2021-06-03,43.0760,43.4700,42.3340,43.0000,2832000,FTNT,41.9467,42.1074,,40.9233,,40.1778,,39.6879
2021-06-04,44.3520,44.4700,43.4800,43.4800,3142500,FTNT,42.0992,42.3212,,41.0578,,40.2604,,39.7343
2021-06-07,44.7080,44.7620,44.0120,44.4320,2838000,FTNT,42.2169,42.5485,,41.2009,,40.3485,,39.7838
2021-06-08,45.4720,45.5560,44.7460,44.7600,4280000,FTNT,42.4476,42.8269,,41.3684,,40.4500,,39.8404
2021-06-09,45.1040,45.6980,44.8060,45.5860,2932500,FTNT,42.6377,43.0438,,41.5149,,40.5421,,39.8927
2021-06-10,45.7900,45.9040,44.8800,45.0680,3870500,FTNT,42.9569,43.3053,,41.6826,,40.6460,,39.9514
2021-06-11,45.7880,45.8780,45.4440,45.6020,3273000,FTNT,43.2624,43.5418,,41.8435,,40.7479,,40.0095
2021-06-14,46.2920,46.3000,45.6020,45.8180,3283500,FTNT,43.5184,43.8037,,42.0180,,40.8577,,40.0720
2021-06-15,46.0120,46.3420,45.8000,46.2100,3165500,FTNT,43.7756,44.0140,,42.1746,,40.9597,,40.1311
2021-06-16,46.0540,46.5160,45.4220,46.0560,3501000,FTNT,44.0358,44.2083,,42.3268,,41.0606,,40.1900
2021-06-17,47.3960,47.5340,45.8200,45.9160,5871500,FTNT,44.3296,44.5119,,42.5256,,41.1860,,40.2617
2021-06-18,46.7320,47.7960,46.6900,47.4000,9358500,FTNT,44.5430,44.7233,,42.6905,,41.2959,,40.3261
2021-06-21,47.5840,47.9940,46.7360,47.1520,4077500,FTNT,44.8139,44.9958,,42.8824,,41.4204,,40.3983
