Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-25,43.5629,43.5818,42.0604,42.3533,263800,FUN,,43.5629,,43.5629,,43.5629,,43.5629
2021-08-26,42.9014,43.7046,42.4856,43.4400,373800,FUN,,43.4999,,43.5369,,43.5498,,43.5563
2021-08-27,42.9581,43.2321,42.3344,42.9959,317900,FUN,,43.4483,,43.5142,,43.5381,,43.5503
2021-08-30,41.3044,42.8541,41.0398,42.5140,330500,FUN,,43.2441,,43.4276,,43.4938,,43.5280
2021-08-31,41.7485,41.8619,40.4067,40.8792,266000,FUN,,43.1017,,43.3617,,43.4593,,43.5103
2021-09-01,41.6635,41.8997,40.8792,41.3139,311200,FUN,,42.9647,,43.2951,,43.4237,,43.4919
2021-09-02,41.7485,42.3344,41.4367,41.9753,151600,FUN,,42.8489,,43.2345,,43.3905,,43.4746
2021-09-03,41.4651,41.8052,40.9170,41.3895,109100,FUN,,42.7171,,43.1651,,43.3524,,43.4546
2021-09-07,41.6162,42.0887,41.1249,41.1249,196000,FUN,,42.6122,,43.1044,,43.3180,,43.4363
2021-09-08,41.5690,42.1454,40.4161,41.4934,218500,FUN,,42.5129,,43.0441,,43.2834,,43.4177
2021-09-09,41.8525,42.5234,41.2477,41.3517,94000,FUN,,42.4500,,42.9974,,43.2551,,43.4021
2021-09-10,42.5234,42.8258,41.7674,42.0604,294700,FUN,,42.4570,,42.9788,,43.2406,,43.3934
2021-09-13,42.9297,43.2132,42.0604,42.9014,360400,FUN,,42.5020,,42.9769,,43.2344,,43.3888
2021-09-14,41.5784,42.7691,41.3517,42.7691,402700,FUN,,42.4140,,42.9221,,43.2016,,43.3708
2021-09-15,41.8525,41.8714,41.1816,41.4367,164600,FUN,,42.3606,,42.8801,,43.1749,,43.3556
2021-09-16,41.8052,42.2210,41.5784,41.5784,132600,FUN,,42.3077,,42.8380,,43.1478,,43.3402
2021-09-17,42.2305,42.4289,41.7580,41.7580,154300,FUN,,42.3003,,42.8141,,43.1296,,43.3292
2021-09-20,42.3533,42.5140,41.3422,41.6635,273100,FUN,,42.3054,,42.7961,,43.1143,,43.3195
2021-09-21,41.9753,42.8069,41.9092,42.4951,193500,FUN,,42.2739,,42.7639,,43.0917,,43.3061
2021-09-22,42.0604,42.4006,41.7107,42.0037,204600,FUN,42.0849,42.2536,,42.7363,,43.0713,,43.2937
2021-09-23,43.0620,43.1754,42.0415,42.2116,494500,FUN,42.0599,42.3306,,42.7491,,43.0711,,43.2914
2021-09-24,43.2227,43.2416,42.6652,42.6652,280500,FUN,42.0760,42.4156,,42.7676,,43.0741,,43.2907
2021-09-27,44.0070,44.6118,43.0715,43.2794,480400,FUN,42.1284,42.5671,,42.8162,,43.0926,,43.2978
2021-09-28,43.5345,44.6118,43.5156,43.9220,216700,FUN,42.2399,42.6593,,42.8444,,43.1013,,43.3002
2021-09-29,43.2416,43.7897,42.9203,43.5723,282700,FUN,42.3146,42.7147,,42.8600,,43.1041,,43.2996
2021-09-30,43.8275,44.2054,42.8541,43.3739,284900,FUN,42.4228,42.8207,,42.8979,,43.1184,,43.3049
2021-10-01,45.3111,46.0670,44.0731,44.4322,862100,FUN,42.6009,43.0579,,42.9926,,43.1618,,43.3248
2021-10-04,43.7141,45.6701,43.3455,45.5379,362000,FUN,42.7134,43.1204,,43.0209,,43.1728,,43.3287
2021-10-05,43.3644,44.1015,42.9298,43.7991,447100,FUN,42.8008,43.1436,,43.0343,,43.1766,,43.3291
2021-10-06,42.5707,43.2888,41.6635,42.8636,322600,FUN,42.8508,43.0890,,43.0161,,43.1646,,43.3215
2021-10-07,42.9487,42.9864,42.1738,42.9392,299500,FUN,42.9057,43.0757,,43.0135,,43.1603,,43.3178
2021-10-08,42.5990,43.3833,42.3155,43.0809,163200,FUN,42.9094,43.0303,,42.9972,,43.1492,,43.3106
2021-10-11,42.6746,42.9392,42.0982,42.3439,87500,FUN,42.8967,42.9964,,42.9846,,43.1398,,43.3043
2021-10-12,42.7597,43.0715,42.4100,42.7408,227300,FUN,42.9557,42.9739,,42.9758,,43.1323,,43.2989
2021-10-13,42.9959,43.2321,42.5234,42.6085,181700,FUN,43.0129,42.9760,,42.9766,,43.1296,,43.2959
2021-10-14,44.2149,44.2338,42.7408,43.1282,167700,FUN,43.1334,43.0939,,43.0251,,43.1511,,43.3050
2021-10-15,44.0921,45.1693,44.0543,44.2716,192600,FUN,43.2265,43.1890,,43.0670,,43.1697,,43.3129
2021-10-18,43.6574,44.3094,42.8920,43.8275,260800,FUN,43.2917,43.2336,,43.0901,,43.1793,,43.3163
