Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-22,119.4400,121.2200,118.2100,119.5600,380500,GH,,119.4400,,119.4400,,119.4400,,119.4400
2021-07-23,119.0400,120.0000,117.0300,119.4400,462600,GH,,119.4019,,119.4243,,119.4321,,119.4360
2021-07-26,111.7600,118.3100,111.1100,118.3000,949500,GH,,118.6741,,119.1238,,119.2802,,119.3596
2021-07-27,109.6600,112.7800,106.7300,112.1700,1398800,GH,,117.8156,,118.7526,,119.0897,,119.2631
2021-07-28,112.2200,114.1600,110.3100,110.3100,679600,GH,,117.2827,,118.4964,,118.9536,,119.1930
2021-07-29,110.1500,113.0600,110.0300,111.8800,734500,GH,,116.6034,,118.1691,,118.7793,,119.1031
2021-07-30,109.8000,112.2000,109.1200,109.8500,511100,GH,,115.9555,,117.8409,,118.6015,,119.0105
2021-08-02,112.5600,114.3800,110.0000,110.0000,520600,GH,,115.6321,,117.6338,,118.4819,,118.9463
2021-08-03,110.4900,113.1200,108.1900,112.9000,946100,GH,,115.1424,,117.3537,,118.3236,,118.8622
2021-08-04,113.8500,114.9900,108.7800,109.6300,681100,GH,,115.0193,,117.2163,,118.2350,,118.8123
2021-08-05,115.3900,115.6500,111.6300,114.2100,902600,GH,,115.0546,,117.1447,,118.1787,,118.7782
2021-08-06,114.0600,117.9900,111.7400,117.5800,1652700,GH,,114.9599,,117.0237,,118.0971,,118.7313
2021-08-09,114.4000,116.3700,112.0100,113.7400,667900,GH,,114.9065,,116.9208,,118.0239,,118.6882
2021-08-10,105.0300,114.9400,104.6700,114.3100,1229000,GH,,113.9659,,116.4545,,117.7666,,118.5523
2021-08-11,103.9300,105.1300,99.8500,105.0300,1662400,GH,,113.0101,,115.9633,,117.4926,,118.4068
2021-08-12,105.9000,106.4800,101.2100,102.8700,579800,GH,,112.3330,,115.5687,,117.2631,,118.2824
2021-08-13,101.2800,106.7500,100.8800,105.5800,495000,GH,,111.2803,,115.0084,,116.9466,,118.1132
2021-08-16,98.9400,101.1000,98.5300,100.7000,533100,GH,,110.1050,,114.3782,,116.5900,,117.9224
2021-08-17,100.0600,100.3000,96.6600,97.7400,639900,GH,,109.1484,,113.8167,,116.2627,,117.7447
2021-08-18,98.9100,102.0000,98.6500,101.0000,378300,GH,109.3435,108.1733,,113.2322,,115.9191,,117.5573
2021-08-19,98.7700,99.2300,96.7400,98.2700,619500,GH,108.3100,107.2777,,112.6650,,115.5795,,117.3703
2021-08-20,102.2700,103.0900,98.4300,98.8700,779900,GH,107.4715,106.8008,,112.2574,,115.3159,,117.2201
2021-08-23,108.5400,108.7800,103.1300,103.4900,899700,GH,107.3105,106.9664,,112.1116,,115.1817,,117.1337
2021-08-24,113.6700,114.4900,108.5900,108.8700,1087500,GH,107.5110,107.6049,,112.1727,,115.1518,,117.0992
2021-08-25,117.7000,118.1700,112.5500,112.9800,907600,GH,107.7850,108.5663,,112.3895,,115.2023,,117.1052
2021-08-26,117.8300,119.0000,115.9000,117.5300,797500,GH,108.1690,109.4486,,112.6028,,115.2543,,117.1124
2021-08-27,120.3500,121.5900,117.4100,118.3400,629300,GH,108.6965,110.4868,,112.9066,,115.3552,,117.1446
2021-08-30,126.2000,126.5000,120.2400,122.2200,1395500,GH,109.3785,111.9833,,113.4279,,115.5699,,117.2347
2021-08-31,127.2700,127.4300,124.2600,126.2700,1022200,GH,110.2175,113.4392,,113.9708,,115.8016,,117.3346
2021-09-01,131.5100,132.0100,126.7700,128.1400,941100,GH,111.1005,115.1602,,114.6586,,116.1127,,117.4756
2021-09-02,131.3100,133.8200,130.9500,131.8000,822700,GH,111.8965,116.6983,,115.3116,,116.4136,,117.6133
2021-09-03,131.7200,132.5900,130.4100,131.3200,659500,GH,112.7795,118.1289,,115.9550,,116.7167,,117.7537
2021-09-07,132.1700,133.2000,130.2100,130.7700,449700,GH,113.6680,119.4662,,116.5909,,117.0227,,117.8971
2021-09-08,130.0000,131.6900,126.8400,131.6600,1053100,GH,114.9165,120.4694,,117.1168,,117.2797,,118.0175
2021-09-09,130.8500,133.5300,129.3000,130.8000,660600,GH,116.2625,121.4580,,117.6553,,117.5484,,118.1452
2021-09-10,129.0900,131.1500,127.3000,131.1200,390400,GH,117.4220,122.1849,,118.1037,,117.7770,,118.2541
2021-09-13,126.4700,130.2900,122.3300,130.2900,717000,GH,118.6815,122.5930,,118.4318,,117.9491,,118.3359
2021-09-14,127.0100,129.1300,125.9600,127.2000,466200,GH,120.0850,123.0136,,118.7682,,118.1285,,118.4222
2021-09-15,127.0000,127.3700,123.6400,126.2400,520000,GH,121.4320,123.3933,,119.0910,,118.3042,,118.5075
2021-09-16,126.9800,128.2200,125.0800,127.0900,487600,GH,122.8355,123.7349,,119.4004,,118.4760,,118.5918
2021-09-17,132.0500,132.8700,127.5200,127.8000,1445900,GH,124.4995,124.5268,,119.8965,,118.7448,,118.7258
2021-09-20,129.1600,130.8800,126.8000,129.3000,624200,GH,125.8440,124.9681,,120.2598,,118.9510,,118.8296
2021-09-21,130.2700,132.4600,129.4900,129.6300,438800,GH,126.9305,125.4730,,120.6523,,119.1752,,118.9434
2021-09-22,131.2700,132.8300,128.8400,130.2700,555100,GH,127.8105,126.0251,,121.0687,,119.4147,,119.0661
2021-09-23,129.3200,132.0000,128.1300,131.9500,524200,GH,128.3915,126.3389,,121.3923,,119.6108,,119.1681
2021-09-24,128.4000,129.3100,126.4000,128.5000,409000,GH,128.9200,126.5352,,121.6671,,119.7849,,119.2600
2021-09-27,125.7200,128.2900,122.5600,128.2900,1009900,GH,129.1885,126.4576,,121.8260,,119.9024,,119.3242
2021-09-28,122.4900,123.7700,118.0600,123.7000,1172100,GH,129.0030,126.0797,,121.8521,,119.9536,,119.3557
2021-09-29,121.1000,124.0000,120.6800,123.2800,729200,GH,128.6945,125.6054,,121.8226,,119.9763,,119.3731
2021-09-30,125.0100,126.3600,121.4800,121.8400,572300,GH,128.3695,125.5487,118.3674,121.9476,,120.0760,,119.4292
2021-10-01,107.5100,118.0000,102.0100,117.8900,5369000,GH,127.1795,123.8308,118.1288,121.3814,,119.8272,,119.3106
2021-10-04,105.9700,117.4100,105.5600,115.1200,2245700,GH,125.8920,122.1297,117.8674,120.7770,,119.5528,,119.1778
2021-10-05,105.4000,109.2800,102.5700,105.5900,1100400,GH,124.5535,120.5364,117.7402,120.1740,,119.2725,,119.0407
2021-10-06,106.3400,107.7700,104.0900,104.0900,847700,GH,123.3705,119.1844,117.6738,119.6315,,119.0164,,118.9144
2021-10-07,111.5900,112.2000,106.4700,106.7500,1006400,GH,122.4075,118.4611,117.6612,119.3161,,118.8694,,118.8415
2021-10-08,104.3300,112.5200,103.9000,112.3400,1223400,GH,121.1695,117.1153,117.5448,118.7284,,118.5815,,118.6971
2021-10-11,103.6000,105.8000,102.5400,103.7300,777200,GH,120.0260,115.8281,117.4208,118.1352,,118.2848,,118.5469
2021-10-12,103.5700,105.2300,103.1000,104.0900,829200,GH,118.8540,114.6607,117.2410,117.5640,,117.9934,,118.3979
2021-10-13,102.0100,105.1200,101.7800,103.8800,1020900,GH,117.6045,113.4559,117.0714,116.9540,,117.6769,,118.2348
2021-10-14,104.2400,106.1800,102.3100,102.4500,1291000,GH,116.4675,112.5782,116.8792,116.4554,,117.4108,,118.0955
2021-10-15,101.6000,105.2000,101.0000,104.9000,822100,GH,114.9450,111.5326,116.6034,115.8729,,117.0978,,117.9314
2021-10-18,99.4400,101.6000,98.3800,100.5800,1071300,GH,113.4590,110.3809,116.3110,115.2284,,116.7481,,117.7474
2021-10-19,105.0600,106.9100,99.4400,100.0900,1661700,GH,112.1985,109.8742,116.1242,114.8297,,116.5166,,117.6212
2021-10-20,106.4400,107.2000,104.6400,106.0600,537300,GH,110.9570,109.5471,116.1524,114.5007,,116.3171,,117.5099
2021-10-21,109.5200,110.0300,105.7200,105.7200,575200,GH,109.9670,109.5445,116.2642,114.3054,,116.1825,,117.4304
2021-10-22,109.3500,109.4800,107.7100,109.4700,364100,GH,109.0145,109.5260,116.3332,114.1110,,116.0472,,117.3500
2021-10-25,114.5400,114.8200,109.4300,109.7400,1014900,GH,108.4555,110.0035,116.5984,114.1279,,116.0174,,117.3220
2021-10-26,114.4800,115.2400,112.0500,115.0000,835500,GH,108.0550,110.4299,116.9092,114.1417,,115.9869,,117.2938
2021-10-27,112.2800,115.2700,111.5800,114.6800,807200,GH,107.6140,110.6061,117.1536,114.0687,,115.9135,,117.2439
2021-10-28,118.1900,118.2500,111.0800,111.8900,677100,GH,107.2730,111.3283,117.5392,114.2303,,115.9586,,117.2533
2021-10-29,116.7900,117.7400,114.2600,116.7100,490200,GH,107.7370,111.8485,117.8996,114.3307,,115.9751,,117.2487
2021-11-01,120.4300,121.2600,117.3800,117.6800,717200,GH,108.4600,112.6658,118.2628,114.5698,,116.0633,,117.2803
2021-11-02,117.6100,120.3600,117.2000,120.0000,629700,GH,109.0705,113.1367,118.4442,114.6891,,116.0939,,117.2836
2021-11-03,114.5000,117.2600,113.1100,117.2600,796100,GH,109.4785,113.2665,118.4608,114.6817,,116.0623,,117.2559
2021-11-04,114.8000,116.7300,113.8700,115.1800,870900,GH,109.6390,113.4126,118.4028,114.6863,,116.0374,,117.2315
2021-11-05,110.1900,119.6800,109.0100,113.5000,1404700,GH,109.9320,113.1056,118.2500,114.5100,,115.9216,,117.1614
2021-11-08,110.4300,111.7900,107.0100,111.0900,1350100,GH,110.2735,112.8508,118.0516,114.3500,,115.8128,,117.0944
2021-11-09,107.8100,111.6500,106.6200,111.0000,621900,GH,110.4855,112.3707,117.6838,114.0935,,115.6543,,117.0021
2021-11-10,103.7700,107.9900,103.5300,106.3800,599400,GH,110.5735,111.5516,117.2138,113.6887,,115.4190,,116.8704
2021-11-11,105.2800,105.3300,101.8300,103.9600,660700,GH,110.6255,110.9543,116.6892,113.3589,,115.2182,,116.7551
2021-11-12,103.8000,107.6000,103.4600,105.3100,837100,GH,110.7355,110.2730,116.1390,112.9840,,114.9921,,116.6262
2021-11-15,103.6500,104.9900,101.5400,103.9500,529700,GH,110.9460,109.6422,115.5776,112.6180,,114.7675,,116.4970
2021-11-16,105.2300,105.4900,102.0000,103.8600,1615200,GH,110.9545,109.2220,115.0388,112.3283,,114.5787,,116.3849
2021-11-17,105.3300,106.5800,104.2900,105.1600,775300,GH,110.8990,108.8513,114.5454,112.0538,,114.3955,,116.2749
2021-11-18,99.9300,105.8700,98.3000,105.3300,3048300,GH,110.4195,108.0017,113.9270,111.5784,,114.1091,,116.1123
2021-11-19,97.5800,102.4700,96.9600,100.0000,1640100,GH,109.8310,107.0091,113.2968,111.0294,,113.7818,,115.9279
2021-11-22,98.0000,98.5500,95.3000,98.0600,1228400,GH,109.0040,106.1511,112.7274,110.5185,,113.4693,,115.7495
2021-11-23,92.8900,98.1900,91.1900,98.0000,1567900,GH,107.9245,104.8882,112.0450,109.8272,,113.0618,,115.5221
2021-11-24,107.2500,107.3600,96.2600,96.2600,2376600,GH,107.6730,105.1131,111.6500,109.7261,,112.9467,,115.4397
2021-11-26,106.9200,111.4800,106.0100,107.9200,766800,GH,107.1095,105.2852,111.2488,109.6161,,112.8273,,115.3550
2021-11-29,103.9000,108.5000,102.8000,108.0300,898600,GH,106.4650,105.1533,110.6858,109.3919,,112.6506,,115.2410
2021-11-30,105.1200,107.1000,102.5500,102.9100,1124900,GH,105.6995,105.1501,110.2050,109.2244,,112.5014,,115.1403
2021-12-01,97.6600,107.0300,97.5100,105.7600,1557200,GH,104.7020,104.4368,109.5528,108.7709,,112.2075,,114.9664
2021-12-02,95.9800,100.5200,94.6700,96.9800,1185500,GH,103.7760,103.6313,108.8470,108.2693,,111.8862,,114.7774
2021-12-03,90.7000,97.1300,87.0000,95.8500,1255200,GH,102.5710,102.3998,108.0746,107.5803,,111.4667,,114.5379
2021-12-06,88.7100,90.2800,85.4100,90.0900,1573900,GH,101.4970,101.0960,107.2808,106.8403,,111.0161,,114.2809
2021-12-07,95.3900,96.7000,91.6500,91.6900,815100,GH,100.7450,100.5526,106.6742,106.3912,,110.7066,,114.0929
2021-12-08,97.3400,98.7500,92.2000,95.2900,606200,GH,100.2215,100.2466,106.1712,106.0363,,110.4419,,113.9262
2021-12-09,94.2600,97.1700,93.3400,97.0000,898800,GH,99.7460,99.6765,105.6344,105.5745,,110.1215,,113.7305
2021-12-10,93.8200,97.6500,93.5700,95.5900,1382500,GH,99.1730,99.1187,105.0106,105.1135,111.6890,109.7987,,113.5324
2021-12-13,94.1600,97.6200,90.0700,93.5000,634000,GH,98.6910,98.6464,104.7436,104.6840,111.4362,109.4890,,113.3396
