Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-02,142.0276,144.2405,141.9265,143.9396,32342000,GOOGL,,142.0276,,142.0276,,142.0276,,142.0276
2021-09-03,142.4761,142.8880,141.1489,141.8229,19850000,GOOGL,,142.0703,,142.0452,,142.0365,,142.0321
2021-09-07,143.0124,143.2944,142.3567,142.5703,20124000,GOOGL,,142.1600,,142.0831,,142.0558,,142.0418
2021-09-08,142.4281,143.1308,141.7431,142.8335,18344000,GOOGL,,142.1856,,142.0966,,142.0632,,142.0457
2021-09-09,142.2794,143.0421,141.9191,142.5763,15314000,GOOGL,,142.1945,,142.1038,,142.0675,,142.0480
2021-09-10,139.6378,143.4465,139.5010,142.9450,36840000,GOOGL,,141.9510,,142.0071,,142.0194,,142.0240
2021-09-13,141.0815,141.6936,140.0085,140.7019,22094000,GOOGL,,141.8682,,141.9708,,142.0008,,142.0146
2021-09-14,141.2917,142.1030,140.5041,141.7387,19674000,GOOGL,,141.8133,,141.9442,,141.9867,,142.0074
2021-09-15,143.1601,143.1809,140.1052,141.5166,27408000,GOOGL,,141.9416,,141.9919,,142.0100,,142.0189
2021-09-16,142.3478,143.0317,141.1499,142.6853,26190000,GOOGL,,141.9802,,142.0058,,142.0167,,142.0222
2021-09-17,139.5625,142.1892,139.2354,141.7734,53384000,GOOGL,,141.7500,,141.9100,,141.9681,,141.9977
2021-09-20,137.5003,137.7783,135.1238,136.9472,46518000,GOOGL,,141.3452,,141.7371,,141.8796,,141.9530
2021-09-21,137.8110,138.7809,137.0626,138.5212,25332000,GOOGL,,141.0086,,141.5831,,141.7990,,141.9117
2021-09-22,139.0505,139.6487,137.3337,138.0796,25056000,GOOGL,,140.8222,,141.4838,,141.7446,,141.8833
2021-09-23,139.9748,140.4511,139.1675,139.7483,20952000,GOOGL,,140.7415,,141.4246,,141.7096,,141.8643
2021-09-24,140.9650,141.0795,139.0084,139.3032,22984000,GOOGL,,140.7628,,141.4066,,141.6948,,141.8553
2021-09-27,139.8321,140.6910,138.8364,139.5669,21882000,GOOGL,,140.6741,,141.3448,,141.6579,,141.8352
2021-09-28,134.6362,137.8739,134.1703,137.4363,45772000,GOOGL,,140.0991,,141.0818,,141.5189,,141.7636
2021-09-29,133.1726,135.9455,132.6884,135.7760,30848000,GOOGL,,139.4394,,140.7716,,141.3536,,141.6781
2021-09-30,132.5011,134.3512,132.3821,133.0814,37996000,GOOGL,139.7374,138.7786,,140.4473,,141.1783,,141.5868
2021-10-01,135.3429,135.7072,132.8946,133.2658,35360000,GOOGL,139.4032,138.4514,,140.2471,,141.0628,,141.5246
2021-10-04,132.4847,134.7655,129.8982,134.7655,51202000,GOOGL,138.9036,137.8832,,139.9427,,140.8929,,141.4347
2021-10-05,134.8275,136.0184,132.8629,132.8629,32404000,GOOGL,138.4944,137.5921,,139.7421,,140.7728,,141.3690
