Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-07,40.2100,43.0000,39.6400,42.4400,901300,GRPN,,40.2100,,40.2100,,40.2100,,40.2100
2021-07-08,39.5900,40.1200,38.5500,39.4300,661100,GRPN,,40.1510,,40.1857,,40.1977,,40.2038
2021-07-09,40.5500,40.5800,39.6200,39.7700,654400,GRPN,,40.1890,,40.2000,,40.2047,,40.2073
2021-07-12,40.7900,41.4400,39.9500,40.6300,564100,GRPN,,40.2462,,40.2231,,40.2163,,40.2131
2021-07-13,40.8000,41.4900,40.2800,40.4100,401200,GRPN,,40.2989,,40.2457,,40.2278,,40.2189
2021-07-14,40.4800,41.9800,40.2100,41.1800,304200,GRPN,,40.3162,,40.2549,,40.2328,,40.2215
2021-07-15,39.7800,41.2500,39.4900,40.1000,382400,GRPN,,40.2651,,40.2363,,40.2239,,40.2171
2021-07-16,37.8400,40.1700,37.1600,39.9300,666400,GRPN,,40.0342,,40.1423,,40.1767,,40.1935
2021-07-19,36.3800,37.5200,35.7000,36.4800,735900,GRPN,,39.6861,,39.9948,,40.1015,,40.1555
2021-07-20,38.9900,39.2200,36.1000,36.3800,609500,GRPN,,39.6198,,39.9554,,40.0795,,40.1439
2021-07-21,39.3100,40.4400,38.8300,39.0000,567800,GRPN,,39.5903,,39.9301,,40.0642,,40.1356
2021-07-22,38.0900,39.3900,37.8100,39.2700,551100,GRPN,,39.4474,,39.8579,,40.0251,,40.1153
2021-07-23,37.8000,38.8200,37.0900,38.3400,570100,GRPN,,39.2905,,39.7772,,39.9811,,40.0922
2021-07-26,37.2400,38.4500,36.9400,37.7500,525400,GRPN,,39.0953,,39.6777,,39.9268,,40.0639
2021-07-27,36.2400,37.4200,35.3300,37.2400,718200,GRPN,,38.8233,,39.5429,,39.8538,,40.0258
2021-07-28,36.3400,37.6400,36.2500,36.8200,549300,GRPN,,38.5868,,39.4173,,39.7842,,39.9891
2021-07-29,36.8100,37.5800,36.2000,36.7100,714000,GRPN,,38.4176,,39.3150,,39.7253,,39.9575
2021-07-30,36.3700,37.5000,36.0700,37.3800,836100,GRPN,,38.2226,,39.1996,,39.6589,,39.9218
2021-08-02,36.1300,37.9600,36.0300,36.4600,656200,GRPN,,38.0233,,39.0792,,39.5890,,39.8841
