Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-21,11.2000,11.7600,10.8700,11.2000,2151000,HIMS,,11.2000,,11.2000,,11.2000,,11.2000
2021-06-22,10.9000,11.3300,10.7850,11.1100,2397000,HIMS,,11.1714,,11.1882,,11.1941,,11.1970
2021-06-23,11.1200,11.1490,10.7600,10.9000,2410200,HIMS,,11.1665,,11.1856,,11.1926,,11.1962
2021-06-24,10.7500,11.2700,10.7000,11.2300,1664900,HIMS,,11.1269,,11.1685,,11.1838,,11.1918
2021-06-25,10.6500,10.8600,10.4400,10.8200,1401300,HIMS,,11.0814,,11.1481,,11.1733,,11.1864
2021-06-28,10.8900,11.0000,10.6000,10.7400,990000,HIMS,,11.0632,,11.1380,,11.1676,,11.1835
2021-06-29,10.6900,11.0700,10.6850,11.0000,957300,HIMS,,11.0277,,11.1205,,11.1582,,11.1786
2021-06-30,10.8900,11.0000,10.5600,10.9600,1136600,HIMS,,11.0146,,11.1114,,11.1529,,11.1757
2021-07-01,10.9700,11.0600,10.6600,10.9500,1021200,HIMS,,11.0103,,11.1059,,11.1493,,11.1736
2021-07-02,10.3800,11.0300,10.2850,11.0000,1201200,HIMS,,10.9503,,11.0774,,11.1340,,11.1657
2021-07-06,10.5600,10.9000,10.1300,10.3500,1403300,HIMS,,10.9131,,11.0571,,11.1227,,11.1597
2021-07-07,10.7300,10.7600,10.1900,10.6100,1442400,HIMS,,10.8957,,11.0443,,11.1149,,11.1554
2021-07-08,10.3100,10.6800,10.0200,10.6400,1330900,HIMS,,10.8399,,11.0155,,11.0989,,11.1470
2021-07-09,10.1100,10.4400,9.9200,10.3600,1016500,HIMS,,10.7704,,10.9800,,11.0794,,11.1367
2021-07-12,10.5600,10.8440,10.2700,10.3200,1276100,HIMS,,10.7503,,10.9635,,11.0691,,11.1310
2021-07-13,9.9700,10.6400,9.9100,10.5000,1062900,HIMS,,10.6760,,10.9246,,11.0473,,11.1194
2021-07-14,9.2600,10.0300,9.0800,10.0300,1727100,HIMS,,10.5412,,10.8593,,11.0119,,11.1009
2021-07-15,9.7700,9.7750,9.1100,9.2500,1389300,HIMS,,10.4677,,10.8166,,10.9873,,11.0877
2021-07-16,9.1300,9.9600,9.0700,9.7600,1374200,HIMS,,10.3403,,10.7504,,10.9505,,11.0682
2021-07-19,9.5600,9.8300,8.9100,9.0000,1286800,HIMS,10.4200,10.2660,,10.7037,,10.9230,,11.0532
2021-07-20,8.6900,9.4000,8.6000,9.3300,6229400,HIMS,10.2945,10.1159,,10.6248,,10.8788,,11.0297
2021-07-21,8.8400,9.0500,8.6600,8.8000,2074200,HIMS,10.1915,9.9944,,10.5548,,10.8384,,11.0079
2021-07-22,8.4900,8.8500,7.9600,8.8400,5408200,HIMS,10.0600,9.8511,,10.4738,,10.7919,,10.9828
2021-07-23,8.6000,8.8700,8.1900,8.2800,2059100,HIMS,9.9525,9.7320,,10.4003,,10.7485,,10.9591
2021-07-26,8.1900,8.6970,8.1200,8.4800,1785100,HIMS,9.8295,9.5851,,10.3136,,10.6979,,10.9316
