Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-27,46.8700,48.1000,46.1400,46.7990,6058100,HOOD,,46.8700,,46.8700,,46.8700,,46.8700
2021-08-30,43.6400,46.6000,42.5600,46.3000,12363800,HOOD,,46.5624,,46.7433,,46.8060,,46.8379
2021-08-31,44.3200,44.5000,41.5100,42.0300,8847500,HOOD,,46.3488,,46.6483,,46.7568,,46.8128
2021-09-01,44.5700,47.1200,43.7000,43.7600,11013000,HOOD,,46.1794,,46.5668,,46.7135,,46.7905
2021-09-02,44.4900,45.8000,44.2000,45.2020,4088600,HOOD,,46.0185,,46.4854,,46.6695,,46.7676
2021-09-03,43.3500,44.8800,43.1500,44.6930,4652500,HOOD,,45.7644,,46.3624,,46.6037,,46.7336
2021-09-07,42.1300,43.3900,41.7500,43.3300,6179200,HOOD,,45.4182,,46.1964,,46.5152,,46.6878
2021-09-08,40.0500,42.2100,39.8100,42.0000,7834900,HOOD,,44.9070,,45.9554,,46.3871,,46.6217
2021-09-09,41.2800,42.5400,40.3810,40.5000,6981900,HOOD,,44.5616,,45.7720,,46.2860,,46.5686
2021-09-10,41.1700,42.5200,40.7200,41.5000,5521800,HOOD,,44.2385,,45.5916,,46.1847,,46.5149
2021-09-13,40.6000,41.3900,39.8000,41.2200,4309200,HOOD,,43.8920,,45.3958,,46.0741,,46.4560
2021-09-14,40.0200,41.0000,39.2300,41.0000,4298000,HOOD,,43.5233,,45.1850,,45.9542,,46.3920
2021-09-15,41.8700,41.9400,39.8300,40.2000,5835900,HOOD,,43.3658,,45.0550,,45.8733,,46.3470
2021-09-16,41.9500,42.4300,40.9100,41.6200,4206700,HOOD,,43.2310,,44.9332,,45.7957,,46.3032
2021-09-17,42.3800,42.9010,41.9000,41.9200,5000800,HOOD,,43.1499,,44.8331,,45.7280,,46.2642
2021-09-20,40.7000,41.5600,40.0300,40.6200,4437800,HOOD,,42.9166,,44.6710,,45.6285,,46.2088
2021-09-21,42.2900,42.6900,40.7940,41.0400,5984800,HOOD,,42.8569,,44.5777,,45.5623,,46.1698
2021-09-22,46.8800,46.9400,42.7600,43.0000,14619500,HOOD,,43.2401,,44.6679,,45.5884,,46.1769
2021-09-23,45.9400,47.8400,44.7100,46.2850,12129400,HOOD,,43.4972,,44.7178,,45.5954,,46.1745
2021-09-24,44.9100,46.5500,44.3500,44.7000,6058000,HOOD,42.9705,43.6318,,44.7254,,45.5818,,46.1620
2021-09-27,44.7600,45.9100,43.9500,44.9300,4041700,HOOD,42.8650,43.7392,,44.7267,,45.5656,,46.1480
2021-09-28,44.6200,45.9600,42.5100,43.9200,5791900,HOOD,42.9140,43.8231,,44.7225,,45.5468,,46.1328
2021-09-29,43.1300,45.4630,43.1000,44.1700,4597600,HOOD,42.8545,43.7571,,44.6601,,45.4990,,46.1029
2021-09-30,42.0800,43.1300,41.4100,43.1300,3536000,HOOD,42.7300,43.5974,,44.5589,,45.4313,,46.0629
2021-10-01,41.9000,42.7800,41.1200,42.3620,2655800,HOOD,42.6005,43.4357,,44.4546,,45.3613,,46.0215
2021-10-04,40.9300,41.8120,40.2500,41.8000,2647800,HOOD,42.4795,43.1971,,44.3164,,45.2736,,45.9708
2021-10-05,42.0100,42.4900,41.0510,41.0740,2813400,HOOD,42.4735,43.0840,,44.2260,,45.2090,,45.9314
2021-10-06,42.0600,42.6500,41.7000,42.0000,2730200,HOOD,42.5740,42.9865,,44.1410,,45.1466,,45.8929
2021-10-07,41.8400,42.8400,41.6800,42.2370,2895400,HOOD,42.6020,42.8773,,44.0508,,45.0811,,45.8526
