Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-07,48.0158,48.8956,47.8778,48.8180,20035300,KO,,48.0158,,48.0158,,48.0158,,48.0158
2021-09-08,48.6627,48.7145,47.9641,47.9641,12040100,KO,,48.0774,,48.0412,,48.0286,,48.0223
2021-09-09,48.1797,48.6627,48.1280,48.4557,12545400,KO,,48.0872,,48.0466,,48.0316,,48.0238
2021-09-10,47.9641,48.4126,47.8865,48.3091,10573700,KO,,48.0755,,48.0434,,48.0303,,48.0232
2021-09-13,48.3608,48.6455,48.0762,48.0762,20274300,KO,,48.1026,,48.0558,,48.0368,,48.0266
2021-09-14,48.3956,48.6476,48.2739,48.5955,13918900,KO,,48.1305,,48.0692,,48.0439,,48.0303
2021-09-15,48.5607,48.6650,48.1610,48.3869,15746000,KO,,48.1715,,48.0884,,48.0542,,48.0355
2021-09-16,48.1001,48.6563,47.6396,48.4217,17430400,KO,,48.1647,,48.0889,,48.0551,,48.0362
2021-09-17,47.3093,47.9611,47.2485,47.8134,33370200,KO,,48.0832,,48.0583,,48.0403,,48.0290
2021-09-20,46.9791,47.2746,46.6923,47.0225,27542500,KO,,47.9781,,48.0160,,48.0193,,48.0185
2021-09-21,46.9704,47.6395,46.8748,47.2659,16418200,KO,,47.8821,,47.9750,,47.9985,,48.0081
2021-09-22,47.0399,47.4136,46.9791,47.3701,12719700,KO,,47.8019,,47.9383,,47.9796,,47.9984
2021-09-23,46.9617,47.4657,46.9270,47.1529,13836200,KO,,47.7219,,47.9000,,47.9594,,47.9881
2021-09-24,46.8314,47.1355,46.8053,46.9270,9682200,KO,,47.6371,,47.8581,,47.9371,,47.9766
2021-09-27,46.5880,47.1442,46.5533,46.7966,12429500,KO,,47.5372,,47.8083,,47.9103,,47.9628
2021-09-28,45.7451,46.4577,45.5626,46.4577,19926100,KO,,47.3665,,47.7274,,47.8675,,47.9407
2021-09-29,46.0232,46.1970,45.6756,45.7451,13941500,KO,,47.2386,,47.6606,,47.8309,,47.9217
2021-09-30,45.5974,46.3447,45.5626,46.2057,17672000,KO,,47.0823,,47.5797,,47.7867,,47.8985
2021-10-01,46.0753,46.2317,45.6843,45.8668,16277400,KO,,46.9864,,47.5207,,47.7528,,47.8804
2021-10-04,46.0492,46.5185,45.5365,46.1101,18973400,KO,47.2205,46.8971,,47.4630,,47.7191,,47.8622
2021-10-05,46.1275,46.4664,45.9971,46.0753,17173100,KO,47.1261,46.8238,,47.4106,,47.6876,,47.8449
2021-10-06,46.6749,46.7271,45.6321,45.8581,21284500,KO,47.0267,46.8096,,47.3817,,47.6675,,47.8333
2021-10-07,46.8227,47.1703,46.7618,46.9183,13774400,KO,46.9588,46.8109,,47.3598,,47.6508,,47.8232
2021-10-08,47.0312,47.2659,46.8401,46.9270,13786800,KO,46.9122,46.8319,,47.3469,,47.6385,,47.8153
2021-10-11,47.1268,47.2659,46.9356,47.1095,12378500,KO,46.8505,46.8600,,47.3383,,47.6284,,47.8085
2021-10-12,47.1268,47.6482,47.1181,47.2919,19474400,KO,46.7870,46.8854,,47.3300,,47.6185,,47.8017
2021-10-13,47.1355,47.3006,46.7445,47.0747,12143300,KO,46.7158,46.9092,,47.3224,,47.6089,,47.7951
2021-10-14,47.4571,47.6309,47.1964,47.2659,13704000,KO,46.6836,46.9614,,47.3277,,47.6059,,47.7917
