Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-04-30,58.1589,58.3998,57.2510,57.3437,4676800,LUV,,58.1589,,58.1589,,58.1589,,58.1589
2021-05-03,57.5753,58.4276,57.1121,58.3720,4133600,LUV,,58.1033,,58.1360,,58.1474,,58.1531
2021-05-04,56.3432,57.4641,55.6762,57.1769,6293500,LUV,,57.9357,,58.0657,,58.1116,,58.1351
2021-05-05,56.3525,57.2881,55.9448,56.2969,7451300,LUV,,57.7849,,57.9985,,58.0768,,58.1174
2021-05-06,56.2228,56.7137,55.4446,56.4822,4452800,LUV,,57.6361,,57.9289,,58.0401,,58.0985
2021-05-07,57.1213,57.5753,56.0004,56.2135,5174700,LUV,,57.5871,,57.8972,,58.0219,,58.0888
2021-05-10,56.8342,57.7513,56.8157,57.2974,4178600,LUV,,57.5154,,57.8555,,57.9984,,58.0763
2021-05-11,55.3797,56.2505,54.4626,55.6762,6483100,LUV,,57.3120,,57.7584,,57.9465,,58.0495
2021-05-12,53.9253,55.9356,53.8049,55.0926,5999400,LUV,,56.9895,,57.6081,,57.8669,,58.0084
2021-05-13,55.5187,55.9541,54.3236,54.6294,5562600,LUV,,56.8494,,57.5262,,57.8204,,57.9837
2021-05-14,57.7142,57.9736,56.0004,56.2413,8033100,LUV,,56.9318,,57.5336,,57.8183,,57.9810
2021-05-17,57.5290,57.8439,56.6211,57.6679,5955100,LUV,,56.9886,,57.5334,,57.8126,,57.9765
2021-05-18,57.5012,58.9927,57.2788,57.7976,5298300,LUV,,57.0374,,57.5321,,57.8064,,57.9718
2021-05-19,55.9448,56.6767,55.1759,56.5099,8732100,LUV,,56.9334,,57.4699,,57.7695,,57.9516
2021-05-20,55.5094,56.4358,54.9258,56.4358,7798300,LUV,,56.7978,,57.3930,,57.7248,,57.9273
2021-05-21,55.6669,56.1394,55.5557,55.8244,4885800,LUV,,56.6901,,57.3253,,57.6840,,57.9048
2021-05-24,56.2135,56.5562,55.4075,56.0097,4038100,LUV,,56.6447,,57.2817,,57.6549,,57.8880
2021-05-25,56.0931,57.7976,56.0189,57.1677,7029200,LUV,,56.5921,,57.2351,,57.6240,,57.8701
2021-05-26,56.7045,56.8249,55.9819,56.2783,4526600,LUV,,56.6028,,57.2143,,57.6058,,57.8585
2021-05-27,57.1862,57.2510,56.5748,57.0750,4437900,LUV,56.4747,56.6584,,57.2132,,57.5975,,57.8518
2021-05-28,56.9361,57.2233,56.5841,57.0936,3517100,LUV,56.4136,56.6848,,57.2023,,57.5844,,57.8427
2021-06-01,56.8342,57.6772,56.5933,57.3807,5313700,LUV,56.3765,56.6991,,57.1879,,57.5695,,57.8327
2021-06-02,56.3895,57.3622,56.1487,57.1399,5327800,LUV,56.3788,56.6696,,57.1566,,57.5461,,57.8183
2021-06-03,53.9716,55.8985,53.8605,55.7318,9963500,LUV,56.2598,56.4126,,57.0317,,57.4754,,57.7800
2021-06-04,54.2403,54.5182,53.6474,54.3237,5000900,LUV,56.1607,56.2057,,56.9222,,57.4113,,57.7448
2021-06-07,53.9901,54.5830,53.6566,54.3700,4756800,LUV,56.0041,55.9947,,56.8072,,57.3436,,57.7075
2021-06-08,54.5645,54.9351,54.0179,54.5275,4830000,LUV,55.8906,55.8585,,56.7193,,57.2885,,57.6762
2021-06-09,54.1198,54.8146,53.9160,54.6571,4740100,LUV,55.8276,55.6929,,56.6173,,57.2258,,57.6408
2021-06-10,53.2676,54.7868,53.2398,54.5182,4570600,LUV,55.7948,55.4619,,56.4860,,57.1474,,57.5973
2021-06-11,53.3324,53.7863,53.1842,53.2120,5059600,LUV,55.6854,55.2591,,56.3623,,57.0719,,57.5548
2021-06-14,53.0638,53.7956,52.7395,53.2676,4908300,LUV,55.4529,55.0501,,56.2329,,56.9925,,57.5102
2021-06-15,52.9155,53.5918,52.5913,53.2305,6430700,LUV,55.2222,54.8468,,56.1028,,56.9118,,57.4644
2021-06-16,52.4987,53.2583,52.1837,52.8600,5947700,LUV,54.9721,54.6231,,55.9615,,56.8244,,57.4150
2021-06-17,51.4796,52.9341,50.9979,52.6006,8334200,LUV,54.7489,54.3238,,55.7857,,56.7185,,57.3560
2021-06-18,51.1276,51.5908,50.6459,50.9516,8798300,LUV,54.5298,54.0194,,55.6031,,56.6078,,57.2940
2021-06-21,52.1559,52.3134,51.2202,51.2295,5470100,LUV,54.3542,53.8419,,55.4679,,56.5197,,57.2429
2021-06-22,51.6464,52.1744,51.3314,51.9706,4694100,LUV,54.1259,53.6328,,55.3180,,56.4232,,57.1872
2021-06-23,51.1276,51.6186,50.9331,51.4148,6157800,LUV,53.8776,53.3942,,55.1537,,56.3183,,57.1269
2021-06-24,50.6366,51.5259,50.5995,51.4426,8134800,LUV,53.5742,53.1316,,54.9766,,56.2058,,57.0623
