Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-16,353.3925,358.7932,350.9448,358.7932,3081000,MA,,353.3925,,353.3925,,353.3925,,353.3925
2021-06-17,356.7631,358.5698,350.8768,353.0817,3824900,MA,,353.7136,,353.5247,,353.4593,,353.4261
2021-06-18,356.8894,359.7646,351.6247,351.7413,5009400,MA,,354.0160,,353.6567,,353.5272,,353.4605
2021-06-21,362.3968,365.6605,355.7043,358.0549,3094600,MA,,354.8142,,353.9994,,353.7029,,353.5495
2021-06-22,367.2050,367.9043,361.3575,363.2710,3582700,MA,,355.9943,,354.5173,,353.9702,,353.6853
2021-06-23,364.3880,367.8654,363.5624,367.1660,2241800,MA,,356.7937,,354.9044,,354.1765,,353.7918
2021-06-24,364.0092,369.1671,362.2123,368.1374,2788200,MA,,357.4809,,355.2614,,354.3712,,353.8935
2021-06-25,368.7299,368.7688,362.6299,364.6892,3983900,MA,,358.5522,,355.7896,,354.6556,,354.0411
2021-06-28,357.1418,370.0024,354.6552,370.0024,4800300,MA,,358.4179,,355.8426,,354.7048,,354.0720
2021-06-29,357.4527,360.7456,357.3653,358.4338,3394300,MA,,358.3260,,355.9058,,354.7592,,354.1056
2021-06-30,354.6262,359.5606,353.8297,357.4042,2884900,MA,,357.9736,,355.8556,,354.7566,,354.1108
2021-07-01,360.0851,360.5707,355.1215,355.5586,3108500,MA,,358.1747,,356.0215,,354.8621,,354.1702
2021-07-02,364.2812,364.7281,361.4838,362.0083,2786500,MA,,358.7563,,356.3454,,355.0486,,354.2709
2021-07-06,365.3400,367.3992,360.8524,365.8548,2740500,MA,,359.3833,,356.6981,,355.2524,,354.3810
2021-07-07,363.2031,367.3118,361.7752,365.9908,3176600,MA,,359.7471,,356.9532,,355.4098,,354.4688
2021-07-08,360.0036,360.3926,355.5885,357.3876,2809000,MA,,359.7715,,357.0728,,355.5008,,354.5238
2021-07-09,362.6779,363.2031,359.7119,361.6179,2404800,MA,,360.0483,,357.2926,,355.6429,,354.6050
2021-07-12,365.2259,365.7218,361.8416,364.6813,2648300,MA,,360.5414,,357.6037,,355.8327,,354.7107
2021-07-13,373.1516,376.0009,365.2161,365.2161,5161000,MA,,361.7424,,358.2135,,356.1756,,354.8942
2021-07-14,380.0464,380.8536,372.4417,372.4417,4140500,MA,362.8505,363.4856,,359.0696,,356.6483,,355.1444
2021-07-15,379.4921,382.4776,376.7886,379.4046,3773000,MA,364.1555,365.0100,,359.8705,,357.1007,,355.3867
2021-07-16,376.4677,382.6333,374.7270,382.3318,2706500,MA,365.1407,366.1013,,360.5214,,357.4842,,355.5965
2021-07-19,355.3939,368.1821,353.3711,367.5986,6814400,MA,365.0659,365.0815,,360.3203,,357.4428,,355.5944
2021-07-20,364.0880,366.2372,355.2189,356.9013,3542200,MA,365.1505,364.9869,,360.4681,,357.5744,,355.6789
2021-07-21,369.6019,370.4188,364.7297,365.6828,2393100,MA,365.2703,365.4264,,360.8263,,357.8125,,355.8175
2021-07-22,371.6442,372.3249,366.6748,369.8353,4180300,MA,365.6331,366.0186,,361.2505,,358.0864,,355.9750
2021-07-23,382.4388,383.6447,374.4936,374.4936,3720300,MA,366.5546,367.5824,,362.0814,,358.5687,,356.2383
2021-07-26,381.9914,382.0790,377.5861,380.8925,2285800,MA,367.2177,368.9547,,362.8622,,359.0325,,356.4945
2021-07-27,379.5309,384.4031,375.2715,379.2684,2783800,MA,368.3371,369.9620,,363.5159,,359.4384,,356.7238
2021-07-28,372.8890,380.9509,371.8095,380.8439,3372600,MA,369.1089,370.2407,,363.8834,,359.7047,,356.8846
2021-07-29,378.1112,383.8780,376.8373,376.8373,3774000,MA,370.2832,370.9903,,364.4414,,360.0692,,357.0958
2021-07-30,375.3202,378.2960,372.5389,378.2960,2533300,MA,371.0450,371.4027,,364.8680,,360.3712,,357.2772
2021-08-02,364.9341,379.2490,363.5142,378.5877,3430300,MA,371.0776,370.7866,,364.8706,,360.4616,,357.3533
2021-08-03,357.4848,366.3052,349.6758,366.2955,6328500,MA,370.6848,369.5198,,364.5810,,360.4026,,357.3546
2021-08-04,357.8835,359.0991,353.4296,357.1736,3203200,MA,370.4189,368.4116,,364.3183,,360.3527,,357.3599
2021-08-05,361.7054,361.7249,356.9014,358.0684,2562400,MA,370.5039,367.7729,,364.2159,,360.3795,,357.4031
2021-08-06,364.2241,365.1674,360.7913,361.1997,2038500,MA,370.5813,367.4349,,364.2162,,360.4557,,357.4710
2021-08-09,360.4801,364.1950,358.7394,363.8935,2400800,MA,370.3440,366.7725,,364.0697,,360.4561,,357.5010
2021-08-10,357.7182,362.4931,354.0909,362.0458,3225000,MA,369.5723,365.9102,,363.8206,,360.4019,,357.5031
2021-08-11,354.2172,359.7798,353.7407,358.4086,3267700,MA,368.2808,364.7966,,363.4440,,360.2795,,357.4704
2021-08-12,352.0195,353.2254,348.0032,352.5933,3802900,MA,366.9072,363.5797,,362.9960,,360.1159,,357.4162
2021-08-13,352.7683,353.4977,350.7067,352.2918,2304600,MA,365.7222,362.5501,,362.5949,,359.9704,,357.3699
2021-08-16,353.5560,353.7991,346.8069,350.5802,2937300,MA,365.6303,361.6935,,362.2404,,359.8434,,357.3320
2021-08-17,353.2351,354.4312,349.8898,352.0389,2812800,MA,365.0877,360.8879,,361.8873,,359.7125,,357.2912
2021-08-18,351.0179,355.6177,350.6678,351.2415,2774500,MA,364.1585,359.9479,,361.4610,,359.5404,,357.2288
2021-08-19,347.4780,350.2301,344.9593,347.0793,2727900,MA,362.9502,358.7603,,360.9127,,359.3015,,357.1318
2021-08-20,345.2218,348.4602,343.6075,347.5266,4135900,MA,361.0893,357.4709,,360.2973,,359.0227,,357.0133
2021-08-23,351.0762,352.2723,346.9334,347.6336,3537900,MA,359.5436,356.8619,,359.9357,,358.8653,,356.9542
2021-08-24,351.8250,356.0261,351.5235,353.0406,3032000,MA,358.1583,356.3822,,359.6177,,358.7259,,356.9032
