Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-09,358.4622,362.5959,357.6097,360.5935,7798900,META,,358.4622,,358.4622,,358.4622,,358.4622
2021-08-10,357.9863,360.9305,355.9145,358.6802,7469900,META,,358.4168,,358.4435,,358.4527,,358.4574
2021-08-11,356.8265,359.2056,354.6952,358.9479,8400300,META,,358.2654,,358.3801,,358.4205,,358.4412
2021-08-12,359.4931,359.8401,354.0014,355.3297,7170700,META,,358.3823,,358.4237,,358.4418,,358.4517
2021-08-13,360.0185,361.4856,358.3333,359.8103,7195700,META,,358.5381,,358.4863,,358.4730,,358.4673
2021-08-16,363.3691,363.7557,354.2690,359.3642,11222100,META,,358.9982,,358.6778,,358.5699,,358.5160
2021-08-17,355.3297,361.4956,351.9791,359.8203,12328700,META,,358.6488,,358.5465,,358.5058,,358.4843
2021-08-18,352.3558,356.7274,352.0584,353.1488,10042400,META,,358.0495,,358.3037,,358.3840,,358.4233
2021-08-19,352.0286,354.4573,347.9445,348.2914,12004500,META,,357.4761,,358.0576,,358.2582,,358.3597
2021-08-20,356.2417,356.8563,350.2344,351.5132,8697700,META,,357.3585,,357.9864,,358.2182,,358.3386
2021-08-23,360.1870,362.5066,355.9739,356.3110,10942000,META,,357.6279,,358.0727,,358.2572,,358.3570
2021-08-24,362.3282,364.7569,358.6902,360.4943,9235100,META,,358.0755,,358.2396,,358.3378,,358.3965
2021-08-25,365.1831,367.6316,362.2191,362.4174,9684500,META,,358.7525,,358.5119,,358.4734,,358.4641
2021-08-26,361.2080,366.2240,360.9602,365.1732,7888700,META,,358.9863,,358.6176,,358.5275,,358.4914
2021-08-27,369.3863,370.4866,360.9107,361.9218,11219100,META,,359.9768,,359.0399,,358.7425,,358.5998
2021-08-30,377.3463,378.1691,367.2946,369.3168,13547300,META,,361.6310,,359.7578,,359.1109,,358.7863
2021-08-31,376.0775,379.4281,375.5025,376.6425,12345400,META,,363.0069,,360.3978,,359.4469,,358.9584
2021-09-01,378.7242,380.9844,375.5124,376.2856,11567200,META,,364.5038,,361.1165,,359.8286,,359.1550
2021-09-02,372.0132,378.4268,370.8038,378.1790,14832900,META,,365.2190,,361.5438,,360.0699,,359.2830
2021-09-03,372.9846,373.8767,369.8620,371.4877,7509600,META,363.3775,365.9585,,361.9925,,360.3257,,359.4193
2021-09-07,378.8531,379.6263,369.9017,372.6079,10793800,META,364.3970,367.1866,,362.6537,,360.6925,,359.6127
2021-09-08,374.2832,377.5544,371.5274,376.8506,11067200,META,365.2119,367.8625,,363.1097,,360.9617,,359.7587
2021-09-09,374.7094,376.5235,373.2919,374.3526,9098900,META,366.1060,368.5145,,363.5646,,361.2339,,359.9074
2021-09-10,375.3935,380.4491,374.9672,378.0402,11549600,META,366.9010,369.1697,,364.0285,,361.5143,,360.0615
2021-09-13,373.2325,378.4268,371.0913,378.3574,13026300,META,367.5617,369.5566,,364.3894,,361.7463,,360.1926
2021-09-14,373.2523,375.2943,371.8446,374.1147,8711600,META,368.0559,369.9086,,364.7370,,361.9742,,360.3225
2021-09-15,370.6650,374.2733,364.4694,373.7182,17940300,META,368.8227,369.9806,,364.9695,,362.1463,,360.4254
2021-09-16,369.8125,370.3081,366.4917,369.5449,11934200,META,369.6955,369.9646,,365.1594,,362.2981,,360.5188
2021-09-17,361.5450,368.1768,358.4423,368.1768,26299000,META,370.1713,369.1627,,365.0176,,362.2832,,360.5290
2021-09-20,352.6036,357.8872,346.7549,356.1722,19822800,META,369.9894,367.5857,,364.5308,,362.0915,,360.4502
2021-09-21,354.3681,356.9058,352.0980,355.3792,11751900,META,369.6985,366.3269,,364.1323,,361.9385,,360.3897
2021-09-22,340.2223,346.7946,337.7243,344.2073,43692900,META,368.5932,363.8407,,363.1946,,361.5085,,360.1890
2021-09-23,342.9483,346.6261,340.0141,342.3536,21806300,META,367.4814,361.8510,,362.4007,,361.1410,,360.0174
2021-09-24,349.8875,351.2654,339.3897,340.2521,18801900,META,366.9154,360.7116,,361.9099,,360.9181,,359.9166
2021-09-27,350.5020,352.0584,344.0586,346.7648,15205800,META,365.9712,359.7392,,361.4626,,360.7119,,359.8230
2021-09-28,337.6846,346.5567,335.9697,344.9409,21710300,META,363.9881,357.6388,,360.5301,,360.2559,,359.6027
2021-09-29,336.6536,342.2247,335.9300,340.1628,14452200,META,362.0169,355.6402,,359.5938,,359.7885,,359.3743
2021-09-30,336.4355,339.8158,335.2063,337.4863,16547100,META,359.9025,353.8112,,358.6856,,359.3261,,359.1461
2021-10-01,340.0240,342.0165,335.6921,338.6362,14905300,META,358.3030,352.4981,,357.9538,,358.9439,,358.9558
2021-10-04,323.3902,333.0156,319.8909,332.6092,42885000,META,355.8233,349.7259,,356.5983,,358.2398,,358.6019
2021-10-05,330.0616,332.2622,323.3208,325.7197,35377900,META,353.3837,347.8531,,355.5577,,357.6819,,358.3180
2021-10-06,330.7357,331.4692,322.9639,326.8696,26443000,META,351.2064,346.2229,,354.5843,,357.1483,,358.0435
2021-10-07,326.3541,335.8903,326.1162,334.0663,28307500,META,348.7886,344.3306,,353.4772,,356.5385,,357.7282
2021-10-08,327.1768,330.4977,325.8485,328.6241,15946100,META,346.3778,342.6969,,352.4458,,355.9571,,357.4242
2021-10-11,322.6169,327.5833,322.4781,324.7779,14708200,META,343.8470,340.7846,,351.2761,,355.2969,,357.0779
2021-10-12,320.9515,321.5562,314.6072,320.2180,31658700,META,341.2319,338.8957,,350.0869,,354.6168,,356.7184
2021-10-13,321.7149,324.1535,319.8513,324.1237,14761500,META,338.7844,337.2594,,348.9742,,353.9652,,356.3701
2021-10-14,325.6701,327.6427,324.2525,325.5015,14302200,META,336.5773,336.1557,,348.0603,,353.4049,,356.0646
2021-10-15,321.9329,326.2054,319.7025,325.8188,21596400,META,334.5967,334.8011,,347.0357,,352.7817,,355.7250
2021-10-18,332.4207,332.9660,324.6490,326.0864,21585000,META,333.5876,334.5744,352.8730,346.4626,,352.3785,,355.4931
2021-10-19,337.0303,339.4788,334.3439,336.6933,18786300,META,332.7207,334.8083,352.4444,346.0927,,352.0746,,355.3094
2021-10-20,337.8134,340.9856,336.4950,340.4602,13639500,META,332.6002,335.0945,352.0409,345.7680,,351.7922,,355.1353
2021-10-21,338.9039,339.3301,334.8594,337.3178,16354400,META,332.3980,335.4573,351.6825,345.4989,,351.5370,,354.9738
2021-10-22,321.7842,326.7605,318.3147,323.5091,35224500,META,330.9929,334.1551,350.9283,344.5689,,350.9478,,354.6436
2021-10-25,325.8287,326.6912,316.9368,317.5118,38409000,META,329.7592,333.3621,350.2445,343.8340,,350.4504,,354.3569
2021-10-26,313.0608,327.3355,306.9049,325.4025,65654000,META,328.5280,331.4287,349.2383,342.6272,,349.7100,,353.9459
2021-10-27,309.5021,316.4709,309.3435,311.4549,29971800,META,327.1704,329.3404,348.3218,341.3281,,348.9138,,353.5037
2021-10-28,314.1612,322.6863,305.4278,310.2654,50806800,META,326.0567,327.8948,347.5579,340.2628,,348.2257,,353.1122
2021-10-29,320.7533,323.1621,316.8178,317.4027,37059400,META,325.0932,327.2146,346.9324,339.4977,,347.6817,,352.7903
2021-11-01,327.1075,330.5473,323.1622,323.2018,31518900,META,325.2790,327.2044,346.3497,339.0118,,347.2743,,352.5347
2021-11-02,325.2240,331.8756,320.9813,328.4953,28353000,META,325.0372,327.0158,345.6504,338.4711,,346.8376,,352.2630
2021-11-03,328.7332,329.2586,320.3865,324.6392,20786500,META,324.9370,327.1794,344.9785,338.0892,,346.4791,,352.0288
2021-11-04,332.9264,334.3340,329.7542,331.1024,22495300,META,325.2657,327.7267,344.3334,337.8868,,346.2107,,351.8388
2021-11-05,338.1605,343.7712,336.6834,337.3476,26872800,META,325.8148,328.7204,343.8725,337.8975,,346.0513,,351.7027
2021-11-08,335.6723,341.7886,335.3947,341.4218,18342500,META,326.4676,329.3825,343.1982,337.8102,,345.8458,,351.5432
2021-11-09,332.4506,338.3389,331.5584,337.0403,17556700,META,327.0426,329.6747,342.3003,337.6001,,345.5806,,351.3532
2021-11-10,324.7878,330.2895,322.6763,329.5956,21872600,META,327.1962,329.2093,341.2745,337.0976,,345.1688,,351.0889
2021-11-11,324.8870,329.5659,324.1534,326.9489,12376600,META,327.1570,328.7976,340.1977,336.6188,,344.7672,,350.8281
2021-11-12,337.9225,338.8840,326.9092,327.3057,25414300,META,327.9565,329.6667,339.5159,336.6699,,344.6317,,350.6997
2021-11-15,344.5345,350.5715,340.2125,341.3425,25076600,META,328.5622,331.0826,338.9469,336.9783,,344.6297,,350.6384
2021-11-16,339.9745,343.6323,337.9027,340.8369,18181100,META,328.7094,331.9295,338.1693,337.0958,,344.5375,,350.5323
2021-11-17,337.8036,344.2767,337.1394,341.2434,13602800,META,328.7089,332.4889,337.4397,337.1236,,344.4042,,350.4056
