Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-13,281.0472,281.0952,277.6402,277.8130,18249000,MSFT,,281.0472,,281.0472,,281.0472,,281.0472
2021-08-16,282.7267,282.9378,278.3312,281.3735,22507600,MSFT,,281.2071,,281.1130,,281.0804,,281.0639
2021-08-17,281.2679,281.6038,279.3485,280.6057,20075300,MSFT,,281.2129,,281.1191,,281.0841,,281.0659
2021-08-18,279.5468,283.4795,279.1045,280.8064,21813000,MSFT,,281.0542,,281.0575,,281.0537,,281.0508
2021-08-19,285.3544,286.0275,277.5372,277.5852,29850500,MSFT,,281.4638,,281.2260,,281.1389,,281.0936
2021-08-20,292.6525,294.0756,286.5948,288.1910,40817600,MSFT,,282.5294,,281.6741,,281.3669,,281.2086
2021-08-23,292.9313,293.6524,290.2390,291.5851,22830200,MSFT,,283.5200,,282.1155,,281.5959,,281.3253
2021-08-24,290.9794,293.8928,290.3833,293.2871,18175800,MSFT,,284.2304,,282.4631,,281.7817,,281.4213
2021-08-25,290.3929,292.8736,288.8640,292.5948,20006100,MSFT,,284.8173,,282.7741,,281.9522,,281.5106
2021-08-26,287.5852,290.7967,287.4506,289.4121,17666100,MSFT,,285.0809,,282.9628,,282.0637,,281.5711
2021-08-27,288.1909,289.2967,285.4121,287.4890,22605700,MSFT,,285.3771,,283.1678,,282.1851,,281.6369
2021-08-30,291.9122,292.5179,289.4795,289.5372,16348100,MSFT,,285.9995,,283.5107,,282.3777,,281.7392
2021-08-31,290.2678,292.7870,289.9024,292.7101,26285300,MSFT,,286.4060,,283.7757,,282.5339,,281.8240
2021-09-01,290.2198,293.4505,289.8928,291.2198,18983800,MSFT,,286.7692,,284.0284,,282.6861,,281.9076
2021-09-02,289.5659,291.6909,288.6332,290.5755,16285600,MSFT,,287.0356,,284.2456,,282.8224,,281.9838
2021-09-03,289.5564,290.9602,288.7102,289.4121,14747900,MSFT,,287.2757,,284.4538,,282.9557,,282.0591
2021-09-07,288.6333,289.5083,286.7295,289.4314,17180400,MSFT,,287.4050,,284.6177,,283.0681,,282.1245
2021-09-08,288.6621,289.0467,286.0275,288.2486,15046800,MSFT,,287.5247,,284.7763,,283.1789,,282.1896
2021-09-09,285.8160,290.5179,285.5756,289.2487,19927000,MSFT,,287.3620,,284.8171,,283.2311,,282.2257
2021-09-10,284.3352,288.3833,284.0179,286.9410,19633400,MSFT,287.5822,287.0737,,284.7982,,283.2530,,282.2467
2021-09-13,285.5660,287.0564,282.7679,286.1044,23652900,MSFT,287.8081,286.9301,,284.8283,,283.2988,,282.2797
2021-09-14,288.2582,289.7967,286.6332,288.0371,21853400,MSFT,288.0847,287.0566,,284.9628,,283.3970,,282.3392
2021-09-15,293.0948,293.5755,290.2102,291.5948,28356300,MSFT,288.6760,287.6317,,285.2817,,283.5890,,282.4462
2021-09-16,293.4794,293.5659,289.1909,292.0755,19550800,MSFT,289.3727,288.1886,,285.6032,,283.7849,,282.5560
2021-09-17,288.3352,292.7871,288.0083,292.4698,41372500,MSFT,289.5217,288.2025,,285.7103,,283.8750,,282.6135
2021-09-20,282.9795,287.2295,278.3834,284.9314,38278700,MSFT,289.0381,287.7051,,285.6032,,283.8572,,282.6171
