Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-05-17,78.4033,78.4326,75.7993,77.1452,15011500,MU,,78.4033,,78.4033,,78.4033,,78.4033
2021-05-18,76.9307,78.9202,76.8526,78.5594,20893800,MU,,78.2631,,78.3456,,78.3742,,78.3887
2021-05-19,77.9547,78.2863,74.2779,75.3019,27300000,MU,,78.2337,,78.3303,,78.3659,,78.3844
2021-05-20,79.1250,79.4761,77.5548,78.5106,17123000,MU,,78.3186,,78.3614,,78.3809,,78.3917
2021-05-21,78.7252,79.9638,78.3838,79.7492,13076900,MU,,78.3573,,78.3757,,78.3877,,78.3951
2021-05-24,80.8513,81.5535,79.3494,79.4079,15730400,MU,,78.5948,,78.4728,,78.4365,,78.4195
2021-05-25,79.2226,81.6413,77.7401,81.5047,26272100,MU,,78.6546,,78.5022,,78.4521,,78.4275
2021-05-26,80.2076,80.4027,79.0177,79.5639,12609800,MU,,78.8025,,78.5691,,78.4868,,78.4452
2021-05-27,81.8559,82.6556,80.2954,80.4222,22286500,MU,,79.0933,,78.6979,,78.5535,,78.4791
2021-05-28,82.0607,82.6361,81.1634,82.1387,11330300,MU,,79.3759,,78.8298,,78.6230,,78.5148
2021-06-01,82.0704,83.6406,81.5535,82.8214,11067200,MU,,79.6325,,78.9569,,78.6913,,78.5501
2021-06-02,82.2557,82.7239,81.3877,82.3045,10314200,MU,,79.8824,,79.0863,,78.7618,,78.5870
2021-06-03,80.0028,81.9924,79.8663,81.6120,14742100,MU,,79.8938,,79.1222,,78.7864,,78.6011
2021-06-04,81.6901,82.2850,80.8025,80.9196,12591100,MU,,80.0649,,79.2229,,78.8439,,78.6318
2021-06-07,81.9631,82.1484,80.6075,81.1341,9006400,MU,,80.2457,,79.3304,,78.9057,,78.6650
2021-06-08,78.5399,82.8799,78.0327,82.8701,29666500,MU,,80.0832,,79.2994,,78.8984,,78.6637
2021-06-09,76.7161,78.5691,76.5795,78.1888,21434900,MU,,79.7626,,79.1981,,78.8552,,78.6444
2021-06-10,77.3208,78.8422,76.5893,77.4378,22683300,MU,,79.5300,,79.1244,,78.8248,,78.6312
2021-06-11,77.3793,78.7642,77.2525,78.0912,12675700,MU,,79.3252,,79.0560,,78.7962,,78.6187
2021-06-14,78.5009,78.9397,77.4085,77.5353,14303000,MU,79.5888,79.2467,,79.0342,,78.7904,,78.6176
2021-06-15,80.1491,80.8611,77.9450,78.6472,22308600,MU,79.6761,79.3326,,79.0780,,78.8173,,78.6328
2021-06-16,78.5009,81.0561,78.1400,80.6855,18116400,MU,79.7546,79.2534,,79.0553,,78.8110,,78.6315
2021-06-17,78.6471,79.4274,77.3988,77.7304,16003900,MU,79.7892,79.1957,,79.0393,,78.8078,,78.6316
2021-06-18,75.0483,77.3208,74.2486,76.9502,39881500,MU,79.5854,78.8007,,78.8828,,78.7333,,78.5960
2021-06-21,75.1654,75.3800,73.8390,74.9508,19810100,MU,79.4074,78.4545,,78.7370,,78.6627,,78.5619
2021-06-22,75.7408,76.3455,75.1459,75.6920,16771800,MU,79.1519,78.1960,,78.6195,,78.6048,,78.5338
2021-06-23,77.0672,77.8962,76.1407,76.1699,16662200,MU,79.0441,78.0885,,78.5587,,78.5744,,78.5192
2021-06-24,78.5886,78.9007,77.9449,78.4423,15721000,MU,78.9631,78.1361,,78.5598,,78.5746,,78.5199
2021-06-25,80.0028,80.7928,79.0861,79.5542,19603800,MU,78.8705,78.3139,,78.6164,,78.6029,,78.5346
2021-06-28,81.3194,81.5340,80.1296,80.5880,18365500,MU,78.8334,78.6002,,78.7224,,78.6567,,78.5624
2021-06-29,80.8806,81.7681,79.8468,81.4755,18530800,MU,78.7739,78.8173,,78.8071,,78.7007,,78.5854
2021-06-30,82.8799,83.2895,81.3682,82.7531,40670800,MU,78.8052,79.2043,,78.9668,,78.7835,,78.6281
2021-07-01,78.1303,80.2174,77.9352,80.2076,53299000,MU,78.7115,79.1020,,78.9340,,78.7706,,78.6232
2021-07-02,78.3448,78.8910,76.9404,78.6179,22685500,MU,78.5443,79.0299,,78.9109,,78.7621,,78.6204
2021-07-06,79.0763,79.5249,77.7889,78.7934,21126500,MU,78.3999,79.0343,,78.9173,,78.7684,,78.6250
2021-07-07,76.2869,79.7882,76.0236,79.6712,23026900,MU,78.2873,78.7726,,78.8142,,78.7192,,78.6017
2021-07-08,75.2044,75.9554,74.0828,74.3656,23114500,MU,78.2117,78.4328,,78.6726,,78.6496,,78.5679
2021-07-09,76.7941,76.9989,74.8338,75.4970,15441100,MU,78.1854,78.2767,,78.5990,,78.6129,,78.5502
