Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-05-24,50.2900,50.4250,49.9510,50.1050,24126000,NFLX,,50.2900,,50.2900,,50.2900,,50.2900
2021-05-25,50.1340,50.6370,49.9220,50.6000,26995000,NFLX,,50.2751,,50.2839,,50.2869,,50.2884
2021-05-26,50.2360,50.4140,50.0500,50.2340,24653000,NFLX,,50.2714,,50.2820,,50.2859,,50.2879
2021-05-27,50.3860,50.5100,49.8540,50.1800,32538000,NFLX,,50.2823,,50.2861,,50.2879,,50.2889
2021-05-28,50.2810,51.1760,50.2530,50.4400,29103000,NFLX,,50.2822,,50.2859,,50.2877,,50.2888
2021-06-01,49.9080,50.5410,49.7740,50.4010,24826000,NFLX,,50.2466,,50.2711,,50.2802,,50.2850
2021-06-02,49.9240,50.3220,49.5820,49.9820,22690000,NFLX,,50.2158,,50.2575,,50.2732,,50.2814
2021-06-03,48.9430,49.6660,48.7250,49.5190,38874000,NFLX,,50.0946,,50.2059,,50.2468,,50.2681
2021-06-04,49.4740,50.1860,49.0950,49.2000,31605000,NFLX,,50.0355,,50.1772,,50.2315,,50.2602
2021-06-07,49.4660,49.6700,49.0550,49.2920,27919000,NFLX,,49.9813,,50.1493,,50.2164,,50.2523
2021-06-08,49.2390,49.8820,48.9370,49.7000,23740000,NFLX,,49.9106,,50.1136,,50.1970,,50.2422
2021-06-09,48.5810,49.6090,48.4650,49.4500,30550000,NFLX,,49.7840,,50.0535,,50.1650,,50.2257
2021-06-10,48.7270,49.0210,48.2140,48.7170,43829000,NFLX,,49.6833,,50.0015,,50.1365,,50.2108
2021-06-11,48.8770,49.1410,48.7780,49.0000,31240000,NFLX,,49.6065,,49.9574,,50.1116,,50.1975
2021-06-14,49.9890,50.3500,48.6910,48.9680,44002000,NFLX,,49.6429,,49.9586,,50.1092,,50.1954
2021-06-15,49.1900,50.1230,49.0400,50.1230,31041000,NFLX,,49.5998,,49.9285,,50.0910,,50.1854
2021-06-16,49.2410,49.6460,48.6280,49.5000,35332000,NFLX,,49.5656,,49.9015,,50.0741,,50.1760
2021-06-17,49.8340,50.1800,49.0150,49.0250,31983000,NFLX,,49.5912,,49.8989,,50.0694,,50.1726
2021-06-18,50.0770,50.4490,49.5240,49.6400,51976000,NFLX,,49.6375,,49.9059,,50.0695,,50.1717
2021-06-21,49.7000,50.2050,49.2280,50.1640,52773000,NFLX,49.6248,49.6434,,49.8978,,50.0622,,50.1670
2021-06-22,50.8820,51.3550,49.5800,49.8540,58093000,NFLX,49.6544,49.7614,,49.9364,,50.0785,,50.1741
2021-06-23,51.2740,51.6630,50.8200,50.8480,39448000,NFLX,49.7114,49.9054,,49.9888,,50.1021,,50.1851
2021-06-24,51.8060,52.0960,51.4400,51.7960,33612000,NFLX,49.7899,50.0864,,50.0601,,50.1359,,50.2012
2021-06-25,52.7070,53.3060,52.5000,52.8840,52991000,NFLX,49.9060,50.3360,,50.1639,,50.1868,,50.2261
2021-06-28,53.3030,53.3940,52.4560,52.8120,28202000,NFLX,50.0571,50.6186,,50.2870,,50.2485,,50.2567
2021-06-29,53.3500,53.6130,52.8570,53.3550,23146000,NFLX,50.2292,50.8787,,50.4071,,50.3099,,50.2875
2021-06-30,52.8210,53.4380,52.6820,53.4060,27734000,NFLX,50.3740,51.0637,,50.5018,,50.3596,,50.3127
2021-07-01,53.3540,53.7040,52.5720,52.5720,28054000,NFLX,50.5946,51.2818,,50.6136,,50.4189,,50.3430
2021-07-02,53.3980,53.8540,52.9390,53.5500,19755000,NFLX,50.7908,51.4834,,50.7228,,50.4779,,50.3734
2021-07-06,54.1640,54.2860,53.3000,53.3000,27751000,NFLX,51.0257,51.7387,,50.8578,,50.5509,,50.4111
2021-07-07,53.5960,54.4640,53.1660,54.4240,27225000,NFLX,51.2435,51.9156,,50.9652,,50.6112,,50.4428
2021-07-08,53.0760,53.5500,52.9090,53.0930,32690000,NFLX,51.4683,52.0261,,51.0479,,50.6600,,50.4690
2021-07-09,53.5980,53.8260,52.8580,53.1000,27772000,NFLX,51.7118,52.1758,,51.1479,,50.7182,,50.5001
2021-07-12,53.7310,54.0650,53.2920,54.0300,17807000,NFLX,51.9545,52.3239,,51.2492,,50.7779,,50.5323
2021-07-13,54.0680,54.5330,53.5760,53.5760,27516000,NFLX,52.1585,52.4900,,51.3598,,50.8430,,50.5675
2021-07-14,54.7950,55.4100,54.1010,54.1010,46595000,NFLX,52.4387,52.7095,,51.4945,,50.9213,,50.6095
2021-07-15,54.2950,55.7540,53.8200,55.3970,57139000,NFLX,52.6914,52.8605,,51.6043,,50.9881,,50.6462
2021-07-16,53.0310,54.4060,52.7050,54.1810,34421000,NFLX,52.8513,52.8768,,51.6603,,51.0285,,50.6699
2021-07-19,53.2280,53.4910,52.2240,52.6050,38858000,NFLX,53.0088,52.9102,,51.7217,,51.0721,,50.6954
2021-07-20,53.1050,53.6640,52.0300,52.6070,69304000,NFLX,53.1791,52.9288,,51.7760,,51.1123,,50.7194
2021-07-21,51.3630,53.0990,50.5610,52.6130,119068000,NFLX,53.2031,52.7796,,51.7598,,51.1173,,50.7258
2021-07-22,51.1770,51.3680,50.7000,51.0210,43281000,NFLX,53.1983,52.6270,,51.7369,,51.1185,,50.7302
2021-07-23,51.5410,51.7410,50.4660,51.2160,38205000,NFLX,53.1850,52.5236,,51.7293,,51.1268,,50.7383
2021-07-26,51.6490,52.1130,50.9010,51.4380,22545000,NFLX,53.1321,52.4403,,51.7261,,51.1372,,50.7474
2021-07-27,51.8910,52.1950,51.2050,51.8080,27590000,NFLX,53.0615,52.3880,,51.7326,,51.1521,,50.7588
2021-07-28,51.9300,52.4470,51.6980,52.1820,23905000,NFLX,52.9905,52.3444,,51.7403,,51.1675,,50.7704
