Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-18,38.8600,39.6300,37.9500,38.4900,48277600,NIO,,38.8600,,38.8600,,38.8600,,38.8600
2021-08-19,36.2900,38.1500,36.2400,37.8900,56718000,NIO,,38.6152,,38.7592,,38.8091,,38.8344
2021-08-20,36.9200,37.9000,36.6000,36.6300,43491300,NIO,,38.4538,,38.6871,,38.7717,,38.8154
2021-08-23,38.1700,38.3800,37.0400,37.4400,39610100,NIO,,38.4268,,38.6668,,38.7598,,38.8090
2021-08-24,38.9400,39.6100,38.6300,39.2400,37927500,NIO,,38.4756,,38.6775,,38.7634,,38.8103
2021-08-25,38.9500,39.1400,38.1800,38.6600,25641300,NIO,,38.5208,,38.6882,,38.7671,,38.8117
2021-08-26,38.2600,39.7400,37.8200,38.6300,34432000,NIO,,38.4960,,38.6714,,38.7570,,38.8062
2021-08-27,38.0500,38.4700,37.8300,38.2300,23496700,NIO,,38.4535,,38.6470,,38.7430,,38.7986
2021-08-30,37.8000,38.2800,36.6400,38.1700,38128000,NIO,,38.3913,,38.6138,,38.7243,,38.7887
2021-08-31,39.3100,39.3900,37.9000,38.2400,44942200,NIO,,38.4788,,38.6411,,38.7359,,38.7939
2021-09-01,39.0800,39.9300,37.2000,37.4900,56911500,NIO,,38.5360,,38.6583,,38.7427,,38.7967
2021-09-02,40.3500,41.0200,38.9000,39.0700,43827700,NIO,,38.7088,,38.7247,,38.7746,,38.8122
2021-09-03,40.3700,40.9700,39.8300,40.1100,30353900,NIO,,38.8670,,38.7892,,38.8062,,38.8277
2021-09-07,40.5900,41.8600,40.5900,40.8500,35292600,NIO,,39.0311,,38.8598,,38.8415,,38.8452
2021-09-08,38.1400,39.4300,37.8100,39.1700,51800000,NIO,,38.9462,,38.8316,,38.8276,,38.8382
2021-09-09,38.4500,38.8500,37.5500,37.9800,33812000,NIO,,38.8990,,38.8166,,38.8201,,38.8343
2021-09-10,37.9800,39.5200,37.9000,38.6200,29273600,NIO,,38.8114,,38.7838,,38.8035,,38.8258
2021-09-13,38.3900,38.3900,36.5600,38.0100,38410000,NIO,,38.7713,,38.7684,,38.7953,,38.8215
2021-09-14,37.8900,39.4000,37.6900,38.4900,30857200,NIO,,38.6874,,38.7339,,38.7774,,38.8122
2021-09-15,38.0300,38.1500,36.9500,38.0000,27049400,NIO,38.5410,38.6248,,38.7063,,38.7626,,38.8045
2021-09-16,37.0900,37.6700,36.7400,37.5400,33023100,NIO,38.4525,38.4786,,38.6429,,38.7295,,38.7874
2021-09-17,37.5100,37.5700,36.9700,37.3000,29557200,NIO,38.5135,38.3864,,38.5985,,38.7053,,38.7747
2021-09-20,35.1700,36.3200,34.5400,36.1100,57611700,NIO,38.4260,38.0800,,38.4641,,38.6353,,38.7388
2021-09-21,34.9000,35.8200,34.8800,35.5200,31706600,NIO,38.2625,37.7772,,38.3243,,38.5613,,38.7006
2021-09-22,35.7000,35.8300,35.1200,35.2100,26608000,NIO,38.1005,37.5793,,38.2214,,38.5047,,38.6708
2021-09-23,36.0100,36.5000,35.5700,36.2000,27152700,NIO,37.9535,37.4299,,38.1347,,38.4553,,38.6443
2021-09-24,35.3800,36.0700,35.2000,35.5900,23755100,NIO,37.8095,37.2347,,38.0266,,38.3944,,38.6118
2021-09-27,36.7700,36.8600,34.4200,35.4300,36093000,NIO,37.7455,37.1904,,37.9774,,38.3622,,38.5935
