Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-03,16.9271,17.2156,16.5413,16.6588,580008000,NVDA,,16.9271,,16.9271,,16.9271,,16.9271
2021-06-04,17.5341,17.6166,17.0525,17.0695,617120000,NVDA,,16.9849,,16.9509,,16.9391,,16.9331
2021-06-07,17.5747,17.7677,17.1495,17.5271,575756000,NVDA,,17.0411,,16.9754,,16.9517,,16.9395
2021-06-08,17.4131,17.5772,17.2076,17.4832,323848000,NVDA,,17.0765,,16.9925,,16.9608,,16.9442
2021-06-09,17.3186,17.5348,17.2163,17.4757,381656000,NVDA,,17.0996,,17.0053,,16.9679,,16.9479
2021-06-10,17.3852,17.4520,17.1367,17.3103,287772000,NVDA,,17.1268,,17.0202,,16.9762,,16.9523
2021-06-11,17.7845,17.8982,17.4039,17.4395,416308000,NVDA,,17.1894,,17.0502,,16.9922,,16.9606
2021-06-14,17.9776,17.9983,17.6224,17.8651,321376000,NVDA,,17.2645,,17.0865,,17.0117,,16.9707
2021-06-15,17.7478,17.9751,17.6875,17.8741,243032000,NVDA,,17.3105,,17.1125,,17.0263,,16.9784
2021-06-16,17.7695,17.9137,17.5443,17.7501,307124000,NVDA,,17.3542,,17.1382,,17.0410,,16.9863
2021-06-17,18.6146,18.7920,17.7157,17.7339,809656000,NVDA,,17.4743,,17.1961,,17.0722,,17.0025
2021-06-18,18.5962,19.3307,18.5415,18.7411,968856000,NVDA,,17.5811,,17.2510,,17.1023,,17.0184
2021-06-21,18.3851,18.4941,17.7820,18.3931,672384000,NVDA,,17.6577,,17.2955,,17.1277,,17.0320
2021-06-22,18.8436,18.9204,18.3440,18.4293,580144000,NVDA,,17.7706,,17.3562,,17.1617,,17.0500
2021-06-23,19.0137,19.1090,18.8645,18.9643,332356000,NVDA,,17.8890,,17.4212,,17.1984,,17.0695
2021-06-24,19.1616,19.3756,19.0446,19.1838,320924000,NVDA,,18.0102,,17.4895,,17.2373,,17.0903
2021-06-25,18.9875,19.3013,18.8513,19.2364,278364000,NVDA,,18.1033,,17.5482,,17.2719,,17.1092
2021-06-28,19.9393,20.0329,19.2748,19.3170,495436000,NVDA,,18.2781,,17.6420,,17.3247,,17.1374
2021-06-29,19.9810,20.0528,19.6121,19.8371,367632000,NVDA,,18.4403,,17.7337,,17.3773,,17.1657
2021-06-30,19.9568,20.1164,19.8183,19.9535,326568000,NVDA,18.3456,18.5847,,17.8209,,17.4284,,17.1934
2021-07-01,20.1658,20.4092,19.9732,20.0790,480136000,NVDA,18.5075,18.7353,,17.9129,,17.4826,,17.2230
2021-07-02,20.4402,20.4584,20.2414,20.3935,342764000,NVDA,18.6528,18.8977,,18.0120,,17.5412,,17.2550
2021-07-06,20.6512,20.7944,20.3037,20.6901,446708000,NVDA,18.8066,19.0647,,18.1155,,17.6028,,17.2888
2021-07-07,20.3252,20.8273,20.2855,20.8058,418428000,NVDA,18.9522,19.1847,,18.2021,,17.6567,,17.3190
2021-07-08,19.8573,20.0870,19.6557,19.8111,503300000,NVDA,19.0792,19.2488,,18.2670,,17.7003,,17.3443
2021-07-09,20.0044,20.0344,19.7091,19.9169,296624000,NVDA,19.2101,19.3208,,18.3352,,17.7459,,17.3708
2021-07-12,20.4656,20.4858,20.1416,20.1937,321984000,NVDA,19.3442,19.4298,,18.4187,,17.7997,,17.4016
2021-07-13,20.2037,20.4145,20.0680,20.3539,290708000,NVDA,19.4555,19.5035,,18.4887,,17.8473,,17.4294
2021-07-14,19.7962,20.3711,19.7076,20.3112,380100000,NVDA,19.5579,19.5314,,18.5400,,17.8859,,17.4530
2021-07-15,18.9229,19.8016,18.8154,19.7665,550564000,NVDA,19.6156,19.4734,,18.5550,,17.9065,,17.4676
2021-07-16,18.1195,19.1132,18.0317,18.9870,688224000,NVDA,19.5908,19.3445,,18.5379,,17.9107,,17.4741
2021-07-19,18.7368,18.9985,17.8247,17.8743,749060000,NVDA,19.5979,19.2866,,18.5457,,17.9270,,17.4867
2021-07-20,18.5695,18.7949,18.1225,18.6872,434687000,NVDA,19.6071,19.2183,,18.5466,,17.9398,,17.4974
2021-07-21,19.3656,19.4824,18.6992,18.8388,371017000,NVDA,19.6332,19.2323,,18.5788,,17.9680,,17.5160
2021-07-22,19.5492,19.8415,19.2319,19.5971,323826000,NVDA,19.6600,19.2625,,18.6168,,17.9993,,17.5363
2021-07-23,19.5133,19.6550,19.2060,19.6111,195672000,NVDA,19.6775,19.2864,,18.6520,,18.0293,,17.5559
2021-07-26,19.2499,19.3976,18.8708,19.2669,203943000,NVDA,19.6907,19.2829,,18.6754,,18.0535,,17.5728
2021-07-27,19.1641,19.5772,18.6982,19.2210,248863000,NVDA,19.6519,19.2716,,18.6946,,18.0755,,17.5886
2021-07-28,19.4584,19.6011,18.9516,19.2748,202191000,NVDA,19.6258,19.2894,,18.7245,,18.1028,,17.6072
2021-07-29,19.6171,19.8076,19.2838,19.4744,190781000,NVDA,19.6088,19.3206,,18.7595,,18.1328,,17.6272
2021-07-30,19.4544,19.5851,19.2190,19.3736,183497000,NVDA,19.5732,19.3334,,18.7868,,18.1590,,17.6454
