Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-19,47.0901,47.3442,46.6397,46.6754,2016800,NVO,,47.0901,,47.0901,,47.0901,,47.0901
2021-08-20,47.5404,47.8169,47.2104,47.2729,1864400,NVO,,47.1329,,47.1077,,47.0990,,47.0945
2021-08-23,47.2372,47.5359,47.1569,47.5359,2794200,NVO,,47.1429,,47.1128,,47.1017,,47.0960
2021-08-24,46.2027,46.8849,46.1626,46.5149,2827000,NVO,,47.0533,,47.0771,,47.0839,,47.0871
2021-08-25,46.2072,46.2250,45.8059,46.0110,1629000,NVO,,46.9728,,47.0430,,47.0665,,47.0783
2021-08-26,46.1804,46.5461,46.1760,46.2964,1410200,NVO,,46.8973,,47.0092,,47.0490,,47.0694
2021-08-27,45.4269,46.0467,45.3556,45.7702,2760200,NVO,,46.7573,,46.9471,,47.0169,,47.0530
2021-08-30,45.6498,45.8862,45.1861,45.2218,2537200,NVO,,46.6518,,46.8962,,46.9898,,47.0391
2021-08-31,44.5753,45.3556,44.1695,45.3466,4786400,NVO,,46.4540,,46.8052,,46.9420,,47.0146
2021-09-01,44.9498,44.9766,44.5128,44.5574,2497400,NVO,,46.3108,,46.7325,,46.9025,,46.9940
2021-09-02,45.3377,45.3689,44.9855,45.2084,1285000,NVO,,46.2181,,46.6778,,46.8716,,46.9775
2021-09-03,44.9855,45.1237,44.5351,44.7447,1978400,NVO,,46.1007,,46.6114,,46.8342,,46.9577
2021-09-07,45.1995,45.3466,45.0791,45.2931,1365400,NVO,,46.0149,,46.5560,,46.8018,,46.9402
2021-09-08,44.9008,45.1505,44.7492,44.8651,1544400,NVO,,45.9088,,46.4911,,46.7642,,46.9199
2021-09-09,44.2721,44.9498,44.2007,44.8294,2361200,NVO,,45.7529,,46.4041,,46.7148,,46.8936
2021-09-10,44.3880,44.7179,44.2542,44.4995,1744400,NVO,,45.6229,,46.3250,,46.6688,,46.8686
2021-09-13,44.4415,45.0479,44.2542,44.9855,1964200,NVO,,45.5104,,46.2512,,46.6247,,46.8445
2021-09-14,44.6020,45.0791,44.5351,44.5975,1933400,NVO,,45.4239,,46.1865,,46.5846,,46.8222
2021-09-15,45.1549,45.2129,44.8562,45.1906,1274200,NVO,,45.3983,,46.1460,,46.5563,,46.8056
2021-09-16,45.6498,45.7479,45.3243,45.4670,1922800,NVO,45.4996,45.4222,,46.1266,,46.5384,,46.7941
2021-09-17,45.2173,45.6097,45.0078,45.3021,3016600,NVO,45.4059,45.4027,,46.0909,,46.5122,,46.7784
2021-09-20,44.4370,44.8160,43.9510,43.9822,2209800,NVO,45.2508,45.3107,,46.0261,,46.4711,,46.7551
2021-09-21,45.3779,45.6721,44.9810,44.9810,1961600,NVO,45.1578,45.3171,,46.0006,,46.4495,,46.7414
2021-09-22,44.9766,45.3422,44.8160,45.0078,1176000,NVO,45.0965,45.2847,,45.9605,,46.4203,,46.7238
2021-09-23,45.5250,45.7167,45.4224,45.5785,1048000,NVO,45.0624,45.3076,,45.9434,,46.4026,,46.7119
2021-09-24,44.9008,45.2976,44.7625,44.8785,1983400,NVO,44.9984,45.2688,,45.9025,,46.3728,,46.6939
2021-09-27,44.1784,44.5396,44.0759,44.5128,1439200,NVO,44.9360,45.1650,,45.8349,,46.3294,,46.6689
2021-09-28,42.5286,43.0815,42.2834,43.0815,3058400,NVO,44.7799,44.9139,,45.7053,,46.2541,,46.6277
2021-09-29,42.8497,43.2331,42.5955,42.9879,1665600,NVO,44.6936,44.7173,,45.5933,,46.1867,,46.5901
2021-09-30,42.8095,43.3312,42.7917,43.1395,2239000,NVO,44.5866,44.5356,,45.4841,,46.1198,,46.5525
2021-10-01,42.7516,42.8452,42.3101,42.6490,1645800,NVO,44.4573,44.3657,,45.3769,,46.0531,,46.5146
2021-10-04,43.2242,43.6077,42.8987,43.4918,1987600,NVO,44.3693,44.2570,,45.2925,,45.9971,,46.4819
2021-10-05,43.4427,43.8351,43.4293,43.7860,2098400,NVO,44.2814,44.1794,,45.2200,,45.9465,,46.4517
2021-10-06,43.0503,43.2777,42.6446,43.2644,1576000,NVO,44.1889,44.0719,,45.1349,,45.8892,,46.4178
2021-10-07,43.8663,44.1427,43.5007,43.5319,1664600,NVO,44.1686,44.0523,,45.0851,,45.8491,,46.3924
2021-10-08,43.8663,44.2007,43.7459,44.1026,1219000,NVO,44.1425,44.0346,,45.0374,,45.8098,,46.3673
2021-10-11,43.8752,44.0045,43.7415,43.8351,843800,NVO,44.1142,44.0194,,44.9918,,45.7715,,46.3425
2021-10-12,43.5363,43.9287,43.3089,43.8574,1344600,NVO,44.0609,43.9734,,44.9347,,45.7273,,46.3146
2021-10-13,44.8562,44.9721,44.2721,44.2721,1804400,NVO,44.0460,44.0575,,44.9316,,45.7100,,46.3001
2021-10-14,44.7848,45.0969,44.7447,45.0211,1288000,NVO,44.0027,44.1268,,44.9259,,45.6917,,46.2850
2021-10-15,45.6320,45.8104,45.0613,45.1326,1877800,NVO,44.0235,44.2701,,44.9536,,45.6905,,46.2785
2021-10-18,46.1180,46.4346,45.9887,46.1047,2803400,NVO,44.1075,44.4461,,44.9992,,45.6990,,46.2769
2021-10-19,46.6620,46.8493,46.0824,46.0824,1751000,NVO,44.1717,44.6571,,45.0644,,45.7181,,46.2807
2021-10-20,46.6174,46.9697,46.2785,46.6620,1277400,NVO,44.2538,44.8438,,45.1253,,45.7359,,46.2841
2021-10-21,46.5550,46.6308,46.2919,46.4747,1571200,NVO,44.3053,45.0068,,45.1814,,45.7521,,46.2868
2021-10-22,47.2684,47.3041,46.9920,47.0098,1240000,NVO,44.4237,45.2222,,45.2632,,45.7821,,46.2965
2021-10-25,47.3398,47.4646,47.1614,47.4334,1313800,NVO,44.5817,45.4239,,45.3447,,45.8130,,46.3069
2021-10-26,47.8659,48.0264,47.0187,47.0187,1564400,NVO,44.8486,45.6564,,45.4435,,45.8536,,46.3224
2021-10-27,47.1213,47.7455,47.0410,47.5984,1412400,NVO,45.0622,45.7960,,45.5093,,45.8787,,46.3304
2021-10-28,47.9997,48.3029,47.5047,47.5047,1797400,NVO,45.3217,46.0058,45.1845,45.6070,,45.9207,,46.3470
2021-10-29,49.1055,49.1991,48.5303,48.7755,2138600,NVO,45.6394,46.3010,45.2248,45.7442,,45.9838,,46.3744
2021-11-01,48.7978,49.0074,48.6061,48.8602,1694600,NVO,45.9180,46.5388,45.2500,45.8639,,46.0395,,46.3985
2021-11-02,49.0698,49.5959,48.9762,49.1188,2353800,NVO,46.1994,46.7799,45.2866,45.9897,,46.0995,,46.4251
2021-11-03,51.5266,51.7005,49.8189,49.8590,4348400,NVO,46.6232,47.2319,45.3931,46.2068,,46.2070,,46.4759
2021-11-04,51.6559,51.6916,51.0807,51.5578,2075400,NVO,47.0127,47.6533,45.5021,46.4205,,46.3149,,46.5274
2021-11-05,50.5724,50.5769,49.9571,50.0775,2355200,NVO,47.3480,47.9313,45.5899,46.5833,,46.3992,,46.5677
2021-11-08,51.1432,51.5311,50.8043,51.3661,1904800,NVO,47.7114,48.2372,45.7042,46.7621,,46.4931,,46.6132
2021-11-09,50.8846,51.1432,50.7642,51.0941,1381800,NVO,48.0788,48.4893,45.8089,46.9238,,46.5801,,46.6557
2021-11-10,50.2558,50.8266,50.1087,50.6661,1934400,NVO,48.3488,48.6576,45.9225,47.0545,,46.6529,,46.6915
2021-11-11,50.5680,50.7731,50.2960,50.7107,2071400,NVO,48.6380,48.8395,46.0349,47.1922,,46.7304,,46.7301
2021-11-12,50.4297,50.5635,49.9527,50.4030,1100000,NVO,48.8778,48.9909,46.1368,47.3192,,46.8037,,46.7669
2021-11-15,50.6036,50.8578,50.5189,50.5368,1118000,NVO,49.1021,49.1445,46.2491,47.4480,,46.8789,,46.8051
2021-11-16,50.8266,51.1209,50.6081,50.6973,1143600,NVO,49.3103,49.3047,46.3617,47.5805,,46.9571,,46.8451
2021-11-17,51.0139,51.3171,50.9425,51.0986,1118200,NVO,49.5302,49.4675,46.4839,47.7151,,47.0374,,46.8866
2021-11-18,51.2903,51.5846,51.0183,51.3929,1773200,NVO,49.7669,49.6411,46.6243,47.8553,,47.1216,,46.9304
2021-11-19,50.7731,51.2591,50.7196,51.1075,1449800,NVO,49.9422,49.7489,46.7520,47.9698,,47.1939,,46.9686
2021-11-22,49.5959,50.3629,49.5781,50.3272,1343000,NVO,50.0550,49.7343,46.8551,48.0335,,47.2415,,46.9948
2021-11-23,48.7889,48.9539,48.2761,48.3920,2005800,NVO,50.1011,49.6443,46.9388,48.0632,,47.2721,,47.0126
2021-11-24,48.6194,48.6284,48.1067,48.4456,1139600,NVO,50.1760,49.5467,47.0081,48.0850,,47.2988,,47.0286
2021-11-26,48.2315,48.6239,48.1557,48.4589,1688600,NVO,50.1876,49.4214,47.0597,48.0907,,47.3173,,47.0406
2021-11-29,48.2850,48.5927,47.7411,47.9060,1329400,NVO,50.1466,49.3132,47.1211,48.0983,,47.3364,,47.0530
2021-11-30,47.6340,48.6417,47.3531,48.3742,2255400,NVO,50.0884,49.1533,47.1850,48.0801,,47.3423,,47.0588
2021-12-01,47.8347,48.4901,47.7188,47.8035,1421000,NVO,50.0267,49.0277,47.2342,48.0705,,47.3521,,47.0665
2021-12-02,47.5493,47.8035,47.3621,47.5003,1583000,NVO,49.8278,48.8869,47.2856,48.0501,,47.3560,,47.0713
2021-12-03,47.7455,48.7933,47.2907,48.7220,1523200,NVO,49.6323,48.7782,47.3300,48.0381,,47.3637,,47.0780
2021-12-06,48.0443,48.3742,47.6519,48.2181,1814600,NVO,49.5059,48.7083,47.3929,48.0384,,47.3772,,47.0876
2021-12-07,49.1188,49.1367,48.5436,48.5481,1346000,NVO,49.4047,48.7474,47.4917,48.0807,,47.4117,,47.1078
2021-12-08,50.5680,50.5903,49.5335,50.1890,2400000,NVO,49.3888,48.9208,47.6525,48.1783,,47.4742,,47.1422
