Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-04,59.5583,59.5867,58.7033,58.8550,3386400,PANW,,59.5583,,59.5583,,59.5583,,59.5583
2021-06-07,59.3950,59.9100,59.0833,59.3333,3096600,PANW,,59.5428,,59.5519,,59.5551,,59.5567
2021-06-08,58.8900,60.4017,58.6017,59.8233,4294800,PANW,,59.4806,,59.5260,,59.5419,,59.5501
2021-06-09,58.7317,59.2833,58.7200,59.2750,2443800,PANW,,59.4093,,59.4948,,59.5259,,59.5419
2021-06-10,60.4083,60.4383,58.5000,58.6700,4842600,PANW,,59.5044,,59.5306,,59.5434,,59.5506
2021-06-11,60.9733,61.2417,60.4083,60.4083,4804200,PANW,,59.6443,,59.5872,,59.5717,,59.5647
2021-06-14,61.2583,61.6383,60.7733,60.8867,4716600,PANW,,59.7980,,59.6528,,59.6051,,59.5816
2021-06-15,60.1400,61.1667,59.9217,61.1667,3421800,PANW,,59.8306,,59.6719,,59.6157,,59.5871
2021-06-16,60.5833,61.0433,59.9917,60.6917,4774200,PANW,,59.9023,,59.7076,,59.6348,,59.5970
2021-06-17,62.0117,62.3150,60.0450,60.4800,8025000,PANW,,60.1032,,59.7980,,59.6819,,59.6211
2021-06-18,61.9517,63.2150,61.5833,62.3000,8628600,PANW,,60.2792,,59.8824,,59.7268,,59.6442
2021-06-21,61.8233,61.9767,60.7183,61.7217,3745200,PANW,,60.4263,,59.9585,,59.7684,,59.6659
2021-06-22,60.9000,62.1283,60.4667,61.6667,5630400,PANW,,60.4714,,59.9955,,59.7908,,59.6782
2021-06-23,61.3983,61.7500,60.9283,60.9567,3542400,PANW,,60.5597,,60.0505,,59.8226,,59.6953
2021-06-24,62.1000,62.6150,61.6750,61.8467,3608400,PANW,,60.7064,,60.1308,,59.8677,,59.7193
2021-06-25,62.5950,63.0633,61.9833,62.4417,11879400,PANW,,60.8862,,60.2275,,59.9217,,59.7479
2021-06-28,63.0783,64.4533,62.9283,63.2583,6169200,PANW,,61.0950,,60.3393,,59.9842,,59.7810
2021-06-29,62.6117,63.4617,62.2117,63.1667,2887800,PANW,,61.2395,,60.4284,,60.0362,,59.8092
2021-06-30,61.8417,62.4133,61.7000,62.2517,6349800,PANW,,61.2968,,60.4838,,60.0720,,59.8294
2021-07-01,61.7817,62.1150,61.0483,61.6667,4441800,PANW,61.1016,61.3430,,60.5347,,60.1058,,59.8488
2021-07-02,62.1367,62.6183,61.8883,62.2333,3691200,PANW,61.2305,61.4186,,60.5975,,60.1461,,59.8716
2021-07-06,65.3167,65.5717,62.9467,62.9683,11936400,PANW,61.5266,61.7898,,60.7826,,60.2484,,59.9258
2021-07-07,64.4983,65.5883,63.8683,65.3167,7186200,PANW,61.8070,62.0478,,60.9283,,60.3326,,59.9713
2021-07-08,64.4183,64.7233,62.9550,63.3550,5632800,PANW,62.0913,62.2735,,61.0652,,60.4135,,60.0155
