Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-07,290.0257,290.4410,284.8632,287.2071,6787500,PYPL,,290.0257,,290.0257,,290.0257,,290.0257
2021-09-08,282.0842,293.4277,280.2052,293.2794,11039300,PYPL,,289.2693,,289.7142,,289.8684,,289.9466
2021-09-09,283.7160,286.1786,281.9359,284.2798,4170000,PYPL,,288.7405,,289.4790,,289.7466,,289.8846
2021-09-10,281.1842,285.8126,280.9765,285.4170,3816600,PYPL,,288.0208,,289.1537,,289.5770,,289.7981
2021-09-13,277.3965,284.0226,274.7361,283.5578,4836500,PYPL,,287.0090,,288.6927,,289.3358,,289.6747
2021-09-14,279.1272,280.0470,276.6251,278.7356,4216700,PYPL,,286.2583,,288.3175,,289.1337,,289.5697
2021-09-15,279.3151,282.5985,276.4174,281.0755,4056800,PYPL,,285.5971,,287.9645,,288.9393,,289.4677
2021-09-16,279.8492,280.5612,277.2976,277.9404,3606700,PYPL,,285.0496,,287.6463,,288.7592,,289.3720
2021-09-17,273.2923,279.3843,272.8769,279.0679,8117200,PYPL,,283.9299,,287.0834,,288.4530,,289.2120
2021-09-20,266.9332,269.9891,262.7498,268.5551,7728300,PYPL,,282.3112,,286.2932,,288.0268,,288.9903
2021-09-21,266.5178,269.2959,264.8465,268.7529,4326100,PYPL,,280.8070,,285.5176,,287.6009,,288.7667
2021-09-22,269.3364,270.4539,263.5608,267.4771,5574100,PYPL,,279.7146,,284.8831,,287.2392,,288.5734
2021-09-23,276.0219,276.8625,270.7605,271.4231,5409600,PYPL,,279.3629,,284.5356,,287.0171,,288.4485
2021-09-24,275.0428,275.2604,271.6605,272.9758,3985800,PYPL,,278.9515,,284.1633,,286.7800,,288.3151
2021-09-27,270.3748,273.7274,269.1841,271.7495,4614900,PYPL,,278.1346,,283.6226,,286.4551,,288.1366
2021-09-28,259.2983,268.4463,258.7940,266.9183,8352400,PYPL,,276.3407,,282.6687,,285.9174,,287.8496
2021-09-29,256.1435,261.5433,254.0568,260.6038,6829100,PYPL,,274.4172,,281.6285,,285.3278,,287.5341
2021-09-30,257.3402,260.5642,255.8765,256.7864,5321700,PYPL,,272.7908,,280.6760,,284.7736,,287.2337
2021-10-01,261.7312,262.8883,257.2413,258.5715,4560400,PYPL,,271.7375,,279.9331,,284.3173,,286.9800
2021-10-04,252.1975,259.6742,248.8152,258.9502,7267200,PYPL,271.8464,269.8765,,278.8454,,283.6813,,286.6339
2021-10-05,257.2808,259.8719,250.7932,252.4052,6326600,PYPL,270.2092,268.6770,,277.9997,,283.1585,,286.3418
2021-10-06,261.1477,261.4741,253.2063,253.4634,4615300,PYPL,269.1623,267.9599,,277.3389,,282.7226,,286.0911
2021-10-07,260.6335,265.7296,260.1686,263.0169,5276400,PYPL,268.0082,267.2621,,276.6838,,282.2852,,285.8378
