Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-07,128.9406,129.8465,128.3755,129.7747,6361200,QCOM,,128.9406,,128.9406,,128.9406,,128.9406
2021-09-08,127.8373,128.8239,126.9134,128.5907,5981300,QCOM,,128.8355,,128.8973,,128.9187,,128.9296
2021-09-09,126.9941,128.7522,126.8775,127.7924,6190800,QCOM,,128.6601,,128.8227,,128.8806,,128.9103
2021-09-10,127.9808,130.9588,127.8552,128.3844,6263300,QCOM,,128.5954,,128.7896,,128.8628,,128.9011
2021-09-13,128.6356,129.8196,127.3977,129.1827,4312800,QCOM,,128.5992,,128.7836,,128.8583,,128.8984
2021-09-14,126.5994,129.8913,126.1330,129.5864,6442100,QCOM,,128.4088,,128.6979,,128.8135,,128.8755
2021-09-15,123.9982,126.4739,123.3524,126.3034,11289100,QCOM,,127.9887,,128.5136,,128.7182,,128.8270
2021-09-16,124.1417,124.6441,123.1730,123.1730,6719900,QCOM,,127.6223,,128.3422,,128.6276,,128.7804
2021-09-17,119.8362,123.7829,119.4236,123.6125,14550500,QCOM,,126.8808,,128.0086,,128.4535,,128.6914
2021-09-20,119.0827,119.4057,117.1542,117.9256,9647100,QCOM,,126.1381,,127.6586,,128.2679,,128.5958
2021-09-21,118.1768,120.1143,117.7552,119.8273,6175300,QCOM,,125.3799,,127.2868,,128.0681,,128.4921
2021-09-22,119.3070,119.7376,118.3831,118.9303,5163000,QCOM,,124.8015,,126.9738,,127.8946,,128.4007
2021-09-23,120.1143,121.2355,119.4954,119.9708,5918900,QCOM,,124.3551,,126.7048,,127.7405,,128.3183
2021-09-24,120.0874,120.6884,119.1186,119.3967,4554600,QCOM,,123.9487,,126.4453,,127.5890,,128.2364
2021-09-27,119.7286,120.2309,118.4190,118.7868,4319500,QCOM,,123.5468,,126.1819,,127.4333,,128.1517
2021-09-28,116.5174,119.0648,116.3380,118.1768,8851700,QCOM,,122.8773,,125.8029,,127.2172,,128.0360
2021-09-29,115.9613,117.9077,115.6115,117.1363,7037200,QCOM,,122.2186,,125.4170,,126.9943,,127.9158
2021-09-30,115.6922,117.5758,115.4410,116.9210,6976800,QCOM,,121.5971,,125.0356,,126.7705,,127.7942
2021-10-01,115.4500,116.6250,113.4408,116.4277,6863700,QCOM,,121.0116,,124.6597,,126.5463,,127.6714
2021-10-04,113.6291,116.4187,112.9474,115.6384,8470300,QCOM,121.4355,120.3085,,124.2271,,126.2905,,127.5316
