Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-27,359.4447,360.3182,356.9018,359.2991,43338100,QQQ,,359.4447,,359.4447,,359.4447,,359.4447
2021-09-28,349.2733,359.3961,348.7686,354.9025,97701600,QQQ,,358.4760,,359.0458,,359.2433,,359.3435
2021-09-29,348.7006,352.6702,348.0795,350.5350,58076600,QQQ,,357.5450,,358.6401,,359.0345,,359.2376
2021-09-30,347.4195,352.0005,346.5848,350.3408,61384600,QQQ,,356.5806,,358.2001,,358.8045,,359.1200
2021-10-01,349.5741,350.6126,343.9449,348.0407,56375500,QQQ,,355.9134,,357.8618,,358.6217,,359.0250
2021-10-04,342.2367,348.2930,340.0045,347.9630,76766000,QQQ,,354.6108,,357.2491,,358.2973,,358.8579
2021-10-05,346.8566,349.0986,343.0714,343.2947,47232900,QQQ,,353.8723,,356.8415,,358.0707,,358.7385
2021-10-06,349.0791,349.3509,342.7511,343.6537,56806500,QQQ,,353.4158,,356.5371,,357.8927,,358.6424
2021-10-07,352.2819,354.9218,351.5831,352.1169,39411200,QQQ,,353.3078,,356.3702,,357.7816,,358.5791
2021-10-08,350.5253,353.5922,349.9914,353.3593,41822300,QQQ,,353.0428,,356.1410,,357.6379,,358.4990
2021-10-11,347.8369,352.5052,347.7495,348.9918,34847200,QQQ,,352.5470,,355.8154,,357.4438,,358.3929
2021-10-12,346.6237,349.7197,345.9831,349.2830,43905100,QQQ,,351.9829,,355.4549,,357.2295,,358.2758
2021-10-13,349.3994,350.0691,346.9051,348.9238,40120800,QQQ,,351.7369,,355.2174,,357.0745,,358.1875
2021-10-14,355.8342,356.0478,352.3208,352.9808,43433900,QQQ,,352.1271,,355.2416,,357.0499,,358.1640
2021-10-15,358.0761,358.1926,356.0185,357.0473,40419900,QQQ,,352.6937,,355.3528,,357.0702,,358.1632
2021-10-18,361.6769,361.8905,356.1836,356.7853,34513500,QQQ,,353.5492,,355.6008,,357.1615,,358.1981
2021-10-19,364.4138,364.4623,361.7254,362.7445,29091000,QQQ,,354.5839,,355.9464,,357.3051,,358.2600
2021-10-20,363.9383,365.4815,362.4631,364.8700,31390300,QQQ,,355.4748,,356.2598,,357.4364,,358.3165
2021-10-21,366.1609,366.3550,362.8416,363.1425,25469300,QQQ,,356.4925,,356.6481,,357.6092,,358.3945
2021-10-22,363.0843,365.8697,361.4246,364.9089,36275800,QQQ,353.6218,357.1203,,356.9005,,357.7176,,358.4412
2021-10-25,366.8014,367.7137,362.5601,364.5012,32597800,QQQ,353.9897,358.0423,,357.2888,,357.8975,,358.5244
2021-10-26,367.9564,371.4407,366.7820,369.0337,47191300,QQQ,354.9238,358.9865,,357.7071,,358.0967,,358.6182
2021-10-27,368.8105,371.8678,368.1408,368.4029,45760500,QQQ,355.9293,359.9221,,358.1425,,358.3088,,358.7197
2021-10-28,372.9062,373.1586,369.9364,370.7031,38007000,QQQ,357.2036,361.1587,,358.7215,,358.5979,,358.8608
2021-10-29,374.7405,374.9055,369.4899,369.8393,37310100,QQQ,358.4620,362.4522,,359.3497,,358.9175,,359.0188
2021-11-01,376.0218,376.1479,373.1004,375.1774,30765300,QQQ,360.1512,363.7446,,360.0035,,359.2562,,359.1880
2021-11-02,377.5940,378.0696,375.3617,375.4102,25135300,QQQ,361.6881,365.0636,,360.6933,,359.6194,,359.3712
2021-11-03,381.6024,382.0197,377.0408,378.0792,33748900,QQQ,363.3142,366.6387,,361.5133,,360.0547,,359.5924
2021-11-04,386.4940,387.4452,382.3207,382.8642,40265300,QQQ,365.0249,368.5297,,362.4929,,360.5782,,359.8600
2021-11-05,386.8628,389.1824,385.4652,388.2604,43383800,QQQ,366.8417,370.2757,,363.4486,,361.0987,,360.1287
2021-11-08,386.3387,387.8528,385.6981,386.8337,29256300,QQQ,368.7668,371.8055,,364.3462,,361.5985,,360.3895
2021-11-09,383.6794,387.8043,382.3206,387.4063,50490700,QQQ,370.6196,372.9363,,365.1044,,362.0357,,360.6213
2021-11-10,378.0405,383.7182,376.1188,380.9133,54937400,QQQ,372.0517,373.4225,,365.6117,,362.3527,,360.7946
2021-11-11,379.0887,381.1851,378.7490,381.0104,32243000,QQQ,373.2144,373.9621,,366.1402,,362.6841,,360.9766
2021-11-12,383.0777,383.6115,378.6423,380.2340,34730600,QQQ,374.4645,374.8302,,366.8044,,363.0879,,361.1965
2021-11-15,382.9903,384.5723,380.5543,384.2521,33716900,QQQ,375.5301,375.6074,,367.4392,,363.4820,,361.4134
2021-11-16,385.7176,386.2125,382.0683,382.2624,27872900,QQQ,376.5953,376.5703,,368.1560,,363.9223,,361.6552
2021-11-17,385.9214,387.9498,384.9605,386.0378,28703300,QQQ,377.6945,377.4609,,368.8527,,364.3580,,361.8967
2021-11-18,389.9200,390.4247,385.7466,387.9595,45721500,QQQ,378.8824,378.6474,,369.6788,,364.8641,,362.1755
2021-11-19,392.0941,393.3655,390.7256,391.5506,45191700,QQQ,380.3329,379.9281,,370.5579,,365.4033,,362.4732
2021-11-22,387.5422,396.6752,387.4355,393.6276,61715400,QQQ,381.3700,380.6532,,371.2239,,365.8417,,362.7226
2021-11-23,385.7758,388.4448,381.3500,386.3872,70098700,QQQ,382.2609,381.1411,,371.7946,,366.2365,,362.9520
2021-11-24,387.0181,387.2995,380.9813,383.3009,46954400,QQQ,383.1713,381.7008,,372.3916,,366.6480,,363.1915
2021-11-26,379.6807,385.8340,378.2928,384.4461,51533300,QQQ,383.5100,381.5084,,372.6774,,366.9061,,363.3556
2021-11-29,387.9207,388.9301,383.5047,384.2326,54447100,QQQ,384.1690,382.1191,,373.2752,,367.3222,,363.6000
2021-11-30,382.2236,389.3765,380.2145,387.0375,81332700,QQQ,384.4791,382.1291,,373.6261,,367.6173,,363.7853
2021-12-01,375.7208,388.6874,375.2550,386.5522,77766500,QQQ,384.3855,381.5188,,373.7083,,367.7777,,363.9041
2021-12-02,378.4287,380.2048,373.0227,374.4397,84416600,QQQ,384.2268,381.2245,,373.8934,,367.9886,,364.0486
2021-12-03,371.8484,380.7872,367.7429,379.7875,105349100,QQQ,383.4945,380.3315,,373.8132,,368.0651,,364.1262
2021-12-06,374.8279,376.1866,368.1310,372.3335,67588800,QQQ,382.8928,379.8073,369.8016,373.8530,,368.1990,,364.2327
2021-12-07,386.1155,386.7269,381.4180,381.4568,56005300,QQQ,382.8816,380.4081,370.3350,374.3339,,368.5538,,364.4504
2021-12-08,387.8430,388.0468,384.5528,386.4454,39204000,QQQ,383.0898,381.1162,371.1064,374.8636,,368.9357,,364.6832
