Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-11-10,100.7300,119.4600,95.2000,106.7500,103679500,RIVN,,100.7300,,100.7300,,100.7300,,100.7300
2021-11-11,122.9900,125.0000,108.0100,114.6250,83668200,RIVN,,102.8500,,101.6029,,101.1708,,100.9515
2021-11-12,129.9500,135.2000,125.2500,128.6450,50636800,RIVN,,105.4310,,102.7146,,101.7407,,101.2400
2021-11-15,149.3600,152.5300,127.5100,130.8000,64982300,RIVN,,109.6147,,104.5438,,102.6836,,101.7188
2021-11-16,172.0100,179.4700,153.7800,163.8000,94036600,RIVN,,115.5571,,107.1896,,104.0564,,102.4183
2021-11-17,146.0700,163.0000,140.3500,160.8800,71765600,RIVN,,118.4631,,108.7143,,104.8884,,102.8526
2021-11-18,123.3800,138.7800,120.1500,136.8100,63603600,RIVN,,118.9314,,109.2894,,105.2546,,103.0569
2021-11-19,128.6000,139.9000,125.6000,129.9800,49479400,RIVN,,119.8522,,110.0467,,105.7168,,103.3110
2021-11-22,118.1100,124.9300,106.9100,123.8800,40993900,RIVN,,119.6863,,110.3629,,105.9623,,103.4583
2021-11-23,119.8500,124.0000,113.0000,117.8300,24967900,RIVN,,119.7019,,110.7349,,106.2373,,103.6214
2021-11-24,114.8500,120.0000,113.4500,119.3800,11539200,RIVN,,119.2398,,110.8963,,106.4078,,103.7331
2021-11-26,112.1300,114.5000,106.1400,111.0000,9871200,RIVN,,118.5626,,110.9447,,106.5211,,103.8167
2021-11-29,119.7700,122.2500,113.6000,115.8500,13923900,RIVN,,118.6776,,111.2908,,106.7835,,103.9754
2021-11-30,119.7600,121.4900,114.1000,119.9000,20204900,RIVN,,118.7807,,111.6229,,107.0404,,104.1325
2021-12-01,115.6900,126.7500,113.1000,120.5400,13289700,RIVN,,118.4864,,111.7824,,107.2117,,104.2475
2021-12-02,110.7700,118.4500,107.7500,114.1700,10835500,RIVN,,117.7515,,111.7427,,107.2822,,104.3124
2021-12-03,104.6700,111.8700,100.0000,110.4900,13819200,RIVN,,116.5056,,111.4653,,107.2304,,104.3159
2021-12-06,116.7800,117.4800,100.3200,106.3600,19725400,RIVN,,116.5317,,111.6738,,107.4195,,104.4399
2021-12-07,116.1800,120.2100,112.4000,119.5200,12173300,RIVN,,116.4982,,111.8505,,107.5930,,104.5567
2021-12-08,122.1200,123.4000,112.8200,116.2200,12816000,RIVN,123.1885,117.0337,,112.2532,,107.8807,,104.7315
2021-12-09,115.4000,121.3200,114.4000,119.9500,8474800,RIVN,123.9220,116.8781,,112.3766,,108.0296,,104.8377
2021-12-10,114.6600,118.0100,110.8010,115.7100,8387500,RIVN,123.5055,116.6668,,112.4661,,108.1609,,104.9354
2021-12-13,118.9000,121.6400,113.9500,118.1400,14737500,RIVN,122.9530,116.8795,,112.7185,,108.3735,,105.0743
2021-12-14,117.1400,117.9000,112.7100,114.7700,8057700,RIVN,121.3420,116.9043,,112.8919,,108.5471,,105.1944
2021-12-15,115.0000,116.7390,109.2100,115.4700,10828600,RIVN,118.4915,116.7230,,112.9745,,108.6749,,105.2920
2021-12-16,108.8700,117.0000,107.0600,116.7600,13627600,RIVN,116.6315,115.9751,,112.8136,,108.6788,,105.3276
2021-12-17,97.7000,100.6000,92.6200,99.9200,44475000,RIVN,115.3475,114.2346,,112.2209,,108.4614,,105.2517
2021-12-20,89.9800,96.4000,88.4000,94.8000,16072700,RIVN,113.4165,111.9246,,111.3487,,108.0954,,105.0997
2021-12-21,96.8200,98.4200,92.0500,92.1900,12915100,RIVN,112.3520,110.4861,,110.7789,,107.8721,,105.0173
2021-12-22,96.3400,98.9000,93.3920,96.3880,8644100,RIVN,111.1765,109.1388,,110.2127,,107.6438,,104.9310
2021-12-23,96.8400,97.8220,93.8140,96.3510,5670100,RIVN,110.2760,107.9675,,109.6883,,107.4298,,104.8505
2021-12-27,107.0900,107.4900,96.8000,96.9000,15497000,RIVN,110.0240,107.8839,,109.5864,,107.4231,,104.8728
2021-12-28,102.8700,106.0000,101.0000,105.0400,8821300,RIVN,109.1790,107.4064,,109.3230,,107.3329,,104.8528
2021-12-29,99.3400,102.5800,96.6200,101.1900,8754900,RIVN,108.1580,106.6382,,108.9315,,107.1747,,104.7980
2021-12-30,103.4200,105.2900,98.6600,98.8520,10874700,RIVN,107.5445,106.3317,,108.7154,,107.1003,,104.7843
2021-12-31,103.6900,106.1200,102.2800,102.4400,5814900,RIVN,107.1905,106.0801,,108.5183,,107.0328,,104.7734
2022-01-03,102.7200,106.5500,100.2500,106.1400,8346800,RIVN,107.0930,105.7601,,108.2909,,106.9474,,104.7530
2022-01-04,101.3900,106.8000,99.0140,102.9900,12152200,RIVN,106.3235,105.3439,,108.0203,,106.8373,,104.7195
2022-01-05,90.0100,99.2150,89.2800,98.3200,18645100,RIVN,105.0150,103.8835,,107.3140,,106.5041,,104.5731
