Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-28,99.8818,100.6026,99.1788,100.4958,4546600,SBUX,,99.8818,,99.8818,,99.8818,,99.8818
2021-06-29,99.9085,100.2822,99.2499,99.7305,3789500,SBUX,,99.8843,,99.8828,,99.8823,,99.8820
2021-06-30,99.4991,100.1932,99.0186,99.9708,6759100,SBUX,,99.8476,,99.8678,,99.8747,,99.8782
2021-07-01,100.9230,100.9942,99.4991,99.6237,4810600,SBUX,,99.9500,,99.9092,,99.8955,,99.8886
2021-07-02,102.3112,102.6048,101.1899,101.4213,4722000,SBUX,,100.1749,,100.0034,,99.9433,,99.9127
2021-07-06,102.9875,103.0943,101.7327,102.4091,5294700,SBUX,,100.4428,,100.1204,,100.0036,,99.9433
2021-07-07,104.2423,104.8029,102.9163,103.1210,5382300,SBUX,,100.8046,,100.2820,,100.0875,,99.9861
2021-07-08,103.2188,103.9041,102.5514,102.7383,4486100,SBUX,,101.0346,,100.3972,,100.1495,,100.0183
2021-07-09,104.5359,104.7762,103.2278,103.2812,3533600,SBUX,,101.3680,,100.5595,,100.2364,,100.0632
2021-07-12,105.4169,105.7017,104.4647,104.7851,5683400,SBUX,,101.7536,,100.7500,,100.3390,,100.1165
2021-07-13,106.3869,106.7784,105.4080,105.4881,5529300,SBUX,,102.1949,,100.9710,,100.4587,,100.1789
2021-07-14,106.6094,107.5260,106.5026,106.7340,5701800,SBUX,,102.6153,,101.1921,,100.5805,,100.2429
2021-07-15,105.8708,106.4136,105.1677,106.1555,6467500,SBUX,,102.9254,,101.3756,,100.6853,,100.2989
2021-07-16,105.6572,107.2145,105.4525,106.5026,5024800,SBUX,,103.1855,,101.5435,,100.7837,,100.3522
2021-07-19,102.6226,104.6071,101.7416,104.5982,7731300,SBUX,,103.1319,,101.5858,,100.8202,,100.3748
2021-07-20,104.4914,105.0699,102.6315,102.8985,5117800,SBUX,,103.2614,,101.6998,,100.8929,,100.4157
2021-07-21,106.1377,106.4759,104.5448,104.5982,4377500,SBUX,,103.5353,,101.8738,,100.9967,,100.4727
2021-07-22,109.1278,109.3858,105.9597,106.2000,7172300,SBUX,,104.0679,,102.1583,,101.1577,,100.5588
2021-07-23,112.1000,112.4115,110.2757,110.8364,7934200,SBUX,,104.8329,,102.5482,,101.3744,,100.6736
2021-07-26,112.1801,112.2157,110.5694,111.8953,4827500,SBUX,104.7054,105.5326,,102.9259,,101.5884,,100.7881
2021-07-27,112.1534,112.2691,111.0677,112.1979,6110900,SBUX,105.3190,106.1632,,103.2878,,101.7976,,100.9012
2021-07-28,108.9320,109.7507,108.0243,109.0655,11747000,SBUX,105.7702,106.4269,,103.5091,,101.9389,,100.9811
2021-07-29,108.9053,109.8753,108.6917,109.3948,6618400,SBUX,106.2405,106.6629,,103.7207,,102.0768,,101.0600
2021-07-30,108.0599,109.4392,107.7662,108.7362,5712300,SBUX,106.5974,106.7960,,103.8909,,102.1953,,101.1296
