Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-16,15.3000,16.1900,15.2200,16.1000,14214600,SOFI,,15.3000,,15.3000,,15.3000,,15.3000
2021-07-19,15.1700,15.5300,14.8700,15.0000,14780900,SOFI,,15.2876,,15.2949,,15.2974,,15.2987
2021-07-20,15.0600,15.2900,14.9390,15.1800,11683000,SOFI,,15.2659,,15.2857,,15.2927,,15.2963
2021-07-21,16.5600,16.6500,15.1040,15.1400,27892400,SOFI,,15.3892,,15.3357,,15.3178,,15.3089
2021-07-22,16.0500,16.6000,15.7100,16.4900,18833300,SOFI,,15.4521,,15.3637,,15.3323,,15.3163
2021-07-23,15.7000,16.0490,15.4400,15.8900,10370000,SOFI,,15.4757,,15.3769,,15.3396,,15.3201
2021-07-26,15.5100,16.0900,15.4800,15.7600,8994900,SOFI,,15.4790,,15.3821,,15.3430,,15.3220
2021-07-27,14.9200,15.5000,14.7200,15.4900,16735400,SOFI,,15.4258,,15.3640,,15.3346,,15.3180
2021-07-28,15.3700,15.4790,15.0800,15.1200,10131600,SOFI,,15.4204,,15.3642,,15.3353,,15.3185
2021-07-29,15.6000,16.2400,15.5100,15.8750,12748300,SOFI,,15.4375,,15.3734,,15.3405,,15.3213
2021-07-30,15.4400,15.7900,15.3500,15.3550,6653700,SOFI,,15.4378,,15.3761,,15.3425,,15.3225
2021-08-02,15.7300,16.3200,15.4100,15.5800,15097600,SOFI,,15.4656,,15.3899,,15.3502,,15.3265
2021-08-03,15.1100,16.0490,15.0100,15.7700,16166800,SOFI,,15.4317,,15.3790,,15.3454,,15.3244
2021-08-04,16.3900,16.5800,15.2000,15.2300,25718500,SOFI,,15.5230,,15.4186,,15.3661,,15.3350
2021-08-05,16.0600,16.7300,15.8800,16.6050,14501500,SOFI,,15.5741,,15.4438,,15.3799,,15.3422
2021-08-06,16.7100,16.9400,16.0600,16.0600,13993700,SOFI,,15.6823,,15.4934,,15.4062,,15.3558
2021-08-09,16.9100,17.3200,16.5600,16.9900,15571300,SOFI,,15.7992,,15.5490,,15.4360,,15.3713
2021-08-10,16.9900,17.2700,16.5600,17.0200,12830200,SOFI,,15.9126,,15.6055,,15.4667,,15.3874
2021-08-11,16.9000,17.2700,16.5150,17.1600,17104700,SOFI,,16.0067,,15.6562,,15.4951,,15.4024
2021-08-12,17.4600,17.5200,16.7400,16.9700,35861400,SOFI,15.9470,16.1451,,15.7270,,15.5340,,15.4229
2021-08-13,14.9900,15.5300,14.9100,15.3500,59983500,SOFI,15.9315,16.0351,,15.6981,,15.5233,,15.4186
2021-08-16,14.2900,15.1400,14.1800,15.0050,26155000,SOFI,15.8875,15.8689,,15.6429,,15.4988,,15.4074
2021-08-17,13.7500,14.7000,13.5600,14.0800,31925000,SOFI,15.8220,15.6671,,15.5686,,15.4642,,15.3909
2021-08-18,14.2200,14.5800,13.8500,13.9800,20754500,SOFI,15.7050,15.5293,,15.5157,,15.4396,,15.3792
2021-08-19,13.8200,14.1200,13.7700,13.9900,15576700,SOFI,15.5935,15.3665,,15.4492,,15.4075,,15.3637
2021-08-20,14.0400,14.2700,13.9000,13.9800,17618000,SOFI,15.5105,15.2402,,15.3940,,15.3804,,15.3505
2021-08-23,14.4300,14.5000,14.2200,14.2650,13277100,SOFI,15.4565,15.1630,,15.3562,,15.3616,,15.3414
2021-08-24,14.7600,14.9300,14.4700,14.4800,13649900,SOFI,15.4485,15.1246,,15.3328,,15.3497,,15.3356
2021-08-25,14.8500,15.0800,14.5100,14.8000,13785300,SOFI,15.4225,15.0985,,15.3139,,15.3398,,15.3308
2021-08-26,14.3600,14.7900,14.2000,14.7630,16743800,SOFI,15.3605,15.0281,,15.2765,,15.3204,,15.3211
2021-08-27,14.0400,14.4100,14.0400,14.3100,19756400,SOFI,15.2905,14.9340,,15.2280,,15.2950,,15.3084
2021-08-30,14.1900,14.3800,14.0110,14.1790,15445700,SOFI,15.2135,14.8632,,15.1873,,15.2732,,15.2972
2021-08-31,14.1800,14.2500,13.9700,14.1800,14530700,SOFI,15.1670,14.7981,,15.1478,,15.2515,,15.2861
2021-09-01,14.5700,14.6900,14.1100,14.1430,16856500,SOFI,15.0760,14.7764,,15.1251,,15.2380,,15.2790
2021-09-02,15.0600,15.2000,14.4000,14.6000,19534100,SOFI,15.0260,14.8034,,15.1226,,15.2345,,15.2768
2021-09-03,15.1600,15.5300,14.9200,15.0200,18793200,SOFI,14.9485,14.8374,,15.1240,,15.2330,,15.2756
2021-09-07,15.8400,16.1300,15.4600,15.5000,21664600,SOFI,14.8950,14.9328,,15.1521,,15.2450,,15.2813
2021-09-08,15.4700,16.0060,15.1350,15.8100,15621400,SOFI,14.8190,14.9840,,15.1646,,15.2495,,15.2831
2021-09-09,15.6900,15.8400,15.2600,15.3100,18395800,SOFI,14.7585,15.0512,,15.1852,,15.2582,,15.2872
2021-09-10,15.2900,15.9100,15.2300,15.7700,17029500,SOFI,14.6500,15.0740,,15.1893,,15.2588,,15.2872
2021-09-13,15.0100,15.3900,14.6700,15.3300,20253100,SOFI,14.6510,15.0679,,15.1823,,15.2539,,15.2845
2021-09-14,14.5000,15.3300,14.3800,15.0220,24475700,SOFI,14.6615,15.0138,,15.1555,,15.2390,,15.2767
2021-09-15,15.4500,15.5000,14.6310,14.8400,34832000,SOFI,14.7465,15.0553,,15.1670,,15.2432,,15.2784
2021-09-16,15.5000,15.6600,15.2300,15.4710,24121300,SOFI,14.8105,15.0977,,15.1801,,15.2482,,15.2806
2021-09-17,15.0900,15.5800,15.0600,15.5200,55126300,SOFI,14.8740,15.0970,,15.1766,,15.2451,,15.2787
2021-09-20,14.5700,14.9100,14.4200,14.5800,27954600,SOFI,14.9005,15.0468,,15.1528,,15.2317,,15.2716
2021-09-21,15.1700,15.2800,14.5600,14.6200,23601500,SOFI,14.9375,15.0585,,15.1535,,15.2305,,15.2706
2021-09-22,16.8400,17.0850,15.6100,15.8600,55383300,SOFI,15.0415,15.2282,,15.2196,,15.2624,,15.2862
2021-09-23,17.1400,17.3500,16.6700,17.2000,29369500,SOFI,15.1560,15.4103,,15.2949,,15.2996,,15.3047
2021-09-24,17.6400,17.7900,16.6200,16.8600,22923000,SOFI,15.3200,15.6226,15.3770,15.3869,,15.3459,,15.3279
2021-09-27,17.7000,18.0800,16.8500,17.6600,35517600,SOFI,15.5030,15.8205,15.4250,15.4776,,15.3925,,15.3515
2021-09-28,17.0400,17.6700,16.7950,17.4000,25569500,SOFI,15.6455,15.9366,15.4624,15.5389,,15.4252,,15.3683
2021-09-29,16.0100,17.1700,16.0100,16.3500,38323200,SOFI,15.7370,15.9436,15.4814,15.5573,,15.4367,,15.3747
2021-09-30,15.8800,16.0600,15.3000,15.9000,38688800,SOFI,15.8025,15.9375,15.4678,15.5700,,15.4455,,15.3797
2021-10-01,16.4500,16.4900,15.7500,15.8800,18850300,SOFI,15.8720,15.9863,15.4758,15.6045,,15.4654,,15.3904
2021-10-04,16.0900,16.6800,15.8800,16.2900,21849700,SOFI,15.9185,15.9962,15.4836,15.6235,,15.4778,,15.3974
2021-10-05,16.2500,16.7600,16.0800,16.1450,13941200,SOFI,15.9390,16.0204,15.4984,15.6481,,15.4931,,15.4058
2021-10-06,16.6200,16.6400,15.9200,16.0000,11896400,SOFI,15.9965,16.0775,15.5324,15.6862,,15.5154,,15.4179
2021-10-07,16.4000,17.0900,16.3400,16.9370,15267800,SOFI,16.0320,16.1082,15.5530,15.7142,,15.5329,,15.4277
2021-10-08,16.2100,16.6500,16.1700,16.5270,11054400,SOFI,16.0780,16.1179,15.5652,15.7336,,15.5463,,15.4355
2021-10-11,18.3900,18.5100,16.8300,16.9000,69669600,SOFI,16.2470,16.3343,15.6242,15.8378,,15.6026,,15.4649
2021-10-12,18.9700,19.0200,17.8400,18.1700,47239700,SOFI,16.4705,16.5853,15.6890,15.9607,,15.6693,,15.4997
2021-10-13,18.9200,19.3100,18.4900,19.0000,31335900,SOFI,16.6440,16.8077,15.7652,16.0767,,15.7337,,15.5338
2021-10-14,19.6200,19.8100,18.9450,19.8000,33917700,SOFI,16.8500,17.0755,15.8298,16.2157,,15.8106,,15.5744
2021-10-15,19.3800,19.8600,19.3200,19.5600,22190300,SOFI,17.0645,17.2950,15.8962,16.3397,,15.8813,,15.6123
2021-10-18,20.8500,21.0000,19.1200,19.1800,48421800,SOFI,17.3785,17.6336,15.9790,16.5166,,15.9797,,15.6644
2021-10-19,20.2200,21.0800,20.1850,21.0400,26292200,SOFI,17.6310,17.8799,16.0452,16.6619,,16.0637,,15.7098
2021-10-20,21.0500,21.1900,19.8700,20.3650,25757100,SOFI,17.8415,18.1818,16.1264,16.8339,,16.1624,,15.7629
2021-10-21,20.9900,21.7750,20.7650,20.8900,24771700,SOFI,18.0340,18.4492,16.2082,16.9969,,16.2580,,15.8149
2021-10-22,20.5800,21.0600,20.2000,20.8600,18994500,SOFI,18.1810,18.6522,16.2706,17.1374,,16.3436,,15.8623
2021-10-25,20.6900,21.0800,20.1000,20.6200,15053100,SOFI,18.3305,18.8463,16.3846,17.2767,,16.4297,,15.9103
2021-10-26,19.9600,20.9700,19.4600,20.9450,26725500,SOFI,18.4765,18.9523,16.4980,17.3820,,16.4996,,15.9506
2021-10-27,19.2500,20.4800,19.1400,20.0000,17585700,SOFI,18.6385,18.9807,16.6080,17.4552,,16.5540,,15.9835
2021-10-28,19.9100,20.2000,19.4800,19.5550,15070700,SOFI,18.8400,19.0692,16.7218,17.5515,,16.6205,,16.0225
2021-10-29,20.0900,20.1600,19.6900,19.8000,11538000,SOFI,19.0220,19.1664,16.8472,17.6510,,16.6892,,16.0630
2021-11-01,22.6200,22.8100,20.2800,20.5300,52780200,SOFI,19.3485,19.4953,17.0188,17.8459,,16.8066,,16.1283
2021-11-02,22.6800,22.9300,21.6000,22.6700,35482300,SOFI,19.6700,19.7986,17.1838,18.0355,,16.9229,,16.1935
2021-11-03,22.9600,23.6300,22.4400,22.6700,26468800,SOFI,19.9870,20.0997,17.3478,18.2286,,17.0425,,16.2608
2021-11-04,23.2900,23.5500,22.8300,23.1800,18496800,SOFI,20.3315,20.4035,17.5166,18.4271,,17.1662,,16.3307
2021-11-05,22.5700,23.2190,22.2400,22.8900,19635300,SOFI,20.6495,20.6099,17.6808,18.5895,,17.2732,,16.3928
2021-11-08,22.7400,23.0700,22.4450,22.6300,16884900,SOFI,20.8670,20.8127,17.8548,18.7523,,17.3814,,16.4560
2021-11-09,22.1400,23.2500,21.6100,23.1400,24573000,SOFI,21.0255,20.9391,18.0138,18.8852,,17.4757,,16.5125
2021-11-10,20.4200,21.8500,19.8500,21.1400,46108800,SOFI,21.1005,20.8897,18.1386,18.9454,,17.5340,,16.5514
2021-11-11,22.9700,24.6500,22.6000,23.9900,72680100,SOFI,21.2680,21.0878,18.3066,19.1032,,17.6416,,16.6153
2021-11-12,22.7600,23.6000,22.1700,23.1700,29275500,SOFI,21.4370,21.2471,18.4606,19.2466,,17.7430,,16.6764
2021-11-15,22.9200,24.1200,22.7500,22.9750,30384300,SOFI,21.5405,21.4064,18.6158,19.3906,,17.8455,,16.7385
2021-11-16,21.6700,22.6300,21.4200,22.6000,41386800,SOFI,21.6130,21.4315,18.7324,19.4800,,17.9212,,16.7876
2021-11-17,21.1200,22.0400,21.0250,21.8500,18998300,SOFI,21.6165,21.4018,18.8454,19.5443,,17.9846,,16.8307
2021-11-18,20.5700,21.3200,20.2000,21.2000,25447500,SOFI,21.5955,21.3226,18.9430,19.5846,,18.0358,,16.8679
2021-11-19,20.3700,21.1000,19.9400,20.1100,25321200,SOFI,21.5850,21.2319,19.0446,19.6154,,18.0820,,16.9028
2021-11-22,18.7500,20.6000,18.3200,20.5200,39766000,SOFI,21.4880,20.9955,19.1194,19.5814,,18.0952,,16.9211
2021-11-23,17.8100,18.6550,17.3800,18.5340,31341700,SOFI,21.3805,20.6921,19.1856,19.5120,,18.0896,,16.9300
2021-11-24,18.3300,18.5800,17.3510,17.4500,28778600,SOFI,21.3345,20.4672,19.2432,19.4656,,18.0943,,16.9439
2021-11-26,18.2100,18.3200,17.8000,17.8750,13253100,SOFI,21.2495,20.2522,19.2974,19.4164,,18.0966,,16.9565
2021-11-29,18.4300,18.6900,17.8700,18.5800,23366900,SOFI,21.1665,20.0787,19.3642,19.3777,,18.1032,,16.9712
2021-11-30,17.2000,18.5400,17.1300,18.2500,67190100,SOFI,20.8955,19.8045,19.4168,19.2923,,18.0853,,16.9735
2021-12-01,16.3900,17.9100,16.2300,17.4120,34471500,SOFI,20.5810,19.4793,19.4412,19.1785,,18.0518,,16.9676
2021-12-02,16.4300,16.6250,15.9600,16.4100,27033800,SOFI,20.2545,19.1889,19.4330,19.0707,,18.0196,,16.9623
2021-12-03,15.1900,16.4400,14.6200,16.4300,64350700,SOFI,19.8495,18.8081,19.3940,18.9185,,17.9636,,16.9447
2021-12-06,15.7200,15.8400,14.5000,15.0600,34134800,SOFI,19.5070,18.5140,19.3556,18.7931,17.3663,17.9192,,16.9325
2021-12-07,16.6200,16.7200,16.1200,16.1400,30846600,SOFI,19.2010,18.3336,19.3340,18.7079,17.3795,17.8935,,16.9294
2021-12-08,16.9400,17.1650,16.2500,16.7900,25262600,SOFI,18.9410,18.2009,19.3320,18.6385,17.3972,17.8746,,16.9295
2021-12-09,15.6600,16.9100,15.5500,16.6600,32398900,SOFI,18.7030,17.9589,19.3250,18.5217,17.4032,17.8307,,16.9168
2021-12-10,15.0100,15.8700,14.8700,15.7900,41344200,SOFI,18.3050,17.6780,19.3076,18.3840,17.3877,17.7749,,16.8979
2021-12-13,14.5800,15.2500,14.0200,14.8900,40507500,SOFI,17.8960,17.3830,19.2702,18.2348,17.3730,17.7116,,16.8748
2021-12-14,14.4800,14.7200,14.1600,14.2700,26707800,SOFI,17.4740,17.1065,19.2380,18.0876,17.3608,17.6476,,16.8510
2021-12-15,15.1600,15.2800,14.0300,14.4400,33540400,SOFI,17.1485,16.9211,19.2162,17.9728,17.3573,17.5984,,16.8342
2021-12-16,14.2700,15.4400,14.1800,15.3560,43018000,SOFI,16.8060,16.6686,19.1692,17.8276,17.3508,17.5324,,16.8086
2021-12-17,14.6500,14.7700,13.6600,14.0800,44408700,SOFI,16.5100,16.4764,19.1342,17.7030,17.3436,17.4754,,16.7872
2021-12-20,14.5900,15.2100,14.2800,14.4800,31658600,SOFI,16.2210,16.2967,19.1018,17.5809,17.3335,17.4182,,16.7653
2021-12-21,14.9700,15.1700,14.7200,14.8700,27695600,SOFI,16.0320,16.1704,19.0334,17.4785,17.3288,17.3698,,16.7474
2021-12-22,14.9900,15.3700,14.7300,14.8600,24332100,SOFI,15.8910,16.0580,18.9538,17.3809,17.3214,17.3226,,16.7299
2021-12-23,15.0900,15.1900,14.7300,14.9810,19824000,SOFI,15.7290,15.9658,18.8772,17.2911,17.3212,17.2784,,16.7136
2021-12-27,15.3900,15.4900,14.8500,15.1100,19826700,SOFI,15.5880,15.9109,18.7926,17.2165,17.3112,17.2410,,16.7005
2021-12-28,14.8500,15.4900,14.6700,15.2800,24049700,SOFI,15.4090,15.8099,18.7020,17.1237,17.2991,17.1937,,16.6820
2021-12-29,14.4700,14.8330,14.1800,14.8310,20899600,SOFI,15.2725,15.6823,18.5744,17.0196,17.2767,17.1397,,16.6600
