Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-22,409.5316,411.5612,405.6875,407.8387,102350100,SPY,,409.5316,,409.5316,,409.5316,,409.5316
2021-09-23,414.5073,416.1067,411.1590,411.3928,76396000,SPY,,410.0054,,409.7267,,409.6301,,409.5811
2021-09-24,415.1901,415.9009,412.6648,412.8799,62094800,SPY,,410.4992,,409.9409,,409.7402,,409.6369
2021-09-27,414.0023,415.3210,413.3101,414.1613,61371100,SPY,,410.8328,,410.1002,,409.8246,,409.6803
2021-09-28,405.6594,411.5705,404.9298,411.2431,130436300,SPY,,410.3401,,409.9261,,409.7421,,409.6403
2021-09-29,406.3421,408.7646,405.7809,407.0342,82329200,SPY,,409.9594,,409.7855,,409.6748,,409.6075
2021-09-30,401.3757,408.5120,401.0390,407.8106,140506000,SPY,,409.1419,,409.4557,,409.5104,,409.5256
2021-10-01,406.1457,407.8199,399.5892,403.0966,129240100,SPY,,408.8565,,409.3259,,409.4438,,409.4919
2021-10-04,400.9080,405.8838,398.7755,404.9859,128570000,SPY,,408.0995,,408.9958,,409.2748,,409.4065
2021-10-05,405.0795,407.3148,401.6095,402.4045,90682500,SPY,,407.8119,,408.8422,,409.1917,,409.3635
2021-10-06,406.7630,406.9688,399.8792,401.4972,113032200,SPY,,407.7120,,408.7607,,409.1436,,409.3376
2021-10-07,410.2798,413.1044,409.8495,410.0272,72437500,SPY,,407.9566,,408.8202,,409.1661,,409.3470
2021-10-08,409.5316,411.4302,408.9049,411.0468,74557400,SPY,,408.1066,,408.8481,,409.1733,,409.3488
2021-10-11,406.5667,411.7763,406.5012,408.8768,65233300,SPY,,407.9599,,408.7587,,409.1217,,409.3211
2021-10-12,405.5659,407.8854,404.7802,407.4833,71181200,SPY,,407.7319,,408.6335,,409.0513,,409.2838
2021-10-13,407.0250,407.8387,403.6205,406.5854,72974000,SPY,,407.6646,,408.5704,,409.0112,,409.2613
2021-10-14,413.8713,414.0210,410.2049,410.6726,70236800,SPY,,408.2557,,408.7783,,409.1074,,409.3072
2021-10-15,417.0233,417.3880,415.3584,415.9757,66260200,SPY,,409.0907,,409.1016,,409.2642,,409.3839
2021-10-18,418.2580,418.5947,414.5916,415.2463,62213200,SPY,,409.9638,,409.4607,,409.4423,,409.4722
2021-10-19,421.4847,421.5501,419.2680,419.8760,46996800,SPY,409.7555,411.0610,,409.9322,,409.6807,,409.5918
2021-10-20,423.1402,423.4395,421.8307,421.9430,49571600,SPY,410.4360,412.2114,,410.4502,,409.9473,,409.7266
2021-10-21,424.2438,424.4683,422.1113,422.5415,41305400,SPY,410.9228,413.3573,,410.9911,,410.2304,,409.8710
2021-10-22,423.8043,425.2540,421.8682,423.8137,58845100,SPY,411.3535,414.3523,,411.4936,,410.4992,,410.0097
