Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-07,117.9355,120.3598,117.8472,119.8985,1289400,TER,,117.9355,,117.9355,,117.9355,,117.9355
2021-09-08,116.6302,118.1613,116.3063,117.7785,1271000,TER,,117.8112,,117.8844,,117.9097,,117.9226
2021-09-09,116.9638,118.4164,115.9333,116.5811,764400,TER,,117.7305,,117.8483,,117.8910,,117.9130
2021-09-10,118.7305,121.8811,117.9552,117.9552,1318800,TER,,117.8258,,117.8829,,117.9076,,117.9212
2021-09-13,120.0555,120.7524,117.8963,119.6826,990300,TER,,118.0381,,117.9681,,117.9501,,117.9424
2021-09-14,120.0555,120.9487,118.7011,120.5463,1197000,TER,,118.2303,,118.0499,,117.9918,,117.9634
2021-09-15,119.9672,120.2420,118.4165,120.1537,966000,TER,,118.3957,,118.1251,,118.0309,,117.9834
2021-09-16,120.8604,121.5376,118.0827,119.2802,854400,TER,,118.6304,,118.2324,,118.0870,,118.0120
2021-09-17,119.1035,120.6444,117.2092,120.0163,2418000,TER,,118.6755,,118.2665,,118.1071,,118.0228
2021-09-20,114.3237,116.1492,112.5472,116.1492,1809900,TER,,118.2610,,118.1119,,118.0322,,117.9860
2021-09-21,113.8329,115.5112,113.4305,115.5014,1823400,TER,,117.8393,,117.9441,,117.9490,,117.9447
2021-09-22,116.1198,116.3357,114.0096,114.8046,2282600,TER,,117.6755,,117.8726,,117.9128,,117.9266
2021-09-23,117.5233,118.6618,116.4339,116.9246,2490700,TER,,117.6610,,117.8589,,117.9051,,117.9225
2021-09-24,117.1209,117.8766,116.2375,116.6694,1137200,TER,,117.6096,,117.8299,,117.8896,,117.9146
2021-09-27,115.3640,116.9344,114.9420,116.1590,2108100,TER,,117.3957,,117.7332,,117.8395,,117.8892
2021-09-28,109.4064,113.4109,108.2679,113.1361,2404900,TER,,116.6348,,117.4067,,117.6726,,117.8048
2021-09-29,107.1490,110.5646,107.0705,110.2112,1556000,TER,,115.7314,,117.0044,,117.4642,,117.6988
2021-09-30,107.1490,109.4653,107.0803,107.9636,1494400,TER,,114.9140,,116.6179,,117.2599,,117.5938
2021-10-01,107.4434,107.9538,105.9810,107.6692,1354300,TER,,114.2026,,116.2582,,117.0655,,117.4928
