Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-05-24,202.1467,204.8267,191.2167,193.8667,103674300,TSLA,,202.1467,,202.1467,,202.1467,,202.1467
2021-05-25,201.5633,204.6633,198.5700,202.4367,84017700,TSLA,,202.0911,,202.1238,,202.1351,,202.1409
2021-05-26,206.3767,208.7233,200.5000,202.5200,85917900,TSLA,,202.4993,,202.2906,,202.2191,,202.1830
2021-05-27,210.2833,210.3767,205.4033,206.7467,79111800,TSLA,,203.2406,,202.6040,,202.3788,,202.2636
2021-05-28,208.4067,211.8633,207.4600,209.5000,68211000,TSLA,,203.7326,,202.8316,,202.4982,,202.3247
2021-06-01,207.9667,211.2667,206.8500,209.2667,54254700,TSLA,,204.1358,,203.0329,,202.6064,,202.3809
2021-06-02,201.7067,207.7867,199.7133,206.7100,69908400,TSLA,,203.9045,,202.9809,,202.5886,,202.3742
2021-06-03,190.9467,201.5167,190.4067,200.6000,90335700,TSLA,,202.6704,,202.5090,,202.3581,,202.2605
2021-06-04,199.6833,200.2033,192.4000,193.2367,72110700,TSLA,,202.3859,,202.3982,,202.3051,,202.2348
2021-06-07,201.7100,203.3333,194.2933,197.2767,67631100,TSLA,,202.3216,,202.3712,,202.2933,,202.2296
2021-06-08,201.1967,207.6967,198.5000,207.6700,78160200,TSLA,,202.2144,,202.3251,,202.2716,,202.2193
2021-06-09,199.5933,203.9300,199.2100,200.7233,49753800,TSLA,,201.9648,,202.2180,,202.2186,,202.1932
2021-06-10,203.3733,205.5300,200.1667,201.2933,71758800,TSLA,,202.0989,,202.2633,,202.2415,,202.2049
2021-06-11,203.2967,204.1867,200.5067,203.4100,48615900,TSLA,,202.2130,,202.3038,,202.2624,,202.2158
2021-06-14,205.8967,208.4967,203.0600,204.0767,61272000,TSLA,,202.5638,,202.4447,,202.3343,,202.2524
2021-06-15,199.7867,205.5967,199.4100,205.5633,53292300,TSLA,,202.2993,,202.3405,,202.2839,,202.2279
2021-06-16,201.6233,202.8333,197.8333,199.1800,66432300,TSLA,,202.2350,,202.3124,,202.2708,,202.2219
2021-06-17,205.5333,207.1567,200.4467,200.6300,68104200,TSLA,,202.5491,,202.4387,,202.3354,,202.2548
2021-06-18,207.7700,209.4500,203.9333,204.4567,73682700,TSLA,,203.0463,,202.6478,,202.4430,,202.3097
2021-06-21,206.9433,210.4633,202.9600,208.1600,74438100,TSLA,203.2902,203.4175,,202.8162,,202.5321,,202.3558
2021-06-22,207.9033,209.5233,205.1667,206.0833,57476700,TSLA,203.5780,203.8447,,203.0157,,202.6385,,202.4110
