Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-07,57.3000,57.9700,57.0200,57.3400,8915000,UAL,,57.3000,,57.3000,,57.3000,,57.3000
2021-06-08,57.7300,58.1200,56.8300,57.9000,10778000,UAL,,57.3410,,57.3169,,57.3085,,57.3043
2021-06-09,57.2300,58.0100,57.1700,57.9900,8151500,UAL,,57.3304,,57.3135,,57.3070,,57.3035
2021-06-10,56.2600,58.0700,55.9300,57.6000,11664000,UAL,,57.2284,,57.2721,,57.2862,,57.2932
2021-06-11,56.5200,56.8300,56.1000,56.1600,9780500,UAL,,57.1610,,57.2426,,57.2711,,57.2855
2021-06-14,55.7400,57.0000,55.5400,56.6300,8248500,UAL,,57.0256,,57.1837,,57.2407,,57.2701
2021-06-15,55.2900,56.0200,54.9200,55.7400,7542000,UAL,,56.8603,,57.1095,,57.2021,,57.2504
2021-06-16,55.6000,56.1000,54.9800,55.1800,9952000,UAL,,56.7403,,57.0503,,57.1704,,57.2340
2021-06-17,54.2400,56.4100,53.4800,55.7700,12509900,UAL,,56.5022,,56.9401,,57.1124,,57.2042
2021-06-18,54.9200,55.3800,53.5400,53.8700,12490700,UAL,,56.3515,,56.8608,,57.0689,,57.1814
2021-06-21,55.6900,55.8800,54.5500,55.2400,10891600,UAL,,56.2885,,56.8149,,57.0416,,57.1666
2021-06-22,55.1700,55.5700,54.1000,55.4900,9819700,UAL,,56.1820,,56.7504,,57.0046,,57.1467
2021-06-23,55.1200,55.4900,54.9000,55.1300,9957500,UAL,,56.0808,,56.6865,,56.9673,,57.1266
2021-06-24,54.3400,55.3900,53.9600,55.1100,11548600,UAL,,55.9150,,56.5945,,56.9152,,57.0988
2021-06-25,53.8800,54.5700,53.7200,54.5200,12256400,UAL,,55.7212,,56.4880,,56.8551,,57.0668
2021-06-28,52.4900,53.5100,51.6700,53.5000,19098800,UAL,,55.4135,,56.3312,,56.7687,,57.0213
2021-06-29,52.1500,53.0800,52.0300,52.6600,12598300,UAL,,55.1027,,56.1673,,56.6772,,56.9728
2021-06-30,52.2900,52.9600,51.8700,52.2700,9244500,UAL,,54.8348,,56.0152,,56.5904,,56.9262
2021-07-01,53.0800,53.7600,52.6900,52.7900,8577600,UAL,,54.6677,,55.9001,,56.5208,,56.8879
2021-07-02,52.7700,53.1700,52.0900,53.1700,9205500,UAL,54.8905,54.4870,,55.7774,,56.4466,,56.8470
2021-07-06,51.4400,53.2100,51.0200,52.6800,10652300,UAL,54.5975,54.1968,,55.6073,,56.3474,,56.7932
2021-07-07,50.3000,51.8700,49.7800,51.0400,12719100,UAL,54.2260,53.8256,,55.3991,,56.2277,,56.7286
2021-07-08,49.6600,50.5200,48.5700,49.0800,13207800,UAL,53.8475,53.4289,,55.1741,,56.0976,,56.6582
2021-07-09,51.1000,51.3200,49.9700,50.3300,9914700,UAL,53.5895,53.2071,,55.0143,,55.9987,,56.6029
2021-07-12,50.6200,51.0200,49.4400,50.3300,11567200,UAL,53.2945,52.9607,,54.8420,,55.8922,,56.5434
2021-07-13,48.5000,50.0400,48.3800,49.7600,14287200,UAL,52.9325,52.5359,,54.5933,,55.7458,,56.4633
2021-07-14,48.1600,49.9600,47.8700,49.0400,14949300,UAL,52.5760,52.1191,,54.3410,,55.5956,,56.3807
2021-07-15,47.7100,48.6300,46.9600,47.9000,12331800,UAL,52.1815,51.6992,,54.0809,,55.4394,,56.2945
2021-07-16,46.0100,48.4800,45.8300,48.4500,13760700,UAL,51.7700,51.1574,,53.7644,,55.2527,,56.1921
2021-07-19,43.4600,44.6500,42.5600,43.7000,26444000,UAL,51.1970,50.4243,,53.3603,,55.0192,,56.0654
2021-07-20,46.3200,46.4600,43.0700,43.5500,21894000,UAL,50.7285,50.0334,,53.0843,,54.8469,,55.9685
2021-07-21,48.1000,48.9400,46.9900,47.1200,23048300,UAL,50.3750,49.8493,,52.8888,,54.7133,,55.8902
2021-07-22,47.9500,48.7000,46.8000,47.6900,12922300,UAL,50.0165,49.6684,,52.6951,,54.5794,,55.8112
2021-07-23,47.5300,48.4800,47.1600,48.1400,9491300,UAL,49.6760,49.4647,,52.4926,,54.4398,,55.7288
2021-07-26,49.4600,49.5300,47.4000,47.5000,10775300,UAL,49.4550,49.4643,,52.3736,,54.3412,,55.6664
2021-07-27,48.6500,49.5700,48.0900,49.1100,10559900,UAL,49.2630,49.3867,,52.2276,,54.2285,,55.5966
2021-07-28,49.1400,49.5100,48.0400,49.0800,9772500,UAL,49.1125,49.3632,,52.1065,,54.1277,,55.5323
2021-07-29,48.4900,49.6000,48.4600,49.5800,7643600,UAL,48.9225,49.2801,,51.9647,,54.0161,,55.4623
2021-07-30,46.7200,48.2300,46.4900,47.6900,12123500,UAL,48.6045,49.0363,,51.7590,,53.8716,,55.3753
2021-08-02,46.0700,48.2300,45.9500,46.8500,10995900,UAL,48.2695,48.7538,,51.5359,,53.7171,,55.2827
2021-08-03,46.5400,46.5700,44.6100,46.1200,12597000,UAL,48.0245,48.5429,,51.3400,,53.5750,,55.1957
2021-08-04,45.2800,46.6500,44.9000,45.5200,12205000,UAL,47.7735,48.2322,,51.1024,,53.4107,,55.0970
2021-08-05,47.2400,47.6700,45.3800,45.5200,12644600,UAL,47.6525,48.1377,,50.9509,,53.2885,,55.0188
2021-08-06,47.6200,48.1300,46.5800,47.7200,9919300,UAL,47.4785,48.0884,,50.8203,,53.1763,,54.9452
2021-08-09,46.4500,47.0000,45.5300,46.9900,13064800,UAL,47.2700,47.9323,,50.6489,,53.0431,,54.8607
2021-08-10,47.6800,48.2400,46.1700,46.3700,12551700,UAL,47.2290,47.9083,,50.5325,,52.9369,,54.7892
2021-08-11,48.2100,48.4100,46.4600,47.1400,12779300,UAL,47.2315,47.9370,,50.4414,,52.8433,,54.7238
2021-08-12,47.2400,48.0100,46.5500,47.9100,9307300,UAL,47.2080,47.8707,,50.3158,,52.7323,,54.6493
2021-08-13,46.4900,47.3800,46.2700,47.0800,7572400,UAL,47.2320,47.7392,,50.1658,,52.6087,,54.5681
2021-08-16,46.3000,46.5500,45.1600,45.6200,8402500,UAL,47.3740,47.6021,50.6450,50.0142,,52.4838,,54.4859
2021-08-17,45.2900,45.8000,44.5200,45.4400,9745500,UAL,47.3225,47.3819,50.4048,49.8289,,52.3414,,54.3944
2021-08-18,45.0400,45.9900,44.7100,45.1200,9460700,UAL,47.1695,47.1589,50.1510,49.6411,,52.1968,,54.3013
2021-08-19,43.9300,44.9000,43.1700,44.7700,12360700,UAL,46.9685,46.8514,49.8850,49.4172,,52.0331,,54.1981
2021-08-20,44.0300,44.3200,43.4800,43.7900,9867000,UAL,46.7935,46.5827,49.6404,49.2059,,51.8746,,54.0969
2021-08-23,45.5300,45.6300,44.3200,44.6400,8269200,UAL,46.5970,46.4824,49.4206,49.0618,,51.7490,,54.0117
2021-08-24,47.1200,47.5600,46.2800,46.3400,10048000,UAL,46.5205,46.5431,49.2482,48.9856,,51.6573,,53.9431
2021-08-25,47.5900,47.9400,46.5400,47.3000,9772300,UAL,46.4430,46.6428,49.0942,48.9309,,51.5768,,53.8799
2021-08-26,47.0100,48.0200,46.4000,47.3000,8604000,UAL,46.3690,46.6778,48.9224,48.8556,,51.4863,,53.8115
2021-08-27,47.7100,48.2200,47.0300,47.1700,6824300,UAL,46.4185,46.7761,48.7918,48.8106,,51.4116,,53.7508
2021-08-30,45.9100,48.0100,45.7100,48.0100,11376100,UAL,46.4105,46.6936,48.6116,48.6969,,51.3026,,53.6728
2021-08-31,46.5100,46.8300,45.6100,45.7300,8884200,UAL,46.4090,46.6761,48.4280,48.6111,,51.2077,,53.6015
2021-09-01,46.1900,46.9300,45.9500,46.7500,8608000,UAL,46.4545,46.6298,48.2484,48.5162,,51.1083,,53.5278
2021-09-02,46.7600,47.4900,45.8700,46.2800,9780100,UAL,46.4305,46.6422,48.0812,48.4473,,51.0222,,53.4604
2021-09-03,46.2200,47.3600,45.9200,46.6000,7705300,UAL,46.3605,46.6020,47.9188,48.3600,,50.9271,,53.3884
2021-09-07,46.5700,46.7800,45.6800,46.0200,7802500,UAL,46.3665,46.5990,47.7726,48.2898,,50.8409,,53.3205
2021-09-08,45.5300,47.1900,45.4200,46.7000,9053400,UAL,46.2590,46.4972,47.6334,48.1815,,50.7357,,53.2430
2021-09-09,46.5800,47.7400,45.0700,45.2400,12872300,UAL,46.1775,46.5050,47.5220,48.1187,,50.6534,,53.1767
2021-09-10,44.3400,46.8200,44.1800,46.8200,17498600,UAL,46.0325,46.2989,47.3630,47.9705,,50.5284,,53.0888
2021-09-13,44.8400,45.1800,43.5700,44.7300,14173600,UAL,45.9500,46.1599,47.1982,47.8478,,50.4158,,53.0067
2021-09-14,43.8700,44.9300,43.5800,44.6300,10762800,UAL,45.8285,45.9418,47.0202,47.6918,,50.2861,,52.9158
