Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-16,41.5000,41.7900,40.8600,41.7600,19223500,UBER,,41.5000,,41.5000,,41.5000,,41.5000
2021-08-17,41.0000,41.4800,40.5800,41.0000,20364400,UBER,,41.4524,,41.4804,,41.4901,,41.4950
2021-08-18,40.8800,41.5300,40.8000,40.9700,13682300,UBER,,41.3979,,41.4568,,41.4780,,41.4889
2021-08-19,39.8600,40.6000,39.5100,40.2800,22471400,UBER,,41.2514,,41.3942,,41.4460,,41.4727
2021-08-20,39.9500,40.0800,39.2400,39.6900,18080700,UBER,,41.1275,,41.3376,,41.4164,,41.4575
2021-08-23,41.0000,41.0800,38.8400,39.0000,33901300,UBER,,41.1153,,41.3244,,41.4081,,41.4530
2021-08-24,40.1700,41.2100,39.9700,41.1000,44872800,UBER,,41.0253,,41.2791,,41.3836,,41.4402
2021-08-25,41.5500,42.1100,40.0400,40.4400,26498400,UBER,,41.0753,,41.2897,,41.3869,,41.4413
2021-08-26,40.6200,41.9400,40.5400,41.4900,17473400,UBER,,41.0319,,41.2634,,41.3717,,41.4331
2021-08-27,40.6900,41.3100,40.5000,40.5300,13612500,UBER,,40.9993,,41.2410,,41.3582,,41.4258
2021-08-30,39.5900,40.7400,39.1100,40.5800,29516300,UBER,,40.8651,,41.1762,,41.3232,,41.4075
2021-08-31,39.1400,40.2750,39.1250,39.8100,26396000,UBER,,40.7008,,41.0964,,41.2800,,41.3849
2021-09-01,40.6200,41.6650,39.8700,39.9800,27788600,UBER,,40.6931,,41.0777,,41.2669,,41.3773
2021-09-02,41.4000,41.8600,40.5370,40.7500,20645400,UBER,,40.7604,,41.0903,,41.2695,,41.3775
2021-09-03,40.3200,41.5750,40.2300,41.2200,15444900,UBER,,40.7185,,41.0601,,41.2507,,41.3670
2021-09-07,40.9500,41.0800,40.3100,40.4900,15708600,UBER,,40.7405,,41.0558,,41.2448,,41.3629
2021-09-08,40.0700,41.3400,39.8300,40.8500,16219900,UBER,,40.6767,,41.0171,,41.2215,,41.3500
2021-09-09,40.3500,40.9500,39.8400,40.1000,14260300,UBER,,40.6456,,40.9910,,41.2042,,41.3401
2021-09-10,39.8900,40.8300,39.8650,40.6200,14230600,UBER,,40.5736,,40.9478,,41.1782,,41.3256
2021-09-13,40.0700,41.1900,39.2600,40.2600,28868800,UBER,40.4810,40.5256,,40.9134,,41.1563,,41.3131
2021-09-14,39.0100,40.1000,38.5500,39.9000,36717300,UBER,40.3565,40.3813,,40.8387,,41.1138,,41.2902
2021-09-15,38.4800,39.0000,38.0800,39.0000,30368800,UBER,40.2305,40.2002,,40.7462,,41.0616,,41.2623
2021-09-16,39.5200,39.6700,38.0900,38.3000,25374000,UBER,40.1625,40.1354,,40.6981,,41.0311,,41.2449
