Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-09-03,155.7856,156.7092,155.4619,155.6830,1491800,UPS,,155.7856,,155.7856,,155.7856,,155.7856
2021-09-07,154.3804,156.2672,154.1594,156.0303,2266200,UPS,,155.6518,,155.7305,,155.7578,,155.7716
2021-09-08,153.5989,154.3647,152.7384,154.3647,2455300,UPS,,155.4563,,155.6469,,155.7150,,155.7500
2021-09-09,149.2097,153.4331,148.4518,152.5411,3636700,UPS,,154.8614,,155.3945,,155.5862,,155.6849
2021-09-10,152.5648,152.9042,149.9991,150.3702,3094100,UPS,,154.6426,,155.2835,,155.5264,,155.6539
2021-09-13,153.4568,154.1988,152.0437,153.7094,2136200,UPS,,154.5297,,155.2119,,155.4854,,155.6320
2021-09-14,150.7885,154.6330,150.6385,154.1278,1895300,UPS,,154.1734,,155.0384,,155.3924,,155.5838
2021-09-15,152.6358,153.0147,150.6622,151.2543,1769200,UPS,,154.0270,,154.9442,,155.3378,,155.5545
2021-09-16,152.3358,153.3147,151.1043,152.6437,1657200,UPS,,153.8659,,154.8419,,155.2784,,155.5225
2021-09-17,150.0149,154.9251,149.7307,152.0122,4504200,UPS,,153.4991,,154.6526,,155.1741,,155.4677
2021-09-20,149.5097,149.6597,147.4888,148.6887,2439500,UPS,,153.1192,,154.4509,,155.0620,,155.4084
2021-09-21,149.7781,150.5596,148.4202,150.0702,2496400,UPS,,152.8010,,154.2677,,154.9573,,155.3524
2021-09-22,146.2809,147.8677,143.7705,145.1362,4229800,UPS,,152.1800,,153.9545,,154.7855,,155.2621
2021-09-23,147.4572,148.2861,146.5651,146.8335,2527500,UPS,,151.7302,,153.6997,,154.6404,,155.1844
2021-09-24,148.4281,148.9650,146.6756,147.2282,2312900,UPS,,151.4157,,153.4929,,154.5174,,155.1172
2021-09-27,147.4966,148.8860,147.3466,147.9150,1847600,UPS,,151.0425,,153.2578,,154.3784,,155.0414
2021-09-28,147.4335,148.2624,146.9124,147.3703,3093900,UPS,,150.6988,,153.0294,,154.2408,,154.9657
2021-09-29,145.8388,148.3728,145.6020,147.6387,2467400,UPS,,150.2359,,152.7474,,154.0745,,154.8749
2021-09-30,143.7547,147.8124,143.6758,146.2414,2902800,UPS,,149.6187,,152.3947,,153.8701,,154.7642
2021-10-01,143.2732,144.3942,141.1734,144.3784,3014500,UPS,149.7011,149.0143,,152.0370,,153.6603,,154.6499
2021-10-04,140.8496,143.4390,139.8313,142.4917,3512500,UPS,148.9543,148.2367,,151.5983,,153.4066,,154.5126
2021-10-05,141.8364,142.9179,140.2260,140.8970,2491800,UPS,148.3271,147.6272,,151.2155,,153.1775,,154.3864
2021-10-06,142.6496,143.0206,140.3839,140.8339,2119200,UPS,147.7796,147.1531,,150.8796,,152.9690,,154.2696
2021-10-07,143.3600,145.2704,143.0206,144.4494,2518400,UPS,147.4872,146.7919,,150.5847,,152.7787,,154.1611
2021-10-08,144.8521,145.6494,141.8443,142.6495,2781700,UPS,147.1015,146.6071,,150.3599,,152.6218,,154.0685
2021-10-11,143.4706,145.5073,143.3048,145.4915,1780200,UPS,146.6022,146.3084,,150.0897,,152.4406,,153.9630
2021-10-12,143.6679,144.2679,142.5943,143.6916,2615700,UPS,146.2462,146.0569,,149.8379,,152.2668,,153.8606
2021-10-13,145.3020,145.9888,142.6259,143.8179,3780400,UPS,145.8795,145.9850,,149.6600,,152.1289,,153.7754
2021-10-14,151.1122,151.3964,147.8282,148.1282,4106400,UPS,145.8183,146.4733,,149.7169,,152.1088,,153.7489
2021-10-15,152.9516,153.1568,150.5517,151.5385,3153400,UPS,145.9651,147.0903,,149.8438,,152.1255,,153.7410
2021-10-18,152.6674,154.4199,152.4148,152.7305,2305000,UPS,146.1230,147.6215,,149.9545,,152.1362,,153.7303
2021-10-19,152.9832,153.8673,152.3990,153.0700,1974500,UPS,146.2833,148.1321,,150.0733,,152.1530,,153.7229
2021-10-20,154.1515,154.3725,152.5174,153.7883,1952000,UPS,146.6768,148.7054,,150.2332,,152.1926,,153.7271
2021-10-21,157.4434,157.8855,154.2778,154.4199,2997300,UPS,147.1761,149.5376,,150.5160,,152.2965,,153.7641
2021-10-22,160.8932,161.1695,156.8987,156.9934,3735900,UPS,147.7994,150.6191,,150.9229,,152.4668,,153.8350
2021-10-25,160.9643,162.2747,159.3380,160.2696,4829700,UPS,148.4728,151.6043,,151.3167,,152.6350,,153.9060
2021-10-26,172.1505,173.8635,168.6691,168.9454,6596500,UPS,149.7086,153.5611,,152.1337,,153.0215,,154.0875
2021-10-27,167.5244,171.6847,166.1666,171.4005,3309000,UPS,150.7929,154.8909,,152.7373,,153.3087,,154.2212
2021-10-28,168.8586,168.9691,166.5297,168.3770,2236400,UPS,152.0481,156.2212,,153.3695,,153.6166,,154.3669
2021-10-29,168.5191,170.5716,167.5560,167.9428,2362000,UPS,153.3104,157.3924,,153.9636,,153.9117,,154.5077
2021-11-01,166.4903,169.6164,165.7008,169.6164,1868400,UPS,154.5924,158.2589,,154.4548,,154.1608,,154.6269
2021-11-02,165.1009,166.4903,164.5483,166.4903,2206700,UPS,155.7556,158.9105,,154.8723,,154.3774,,154.7311
