Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-07-08,227.9265,228.3697,225.9421,228.2733,6388000,V,,227.9265,,227.9265,,227.9265,,227.9265
2021-07-09,229.7182,230.6623,228.7068,229.9976,5615900,V,,228.0972,,227.9968,,227.9620,,227.9444
2021-07-12,229.1403,229.7568,228.5623,228.8609,7010700,V,,228.1965,,228.0416,,227.9853,,227.9563
2021-07-13,233.4559,233.5811,229.5063,229.5063,8079200,V,,228.6974,,228.2540,,228.0937,,228.0110
2021-07-14,236.9623,237.7522,233.9086,234.2940,8693400,V,,229.4845,,228.5955,,228.2693,,228.1000
2021-07-15,239.4283,239.6691,236.3072,236.3072,10135100,V,,230.4316,,229.0203,,228.4903,,228.2128
2021-07-16,239.0141,241.2682,238.4361,240.8155,8674500,V,,231.2489,,229.4122,,228.6986,,228.3202
2021-07-19,231.5871,235.4788,230.1325,235.0357,11474600,V,,231.2811,,229.4975,,228.7558,,228.3527
2021-07-20,233.7930,235.2476,230.7201,231.8086,7072300,V,,231.5204,,229.6659,,228.8556,,228.4069
2021-07-21,234.7178,237.8389,233.4077,234.3614,11241400,V,,231.8249,,229.8640,,228.9717,,228.4697
2021-07-22,235.1801,236.3457,234.2265,234.8334,10293600,V,,232.1444,,230.0725,,229.0946,,228.5364
2021-07-23,239.8811,240.8347,237.7040,237.7040,6766000,V,,232.8813,,230.4572,,229.3082,,228.6493
2021-07-26,241.0659,241.1719,238.6095,240.0641,4879000,V,,233.6608,,230.8732,,229.5410,,228.7729
2021-07-27,241.7210,243.3971,239.1104,240.0448,7038300,V,,234.4284,,231.2986,,229.7822,,228.9017
2021-07-28,237.8774,242.2701,236.8852,240.8733,9036500,V,,234.7569,,231.5566,,229.9425,,228.9910
2021-07-29,238.8214,241.1912,238.0315,239.0045,7495300,V,,235.1440,,231.8415,,230.1183,,229.0888
2021-07-30,237.3476,239.3417,236.9720,238.1376,5804700,V,,235.3538,,232.0574,,230.2615,,229.1710
2021-08-02,230.9801,238.7347,229.6219,237.2031,9989500,V,,234.9373,,232.0152,,230.2757,,229.1890
2021-08-03,228.3889,232.5311,225.4412,231.7990,9839000,V,,234.3136,,231.8730,,230.2384,,229.1811
2021-08-04,227.9843,228.8320,226.4238,228.3022,8171800,V,234.7496,233.7109,,231.7205,,230.1937,,229.1691
2021-08-05,231.3944,231.4329,227.7531,227.9265,5337500,V,234.9230,233.4902,,231.7077,,230.2175,,229.1913
2021-08-06,232.5407,233.6967,231.0573,231.1921,4509700,V,235.0641,233.3998,,231.7404,,230.2635,,229.2246
2021-08-09,231.1921,233.2921,229.3137,232.8779,5226900,V,235.1667,233.1896,,231.7189,,230.2819,,229.2442
2021-08-10,229.3329,232.4829,226.9151,231.6834,7185700,V,234.9605,232.8223,,231.6253,,230.2631,,229.2451
2021-08-11,226.4334,229.6123,225.9710,229.3426,7375700,V,234.4341,232.2138,,231.4217,,230.1873,,229.2171
2021-08-12,223.5878,225.8257,222.8450,225.6135,9867000,V,233.6421,231.3923,,231.1145,,230.0566,,229.1611
2021-08-13,224.4174,225.0154,223.2116,223.7904,5445400,V,232.9122,230.7280,,230.8518,,229.9449,,229.1139
2021-08-16,227.0315,227.1472,222.0541,223.9930,7575900,V,232.6845,230.3759,,230.7020,,229.8872,,229.0932
2021-08-17,226.2308,227.3305,224.9672,226.6842,6850500,V,232.3063,229.9812,,230.5267,,229.8148,,229.0647
2021-08-18,223.4335,226.0572,223.2791,225.6424,4996500,V,231.7421,229.3576,,230.2485,,229.6885,,229.0087
2021-08-19,223.3756,224.2051,220.8000,220.9351,5761300,V,231.1519,228.7879,,229.9790,,229.5635,,228.9526
2021-08-20,223.1730,223.9447,222.1505,223.6650,5522200,V,230.3165,228.2531,,229.7121,,229.4369,,228.8951
2021-08-23,225.8547,226.3466,223.7904,224.4656,6342000,V,229.5559,228.0247,,229.5608,,229.3660,,228.8648
2021-08-24,225.9511,227.8321,225.6714,226.7228,5081800,V,228.7674,227.8272,,229.4193,,229.2984,,228.8358
2021-08-25,224.3595,226.6842,223.8675,226.6842,5277100,V,228.0915,227.4970,,229.2208,,229.2006,,228.7913
2021-08-26,222.3628,224.3981,222.0058,223.9158,5889100,V,227.2686,227.0080,,228.9519,,229.0652,,228.7273
2021-08-27,224.4559,224.8032,222.0830,222.8450,6369000,V,226.6240,226.7649,,228.7756,,228.9739,,228.6848
2021-08-30,223.0476,225.4013,221.7840,224.4560,6448000,V,226.2274,226.4109,,228.5510,,228.8565,,228.6287
2021-08-31,220.9930,223.6360,220.5686,222.7389,9405100,V,225.8576,225.8949,,228.2546,,228.7008,,228.5528
2021-09-01,221.9769,222.6136,220.6747,220.9930,8177600,V,225.5572,225.5218,,228.0084,,228.5677,,228.4873
2021-09-02,216.2471,222.3917,214.1056,222.2759,19708800,V,224.7999,224.6385,,227.5472,,228.3237,,228.3655
2021-09-03,217.1442,219.2567,215.4465,216.0734,11532000,V,224.0300,223.9247,,227.1392,,228.1023,,228.2539
2021-09-07,218.2631,219.9319,217.8676,218.7165,9662600,V,223.3836,223.3855,,226.7911,,227.9075,,228.1545
2021-09-08,220.9834,222.0734,219.0059,219.3339,10652600,V,222.9661,223.1567,,226.5634,,227.7704,,228.0831
2021-09-09,219.4400,221.8612,219.0638,221.1956,5853000,V,222.6164,222.8028,,226.2840,,227.6054,,227.9971
2021-09-10,216.9513,221.8997,216.8645,221.7165,6715400,V,222.2846,222.2455,,225.9180,,227.3944,,227.8872
2021-09-13,216.6812,219.1602,215.5043,217.5493,6808100,V,221.8978,221.7155,,225.5558,,227.1823,,227.7757
2021-09-14,215.1378,217.8194,214.4143,217.0381,6575700,V,221.3031,221.0891,,225.1472,,226.9438,,227.6500
2021-09-15,215.8902,216.8837,213.5269,214.6459,6535800,V,220.7861,220.5940,,224.7842,,226.7249,,227.5329
2021-09-16,216.3918,217.2310,214.8677,215.9384,5928500,V,220.4340,220.1938,227.5853,224.4551,,226.5203,,227.4221
2021-09-17,213.9031,215.7841,211.5398,214.5783,13787400,V,219.9604,219.5946,227.3049,224.0413,,226.2704,,227.2876
2021-09-20,212.2632,212.6973,208.6556,209.2826,8822600,V,219.4149,218.8964,226.9558,223.5794,,225.9931,,227.1381
2021-09-21,212.3790,214.3082,211.2311,212.9385,7033600,V,218.7411,218.2757,226.6205,223.1402,,225.7235,,226.9912
2021-09-22,214.8677,216.1699,213.2761,213.5655,6005900,V,218.1869,217.9511,226.2488,222.8158,,225.5085,,226.8706
2021-09-23,220.2310,220.6072,216.4207,217.0381,7952700,V,217.9805,218.1683,225.9141,222.7144,,225.4040,,226.8045
2021-09-24,223.3949,223.7421,220.5300,220.8290,6461200,V,218.0321,218.6660,225.5935,222.7411,,225.3642,,226.7706
2021-09-27,221.4753,225.0733,220.6747,223.5203,6881100,V,217.8831,218.9336,225.2427,222.6915,,225.2872,,226.7179
2021-09-28,217.5782,220.7711,216.0734,220.7711,6951400,V,217.6096,218.8045,224.9625,222.4909,,225.1346,,226.6270
2021-09-29,218.6586,220.9158,218.0895,218.7744,6432700,V,217.4929,218.7906,224.6598,222.3406,,225.0063,,226.5477
2021-09-30,214.8677,220.6940,214.7519,219.5268,7128500,V,217.1374,218.4170,224.2628,222.0476,,224.8056,,226.4315
2021-10-01,222.3049,223.3660,215.5622,216.2375,7925400,V,217.4403,218.7873,224.0053,222.0577,,224.7561,,226.3904
2021-10-04,216.7776,222.1795,212.9964,221.8612,10283400,V,217.4220,218.5959,223.5433,221.8506,,224.5981,,226.2948
2021-10-05,216.3435,219.3338,215.9963,217.5011,5814000,V,217.3260,218.3814,223.0488,221.6347,,224.4346,,226.1957
2021-10-06,218.4946,218.6007,213.4208,214.1828,5420900,V,217.2016,218.3922,222.5843,221.5115,,224.3170,,226.1191
2021-10-07,222.3917,222.9801,220.4046,220.8098,6561900,V,217.3492,218.7731,222.2746,221.5460,,224.2789,,226.0820
2021-10-08,222.1216,224.4945,222.0347,222.8257,3735200,V,217.6077,219.0920,221.9406,221.5686,,224.2361,,226.0426
2021-10-11,217.1442,222.1698,216.9127,221.8708,5620200,V,217.6308,218.9065,221.5365,221.3951,,224.0957,,225.9541
2021-10-12,216.1217,218.2149,215.0317,217.5783,5448200,V,217.6800,218.6413,221.2393,221.1883,,223.9378,,225.8562
2021-10-13,214.5879,217.8676,210.8935,215.2342,9076000,V,217.6149,218.2552,220.9633,220.9295,,223.7527,,225.7441
2021-10-14,217.2117,217.6651,215.1667,216.1892,5590500,V,217.6559,218.1558,220.7479,220.7837,,223.6231,,225.6592
2021-10-15,222.8161,222.9126,218.7069,219.1795,6355100,V,218.1016,218.5997,220.5763,220.8634,,223.6072,,225.6309
2021-10-18,222.4881,224.5235,220.0670,222.0348,5580200,V,218.6128,218.9700,220.3752,220.9271,,223.5850,,225.5997
2021-10-19,225.2566,225.3724,222.5171,223.7422,4409700,V,219.2567,219.5687,220.2565,221.0969,,223.6181,,225.5962
2021-10-20,223.2309,225.5267,223.1248,225.1987,5401800,V,219.6748,219.9175,220.1345,221.1806,,223.6104,,225.5727
2021-10-21,222.0927,222.6618,218.2921,222.5364,5982200,V,219.7679,220.1247,220.0477,221.2163,,223.5804,,225.5381
2021-10-22,223.0476,224.5814,220.6168,222.1409,3788000,V,219.7506,220.4030,220.0369,221.2881,,223.5698,,225.5133
2021-10-25,225.6039,226.5492,224.0701,225.1891,4938700,V,219.9570,220.8984,220.0606,221.4574,,223.6101,,225.5142
2021-10-26,223.6168,228.5749,223.1441,227.1955,7814500,V,220.2589,221.1573,219.9923,221.5421,,223.6102,,225.4953
2021-10-27,208.1443,216.7969,208.0286,216.7969,22958100,V,219.7332,219.9179,219.6306,221.0167,,223.3040,,225.3227
2021-10-28,202.4145,212.2054,201.6139,211.4915,23199400,V,219.1106,218.2509,219.2102,220.2872,,222.8903,,225.0947
2021-10-29,204.2762,206.1090,201.1605,201.8068,14329800,V,218.2091,216.9200,218.8282,219.6593,,222.5217,,224.8876
2021-11-01,204.9418,207.6331,203.9676,205.9354,13210300,V,217.6173,215.7792,218.4636,219.0821,,222.1736,,224.6891
2021-11-02,201.7393,205.8003,200.4660,205.6171,14688700,V,216.8871,214.4421,217.9813,218.4020,,221.7690,,224.4608
2021-11-03,200.7361,202.7136,199.4146,202.2698,11486700,V,215.9992,213.1368,217.4770,217.7092,,221.3525,,224.2247
2021-11-04,201.3920,204.8453,200.5142,201.7586,11368200,V,214.9492,212.0182,217.0176,217.0694,,220.9572,,223.9975
2021-11-05,209.0029,209.9289,203.8808,204.4499,14273600,V,214.2933,211.7310,216.7504,216.7530,,220.7205,,223.8483
2021-11-08,212.6877,213.7680,210.4305,210.6427,13500100,V,214.0704,211.8221,216.5151,216.5936,,220.5614,,223.7372
2021-11-09,205.8389,212.6105,205.3855,211.9160,11535000,V,213.5563,211.2523,216.1709,216.1718,,220.2699,,223.5592
2021-11-10,208.2982,209.6414,206.1433,206.3559,10063600,V,213.2418,210.9710,215.9170,215.8631,,220.0328,,223.4073
2021-11-11,203.3313,209.4771,203.0801,209.1775,13546900,V,212.5478,210.2434,215.5441,215.3716,,219.7021,,223.2075
2021-11-12,204.9451,206.3849,204.3073,204.3749,7660500,V,211.6542,209.7388,215.3180,214.9627,,219.4099,,223.0258
2021-11-15,205.1480,209.1099,204.6745,206.4236,9596900,V,210.7872,209.3016,215.0781,214.5779,,219.1275,,222.8479
2021-11-16,207.9310,208.3851,204.5296,205.0127,8719600,V,209.9210,209.1710,214.8715,214.3172,,218.9058,,222.6995
2021-11-17,198.1519,200.3261,192.7405,199.0119,38379600,V,208.6670,208.1216,214.4148,213.6833,,218.4948,,222.4553
2021-11-18,196.4801,200.8672,194.4895,199.5433,18292200,V,207.3864,207.0129,213.9556,213.0086,,218.0589,,222.1968
2021-11-19,194.0934,196.6445,193.1174,195.2336,18032600,V,205.9387,205.7825,213.4985,212.2669,,217.5843,,221.9172
2021-11-22,188.9912,194.9051,188.0443,193.2623,21185800,V,204.1080,204.1833,212.9447,211.3541,,217.0181,,221.5895
2021-11-23,191.8032,192.2187,187.8317,190.3344,14742700,V,202.5174,203.0042,212.4780,210.5874,,216.5188,,221.2932
2021-11-24,196.4029,197.0793,190.9819,191.4940,12026800,V,201.9303,202.3755,212.0883,210.0311,,216.1205,,221.0455
2021-11-26,190.9915,192.4797,186.0633,186.8074,10987600,V,201.3591,201.2913,211.5802,209.2845,219.5828,215.6229,,220.7464
2021-11-29,189.6774,194.4703,188.7787,194.2287,14633500,V,200.6292,200.1853,211.0957,208.5156,219.2003,215.1091,,220.4373
2021-11-30,187.2422,191.0012,186.0730,188.6917,16023000,V,199.7442,198.9526,210.5953,207.6813,218.7755,214.5573,,220.1070
2021-12-01,183.7538,190.1798,183.6959,189.4261,13204900,V,198.8449,197.5051,210.0228,206.7430,218.3217,213.9473,,219.7453
2021-12-02,191.6100,192.7213,185.3869,185.5319,13976300,V,198.3886,196.9436,209.5577,206.1495,217.9032,213.5050,,219.4653
2021-12-03,189.7064,191.7839,187.5032,191.5907,10660500,V,197.8044,196.2544,208.9472,205.5047,217.4307,213.0337,,219.1692
2021-12-06,195.8521,197.3402,191.0785,192.0738,10722100,V,197.1468,196.2161,208.3963,205.1262,216.9949,212.6935,,218.9372
2021-12-07,200.3841,200.9349,198.9539,199.0602,11897200,V,196.5316,196.6130,207.9745,204.9402,216.6086,212.4497,,218.7526
2021-12-08,201.9495,202.4230,198.7800,200.6643,11749200,V,196.3372,197.1213,207.6619,204.8229,216.3122,212.2418,,218.5854
2021-12-09,204.2686,205.0513,200.1908,201.4953,10176800,V,196.1357,197.8020,207.3741,204.8012,216.0170,212.0839,,218.4429
2021-12-10,206.2109,207.0323,203.7565,204.7615,8882700,V,196.2797,198.6028,207.2010,204.8565,215.7319,211.9676,,218.3212
2021-12-13,203.9111,206.1336,202.9061,205.2929,8844300,V,196.2280,199.1084,206.8331,204.8194,215.4192,211.8081,,218.1779
2021-12-14,202.9061,206.1819,201.4277,203.6309,9832300,V,196.1159,199.4701,206.5557,204.7444,215.0495,211.6318,,218.0259
2021-12-15,205.1577,205.3316,200.8576,202.3457,10892500,V,195.9772,200.0117,206.3320,204.7606,214.6904,211.5036,,217.8979
2021-12-16,207.1482,208.9842,204.4812,208.0372,8548400,V,196.4270,200.6914,206.1050,204.8542,214.3447,211.4174,,217.7909
2021-12-17,204.7422,206.0274,200.7899,205.6312,11578400,V,196.8401,201.0772,205.7520,204.8498,214.0133,211.2852,,217.6611
2021-12-20,201.7079,202.7032,199.8913,202.0461,9434400,V,197.2209,201.1373,205.3438,204.7266,213.6422,211.0955,,217.5023
2021-12-21,208.1242,208.8780,203.2733,203.5149,6993700,V,198.1775,201.8027,205.1634,204.8598,213.3499,211.0367,,217.4090
2021-12-22,210.6173,211.5643,206.6458,206.6458,6003400,V,199.1182,202.6422,205.0533,205.0856,213.1463,211.0284,,217.3414
2021-12-23,209.3224,211.1584,209.3224,211.0811,4798200,V,199.7642,203.2784,204.9480,205.2518,212.9556,210.9946,,217.2616
2021-12-27,210.2985,210.7719,207.6411,210.3468,4818400,V,200.7295,203.9470,204.8097,205.4497,212.7788,210.9808,,217.1923
2021-12-28,210.7043,212.3277,208.3175,208.7330,4279800,V,201.7809,204.5905,204.5675,205.6558,212.5719,210.9754,,217.1278
2021-12-29,210.8202,211.5643,210.0085,210.4240,3223100,V,202.9598,205.1838,204.3341,205.8583,212.3547,210.9723,,217.0650
2021-12-30,210.5303,211.7672,209.8346,210.6270,3812800,V,204.2986,205.6930,204.0396,206.0415,212.1481,210.9635,,217.0000
2021-12-31,209.4094,210.6366,208.2305,209.5061,4723300,V,205.1886,206.0470,203.7632,206.1736,211.9488,210.9328,,216.9245
2022-01-03,213.9704,214.5792,209.6993,210.1921,7694500,V,206.4018,206.8016,203.6007,206.4793,211.8242,210.9929,,216.8951
2022-01-04,214.9657,219.1498,214.3376,214.5212,10629300,V,207.3575,207.5791,203.4391,206.8121,211.7380,211.0716,,216.8759
2022-01-05,212.5886,217.6811,212.5113,215.1397,9594600,V,207.9677,208.0562,203.1788,207.0387,211.6197,211.1016,,216.8332
2022-01-06,212.3470,214.4343,210.2211,210.4627,7877500,V,208.4876,208.4649,202.9534,207.2468,211.4728,211.1263,,216.7886
2022-01-07,209.6510,212.7819,208.3755,209.9892,10702100,V,208.7567,208.5778,202.9835,207.3411,211.3070,211.0971,,216.7176
2022-01-10,204.8291,206.9840,199.5434,206.7714,11978600,V,208.6876,208.2208,203.0318,207.2426,211.1210,210.9730,,216.5993
2022-01-11,207.1579,207.7087,201.7079,204.2976,8803100,V,208.8499,208.1196,203.0894,207.2393,210.9588,210.8974,,216.5053
