Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-06-07,50.7977,51.3635,50.7727,51.0307,15477900,XOM,,50.7977,,50.7977,,50.7977,,50.7977
2021-06-08,51.6964,51.9876,50.4815,51.1721,28953400,XOM,,50.8833,,50.8330,,50.8155,,50.8067
2021-06-09,52.1290,52.7697,51.7463,52.1457,29133000,XOM,,51.0019,,50.8838,,50.8415,,50.8198
2021-06-10,52.2122,53.2357,51.7962,52.9278,27488700,XOM,,51.1172,,50.9359,,50.8687,,50.8337
2021-06-11,51.7296,52.5783,51.7047,52.4286,17631700,XOM,,51.1755,,50.9670,,50.8857,,50.8426
2021-06-14,51.6464,52.2372,51.2304,51.8378,16997200,XOM,,51.2204,,50.9936,,50.9008,,50.8506
2021-06-15,53.5269,53.5851,51.8794,51.9876,30717100,XOM,,51.4400,,51.0930,,50.9528,,50.8772
2021-06-16,53.3355,53.9180,52.8862,53.5186,24803200,XOM,,51.6206,,51.1809,,51.0000,,50.9017
2021-06-17,51.5799,53.6351,50.9808,53.1358,28491800,XOM,,51.6167,,51.1966,,51.0114,,50.9084
2021-06-18,50.2569,51.2137,50.1237,50.7561,39590700,XOM,,51.4872,,51.1597,,50.9965,,50.9019
2021-06-21,52.0791,52.1706,50.6729,50.6979,33145400,XOM,,51.5436,,51.1958,,51.0179,,50.9136
2021-06-22,53.0776,53.2606,51.7795,52.2954,25140400,XOM,,51.6897,,51.2696,,51.0587,,50.9352
2021-06-23,53.4687,53.8348,52.9028,53.2939,20701600,XOM,,51.8591,,51.3558,,51.1064,,50.9604
2021-06-24,53.6850,53.7183,53.0942,53.3771,19568400,XOM,,52.0330,,51.4472,,51.1575,,50.9875
2021-06-25,53.8015,54.0261,53.5519,53.7599,18438300,XOM,,52.2014,,51.5395,,51.2099,,51.0155
2021-06-28,52.4286,53.7183,52.2122,53.7183,20570000,XOM,,52.2230,,51.5743,,51.2340,,51.0296
2021-06-29,52.1041,53.0609,52.0791,52.5950,19579300,XOM,,52.2117,,51.5951,,51.2512,,51.0402
2021-06-30,52.4868,52.6116,51.9626,52.1706,17875500,XOM,,52.2379,,51.6301,,51.2757,,51.0546
2021-07-01,52.6366,53.6018,52.2289,53.5269,22530300,XOM,,52.2759,,51.6696,,51.3026,,51.0704
2021-07-02,52.5617,52.6865,51.9376,52.4286,14555300,XOM,52.3620,52.3031,,51.7045,,51.3276,,51.0852
2021-07-06,51.0640,52.2205,50.6729,52.2122,22110800,XOM,52.3753,52.1851,,51.6794,,51.3223,,51.0850
2021-07-07,50.2652,51.4301,49.6079,50.9059,21671400,XOM,52.3038,52.0022,,51.6240,,51.3014,,51.0769
2021-07-08,50.0405,50.5148,49.3499,49.4664,18935900,XOM,52.1993,51.8154,,51.5619,,51.2764,,51.0665
2021-07-09,50.9475,51.1305,50.1237,50.5065,20086000,XOM,52.1361,51.7327,,51.5378,,51.2699,,51.0654
2021-07-12,50.8976,51.1721,50.0572,50.2735,21809400,XOM,52.0945,51.6532,,51.5127,,51.2626,,51.0637
2021-07-13,50.6563,51.1805,50.3484,50.7561,17147300,XOM,52.0450,51.5583,,51.4791,,51.2506,,51.0596
2021-07-14,49.5330,51.3635,49.3915,50.8976,21573600,XOM,51.8453,51.3654,,51.4028,,51.2165,,51.0444
2021-07-15,49.0504,49.6744,48.9006,49.2334,15851100,XOM,51.6310,51.1449,,51.3105,,51.1736,,51.0246
2021-07-16,47.6941,49.3083,47.5526,49.2417,27049500,XOM,51.4367,50.8163,,51.1687,,51.1047,,50.9915
2021-07-19,46.0549,46.7622,45.4309,46.2962,37969100,XOM,51.2266,50.3628,,50.9682,,51.0047,,50.9423
2021-07-20,46.5625,47.0950,45.7887,46.1797,26756100,XOM,50.9508,50.0009,,50.7954,,50.9168,,50.8988
2021-07-21,48.0602,48.5095,47.2864,47.3113,20908700,XOM,50.6999,49.8160,,50.6881,,50.8602,,50.8705
2021-07-22,47.5194,48.0436,47.1449,48.0352,13493800,XOM,50.4025,49.5973,,50.5639,,50.7941,,50.8372
2021-07-23,47.4611,47.6691,46.9868,47.6691,14088200,XOM,50.0913,49.3939,,50.4422,,50.7281,,50.8036
2021-07-26,48.6593,48.8007,47.4278,47.5610,18387600,XOM,49.8342,49.3239,,50.3723,,50.6871,,50.7822
2021-07-27,48.1185,48.2682,47.6026,48.2682,16861400,XOM,49.6187,49.2091,,50.2839,,50.6362,,50.7557
2021-07-28,48.4430,48.7841,47.9437,48.2599,16855300,XOM,49.4356,49.1361,,50.2117,,50.5928,,50.7327
2021-07-29,49.0337,49.3666,48.7259,49.0920,18607800,XOM,49.2630,49.1264,,50.1655,,50.5619,,50.7158
2021-07-30,47.9021,48.9921,47.6941,48.9921,28652800,XOM,49.0262,49.0098,,50.0767,,50.5093,,50.6878
2021-08-02,47.9104,49.1419,47.7607,47.8855,20873800,XOM,48.7937,48.9051,,49.9918,,50.4578,,50.6602
2021-08-03,48.4263,48.6011,47.3696,47.9021,18208200,XOM,48.6618,48.8595,,49.9304,,50.4176,,50.6380
2021-08-04,47.2947,48.1601,47.2697,47.5859,20868300,XOM,48.5133,48.7105,,49.8270,,50.3557,,50.6047
2021-08-05,47.5942,48.0103,47.2864,47.5360,15180200,XOM,48.3910,48.6042,,49.7395,,50.3010,,50.5747
2021-08-06,48.1434,48.3181,47.8688,47.9770,14888500,XOM,48.2508,48.5603,,49.6769,,50.2583,,50.5505
2021-08-09,47.5942,47.8605,47.2864,47.5360,17828200,XOM,48.0856,48.4683,,49.5952,,50.2056,,50.5211
2021-08-10,48.4097,48.5595,47.6775,47.7773,16340200,XOM,47.9733,48.4627,,49.5487,,50.1700,,50.5001
2021-08-11,48.5511,48.6759,48.0269,48.4180,18278600,XOM,47.9242,48.4711,,49.5096,,50.1379,,50.4807
2021-08-12,48.4413,48.8130,48.0359,48.4836,19225500,XOM,47.8937,48.4683,,49.4677,,50.1044,,50.4604
2021-08-13,47.9514,48.2048,47.5544,48.1710,20063000,XOM,47.9066,48.4191,,49.4082,,50.0617,,50.4355
2021-08-16,47.2504,47.3771,46.6844,47.3179,16959500,XOM,47.9664,48.3077,50.0554,49.3236,,50.0060,,50.4038
2021-08-17,46.9294,47.5544,46.4564,46.8787,16243700,XOM,47.9847,48.1765,49.9780,49.2297,,49.9451,,50.3692
2021-08-18,45.9411,47.1405,45.8736,46.8111,21890500,XOM,47.8787,47.9636,49.8629,49.1008,,49.8658,,50.3251
2021-08-19,44.5390,45.3667,44.0068,45.1640,30923500,XOM,47.7297,47.6374,49.7111,48.9219,,49.7604,,50.2676
2021-08-20,44.5474,44.8853,44.0153,44.1504,16918300,XOM,47.5840,47.3431,49.5578,48.7503,,49.6571,,50.2107
2021-08-23,46.3804,46.5071,45.5695,45.5695,21632600,XOM,47.4701,47.2515,49.4509,48.6574,,49.5922,,50.1725
2021-08-24,46.7605,47.1743,46.4648,46.7013,17915600,XOM,47.4022,47.2047,49.3531,48.5830,,49.5362,,50.1386
2021-08-25,46.8449,47.1068,46.3466,46.6591,13270300,XOM,47.3223,47.1704,49.2195,48.5148,,49.4829,,50.1058
2021-08-26,46.2114,46.9125,46.1439,46.6253,11842600,XOM,47.1812,47.0791,49.0770,48.4245,,49.4181,,50.0671
2021-08-27,47.1068,47.4784,46.7942,46.7942,15822500,XOM,47.1414,47.0817,48.9876,48.3728,,49.3723,,50.0376
2021-08-30,46.5915,47.5882,46.5577,47.5038,14086100,XOM,47.0755,47.0350,48.9142,48.3030,,49.3173,,50.0033
2021-08-31,46.0509,46.7182,46.0003,46.3972,27104100,XOM,46.9567,46.9413,48.7937,48.2147,,49.2526,,49.9640
2021-09-01,45.4174,46.2537,45.2738,46.0256,21644100,XOM,46.8628,46.7962,48.6405,48.1050,,49.1766,,49.9188
