Date,Close,High,Low,Open,Volume,Ticker,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200
2021-08-30,278.1700,279.2900,272.5700,275.6500,1503900,ZS,,278.1700,,278.1700,,278.1700,,278.1700
2021-08-31,278.3400,279.1400,273.1100,276.7600,1593800,ZS,,278.1862,,278.1767,,278.1734,,278.1717
2021-09-01,276.7100,279.5300,275.5600,276.1400,1489400,ZS,,278.0456,,278.1192,,278.1444,,278.1572
2021-09-02,282.2000,284.7900,276.3500,277.1100,1591200,ZS,,278.4413,,278.2792,,278.2247,,278.1974
2021-09-03,287.4000,288.8700,281.3800,282.5500,1786400,ZS,,279.2945,,278.6369,,278.4064,,278.2890
2021-09-07,282.9050,293.4400,280.0500,293.4400,1991100,ZS,,279.6383,,278.8043,,278.4955,,278.3349
2021-09-08,280.6600,283.9900,277.2000,282.2550,2558200,ZS,,279.7356,,278.8770,,278.5383,,278.3580
2021-09-09,280.2200,284.2500,278.6300,280.4200,3115400,ZS,,279.7818,,278.9297,,278.5716,,278.3765
2021-09-10,270.6400,289.0300,269.5200,289.0300,4536200,ZS,,278.9111,,278.6046,,278.4146,,278.2996
2021-09-13,267.8400,269.5500,260.1200,267.6000,2936100,ZS,,277.8567,,278.1825,,278.2052,,278.1955
2021-09-14,275.8000,276.0000,269.0700,269.9400,2291100,ZS,,277.6609,,278.0890,,278.1576,,278.1717
2021-09-15,273.4400,278.0300,270.1600,275.8700,1429300,ZS,,277.2589,,277.9067,,278.0641,,278.1246
2021-09-16,274.3900,274.6400,266.7100,273.2500,2276200,ZS,,276.9856,,277.7688,,277.9914,,278.0874
2021-09-17,275.6600,276.5100,269.6700,273.3300,4428500,ZS,,276.8594,,277.6861,,277.9452,,278.0633
2021-09-20,269.9800,275.0000,267.2800,268.0030,1911700,ZS,,276.2042,,277.3839,,277.7875,,277.9828
2021-09-21,272.3300,275.7400,269.4800,272.2300,1227800,ZS,,275.8352,,277.1857,,277.6794,,277.9266
2021-09-22,277.7000,279.1700,271.1500,273.9600,1717300,ZS,,276.0128,,277.2059,,277.6798,,277.9243
2021-09-23,280.0200,281.9000,276.3600,279.9400,1699800,ZS,,276.3945,,277.3162,,277.7262,,277.9452
2021-09-24,279.9900,280.4000,271.3000,280.0000,1126200,ZS,,276.7369,,277.4211,,277.7710,,277.9655
2021-09-27,272.7300,279.5730,271.2100,277.7000,1630600,ZS,276.8563,276.3553,,277.2371,,277.6712,,277.9134
2021-09-28,258.7400,268.0000,256.0100,267.9900,3149000,ZS,275.8848,274.6776,,276.5118,,277.2963,,277.7227
2021-09-29,258.8800,265.4200,256.8000,263.4100,2244000,ZS,274.9118,273.1731,,275.8203,,276.9316,,277.5352
2021-09-30,262.2200,263.5200,258.3000,260.4100,1355300,ZS,274.1873,272.1300,,275.2870,,276.6403,,277.3828
2021-10-01,263.1600,264.8500,257.0970,263.1700,1135300,ZS,273.2353,271.2757,,274.8114,,276.3734,,277.2413
2021-10-04,251.8600,261.3500,248.3300,261.3500,2245600,ZS,271.4583,269.4266,,273.9113,,275.8880,,276.9887
2021-10-05,258.5000,260.0000,252.5000,253.4500,1506500,ZS,270.2380,268.3859,,273.3070,,275.5436,,276.8047
2021-10-06,264.2500,265.6150,255.1050,256.2800,1900600,ZS,269.4175,267.9920,,272.9518,,275.3200,,276.6798
2021-10-07,269.8800,274.2400,265.5800,266.0200,1706700,ZS,268.9005,268.1718,,272.8313,,275.2123,,276.6122
2021-10-08,266.6600,272.3000,266.0000,272.3000,1230200,ZS,268.7015,268.0279,,272.5893,,275.0429,,276.5131
2021-10-11,267.7000,271.1700,262.0200,263.6000,1224400,ZS,268.6945,267.9966,,272.3976,,274.8975,,276.4254
2021-10-12,277.7200,278.3400,266.7650,270.0800,1889200,ZS,268.7905,268.9227,,272.6063,,274.9534,,276.4383
2021-10-13,286.6400,287.9700,279.3200,279.7800,1960900,ZS,269.4505,270.6100,,273.1567,,275.1848,,276.5398
2021-10-14,293.8900,294.4400,288.6600,290.0000,1544100,ZS,270.4255,272.8272,,273.9697,,275.5552,,276.7125
2021-10-15,292.7000,294.9900,291.6100,294.5000,1433200,ZS,271.2775,274.7198,,274.7042,,275.8947,,276.8715
2021-10-18,301.3100,301.3300,291.6000,292.5100,1766300,ZS,272.8440,277.2522,,275.7476,,276.3980,,277.1147
2021-10-19,298.0300,303.6100,297.4100,301.5000,1587600,ZS,274.1290,279.2311,,276.6214,,276.8264,,277.3228
2021-10-20,297.6700,301.7700,294.4000,300.2080,789000,ZS,275.1275,280.9872,,277.4469,,277.2391,,277.5253
2021-10-21,305.6900,305.7700,298.4110,298.7000,1205100,ZS,276.4110,283.3398,,278.5544,,277.8025,,277.8055
2021-10-22,307.8700,309.6900,304.0100,305.7300,941500,ZS,277.8050,285.6760,,279.7041,,278.3979,,278.1047
2021-10-25,311.2000,314.1060,305.5700,308.0000,1139000,ZS,279.7285,288.1069,,280.9392,,279.0474,,278.4340
2021-10-26,315.3200,316.0000,307.8900,313.8800,1814600,ZS,282.5575,290.6986,,282.2875,,279.7657,,278.8010
2021-10-27,310.1000,319.8400,309.0100,316.2000,1419200,ZS,285.1185,292.5464,,283.3782,,280.3664,,279.1124
2021-10-28,316.3400,316.9900,308.2400,310.9400,1351300,ZS,287.8245,294.8124,,284.6708,,281.0787,,279.4829
2021-10-29,318.8600,319.9900,314.0000,315.9500,1084900,ZS,290.6095,297.1027,,286.0115,,281.8269,,279.8747
2021-11-01,318.6800,321.5000,315.1300,319.4600,1472400,ZS,293.9505,299.1576,,287.2926,,282.5566,,280.2608
2021-11-02,325.8700,326.2000,317.3830,318.5100,1585400,ZS,297.3190,301.7017,,288.8055,,283.4143,,280.7146
2021-11-03,327.5000,329.0000,321.3100,328.5000,1298800,ZS,300.4815,304.1587,,290.3229,,284.2873,,281.1802
2021-11-04,331.9000,333.8800,325.1600,329.0000,1413700,ZS,303.5825,306.8007,,291.9534,,285.2301,,281.6848
2021-11-05,338.4900,338.5400,332.1100,333.9500,1888000,ZS,307.1740,309.8187,,293.7784,,286.2848,,282.2501
2021-11-08,350.1700,351.9000,339.3700,340.5500,1944000,ZS,311.2975,313.6617,287.6985,295.9898,,287.5498,,282.9259
2021-11-09,352.6100,356.4500,347.7200,353.4000,2009400,ZS,315.0420,317.3711,289.1873,298.2102,,288.8382,,283.6192
2021-11-10,337.1100,350.6140,333.7300,348.2700,2229100,ZS,317.5655,319.2510,290.3627,299.7357,,289.7940,,284.1515
2021-11-11,343.6200,348.2700,342.2300,343.1700,1680900,ZS,320.0520,321.5718,291.7009,301.4566,,290.8599,,284.7432
2021-11-12,349.0700,349.5700,343.1600,346.7600,1330200,ZS,322.8705,324.1907,293.0383,303.3238,,292.0126,,285.3833
2021-11-15,345.8000,352.9100,341.8300,352.9100,1235700,ZS,325.0950,326.2487,294.2063,304.9896,,293.0777,,285.9844
2021-11-16,353.7500,355.4100,345.6100,345.8000,1426600,ZS,327.8810,328.8679,295.6232,306.9017,,294.2791,,286.6587
